# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-02-13T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): -25.0536
# Longitude (positive East, ISO 19115): 46.9480
# Altitude (m): 77.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-02-13T00:00:00.0/2023-02-14T00:00:00.0;11109.3516;8183.8564;6936.3794;1247.4771;9835.7314;8087.0010;6753.4600;1333.5414;9477.4531;0.9823
2023-02-14T00:00:00.0/2023-02-15T00:00:00.0;11074.5293;8270.7461;7271.3530;999.3933;10420.2002;8157.2612;7045.3115;1111.9497;9991.7432;0.9826
2023-02-15T00:00:00.0/2023-02-16T00:00:00.0;11039.0273;8149.0894;6971.3394;1177.7499;9918.9580;8033.3696;6748.6606;1284.7090;9439.8154;0.9830
2023-02-16T00:00:00.0/2023-02-17T00:00:00.0;11002.8027;7960.3481;6696.4517;1263.8961;9436.2217;7384.6099;5894.8506;1489.7593;7552.9312;0.9840
2023-02-17T00:00:00.0/2023-02-18T00:00:00.0;10965.8789;7851.1348;6675.0156;1176.1191;9412.7930;6561.5610;4526.9390;2034.6219;5978.8999;0.9844
2023-02-18T00:00:00.0/2023-02-19T00:00:00.0;10928.3760;7700.0435;6305.2915;1394.7517;8824.5479;7363.5508;5853.8354;1509.7150;7683.4375;0.9844
2023-02-19T00:00:00.0/2023-02-20T00:00:00.0;10890.1289;7785.0303;6601.8931;1183.1375;9319.8877;7448.0337;6144.1548;1303.8790;8306.1943;0.9851
2023-02-20T00:00:00.0/2023-02-21T00:00:00.0;10851.2021;7946.9912;7014.1665;932.8244;10102.4609;7904.2700;6940.5459;963.7241;9879.9238;0.9858
2023-02-21T00:00:00.0/2023-02-22T00:00:00.0;10811.6836;7911.1294;6664.7573;1246.3719;9463.5615;7344.4575;5231.0107;2113.4468;7272.2925;0.9861
2023-02-22T00:00:00.0/2023-02-23T00:00:00.0;10771.4570;7728.3545;6025.3960;1702.9586;8417.3281;5543.1084;2143.5159;3399.5925;2881.6033;0.9868
2023-02-23T00:00:00.0/2023-02-24T00:00:00.0;10730.6396;7793.4360;6729.5815;1063.8545;9615.7324;5402.0986;2605.9734;2796.1250;3504.4993;0.9872
2023-02-24T00:00:00.0/2023-02-25T00:00:00.0;10689.2051;7917.1069;6634.7461;1282.3607;9443.0400;7301.9150;5083.1157;2218.7996;6745.9985;0.9875
2023-02-25T00:00:00.0/2023-02-26T00:00:00.0;10647.1396;7850.2568;6687.8438;1162.4133;9683.4922;7716.1763;6450.9048;1265.2717;9098.7305;0.9878
