air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,cape,snowfall_rate,wind_gust,period_end,period
24,0.09,-123,0,0,0,0,1.2,22.3,0,0,0,0,35.7,0,91.6,1007.6,0,0,0,0,54,58,8.4,5.7,117,136,0,9.5,2023-02-13T01:00:00+00:00,PT60M
24,0.09,-114,0,0,0,0,2.8,22.2,0,0,0,0,35.1,0,91.6,1007.7,0,0,0,0,55,58,8.2,5.6,105,150,0,9,2023-02-13T02:00:00+00:00,PT60M
24,0.09,-107,4,32,7,3,16.4,22.2,5,18,6,4,34.4,0,91,1008.1,0,0,0,0,55,59,8.1,5.6,92,160,0,8.8,2023-02-13T03:00:00+00:00,PT60M
24,0.09,-100,40,536,149,98,23.3,22.2,76,184,114,94,33.8,0,88.9,1008.8,0,0,0,0,55,58,8.1,5.7,79,179,0,9.1,2023-02-13T04:00:00+00:00,PT60M
25,0.09,-94,59,775,383,331,4.2,22.2,82,677,369,322,33.3,0,84.5,1009.3,0,0,0,0,55,57,8.2,6,65,197,0,9.7,2023-02-13T05:00:00+00:00,PT60M
26,0.09,-88,70,880,612,575,0,22,70,880,612,575,32.7,0,79.3,1009.5,0,0,0,0,55,58,8.3,6.2,52,186,0,10,2023-02-13T06:00:00+00:00,PT60M
26,0.09,-80,81,930,808,786,0,21.6,81,930,808,786,32,0,74.9,1009.5,0,0,0,0,57,60,8.2,6.2,38,182,0,10.6,2023-02-13T07:00:00+00:00,PT60M
27,0.09,-68,85,961,952,944,0,21.5,85,961,952,944,31.3,0,72.1,1009.1,0,0,0,0,60,64,8.3,6.2,25,224,0,11.2,2023-02-13T08:00:00+00:00,PT60M
27,0.09,-37,87,977,1033,1031,0,21.5,87,977,1033,1031,30.8,0,70.7,1008.6,0,0,0,0,63,67,8.6,6.4,15,282,0,11.5,2023-02-13T09:00:00+00:00,PT60M
27,0.09,25,88,980,1042,1041,0,21.5,88,980,1042,1041,30,0,69.8,1008.2,0,0,0,0,66,70,8.7,6.5,13,320,0,11.7,2023-02-13T10:00:00+00:00,PT60M
28,0.09,63,87,968,979,972,0,21.5,87,968,979,972,29.3,0,69.2,1007.9,0,0,0,0,69,73,8.9,6.6,23,353,0,11.9,2023-02-13T11:00:00+00:00,PT60M
28,0.09,78,89,932,846,828,0.6,21.5,96,917,842,824,29.2,0,69.6,1007.6,0,0,0,0,71,75,9.3,6.8,36,394,0,12,2023-02-13T12:00:00+00:00,PT60M
27,0.09,87,88,867,657,624,2.7,21.6,118,794,639,608,29.3,0,71.3,1007.3,0,0,0,0,71,75,9.6,7,49,418,0,12,2023-02-13T13:00:00+00:00,PT60M
27,0.09,93,81,754,430,383,1.9,21.7,95,707,421,376,29.3,0,73.9,1007.2,0,0,0,0,70,73,9.7,7.1,63,416,0,11.9,2023-02-13T14:00:00+00:00,PT60M
26,0.09,99,58,533,192,144,1.1,21.8,62,510,190,142,29.4,0,77,1007.6,0,0,0,0,67,70,9.5,6.9,76,412,0,11.3,2023-02-13T15:00:00+00:00,PT60M
26,0.09,105,12,77,19,10,0,22,12,77,19,10,29.5,0,79.6,1008.1,0,0,0,0,64,66,9.3,6.6,89,411,0,10.6,2023-02-13T16:00:00+00:00,PT60M
26,0.09,112,0,0,0,0,0,22,0,0,0,0,29.4,0,81.2,1008.6,0,0,0,0,60,62,9.1,6.4,102,410,0,10.2,2023-02-13T17:00:00+00:00,PT60M
25,0.09,120,0,0,0,0,0,21.8,0,0,0,0,29.2,0,83.4,1009.1,0,0,0,0,57,60,9,6.3,114,406,0,10,2023-02-13T18:00:00+00:00,PT60M
24,0.09,131,0,0,0,0,0.1,21.7,0,0,0,0,29,0,85.2,1009.4,0,0,0,0,56,59,9.1,6.3,126,384,0,10.4,2023-02-13T19:00:00+00:00,PT60M
24,0.09,146,0,0,0,0,2.4,21.7,0,0,0,0,28.9,0,86,1009.3,0,0,0,0,54,57,9.2,6.4,135,355,0,10.7,2023-02-13T20:00:00+00:00,PT60M
24,0.09,166,0,0,0,0,2.8,21.7,0,0,0,0,29,0,86.7,1008.8,0,0,0,0,53,55,9.2,6.3,140,337,0,10.6,2023-02-13T21:00:00+00:00,PT60M
24,0.09,-171,0,0,0,0,0,21.4,0,0,0,0,28.7,0,86.2,1008.5,0,0,0,0,50,53,8.7,5.9,141,280,0,10.2,2023-02-13T22:00:00+00:00,PT60M
