MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2021-05-22,5509.23408058,Nigeria,9.076439,7.425385
2023-04-14,3450.732,Nigeria,6.448858,7.392609
2024-02-04,5106.145,Nigeria,9.076439,7.425385
2023-08-14,2348.863,Nigeria,6.448858,7.392609
2023-02-21,6054.33,Nigeria,9.076439,7.425385
2021-09-01,3107.54525305,Nigeria,9.076439,7.425385
2024-02-02,4545.376,Nigeria,9.076439,7.425385
2020-09-05,1450.28784433,Nigeria,9.076439,7.425385
2023-05-27,2849.815,Nigeria,6.448858,7.392609
2023-08-03,1874.751,Nigeria,9.076439,7.425385
2021-11-27,6353.35681005,Nigeria,9.076439,7.425385
2024-05-23,5120.084,Nigeria,9.076439,7.425385
2023-07-19,4696.81,Nigeria,6.448858,7.392609
2022-03-02,5375.914423,Nigeria,9.076439,7.425385
2023-12-20,5136.422,Nigeria,9.076439,7.425385
2023-02-18,6189.143,Nigeria,6.448858,7.392609
2023-02-14,6447.79,Nigeria,9.076439,7.425385
2023-03-26,5702.134,Nigeria,6.448858,7.392609
2020-04-20,5754.64328892,Nigeria,9.076439,7.425385
2021-10-02,5922.01398142,Nigeria,9.076439,7.425385
2021-01-22,5480.81816249,Nigeria,9.076439,7.425385
2022-06-05,3889.78756336,Nigeria,9.076439,7.425385
2024-02-21,4178.15,Nigeria,6.448858,7.392609
2022-12-21,5510.07374677,Nigeria,9.076439,7.425385
2023-09-02,3502.501,Nigeria,6.448858,7.392609
2023-06-11,5370.357,Nigeria,6.448858,7.392609
2023-11-12,0,Nigeria,9.076439,7.425385
2023-12-13,0,Nigeria,9.076439,7.425385
2024-06-25,5047.086,Nigeria,9.076439,7.425385
2023-10-04,3931.782,Nigeria,6.448858,7.392609
2023-08-04,2925.842,Nigeria,6.448858,7.392609
2023-07-07,4391.066,Nigeria,6.448858,7.392609
2020-06-16,4983.06373756,Nigeria,9.076439,7.425385
2020-03-16,0,Nigeria,9.076439,7.425385
2021-03-18,2961.54846423,Nigeria,9.076439,7.425385
2024-01-26,4874.189,Nigeria,6.448858,7.392609
2020-10-30,6772.65961998,Nigeria,9.076439,7.425385
2024-01-12,5987.985,Nigeria,9.076439,7.425385
2021-05-16,5371.15979808,Nigeria,9.076439,7.425385
2024-03-08,4311.583,Nigeria,6.448858,7.392609
2023-04-27,2598.436,Nigeria,6.448858,7.392609
2023-11-21,6199.219,Nigeria,6.448858,7.392609
2022-09-29,3092.76911542,Nigeria,9.076439,7.425385
2022-08-21,4723.53301175,Nigeria,9.076439,7.425385
2023-10-22,4992.625,Nigeria,6.448858,7.392609
2023-04-15,4609.522,Nigeria,6.448858,7.392609
2023-05-05,6206.069,Nigeria,6.448858,7.392609
2020-04-23,4218.8980825,Nigeria,9.076439,7.425385
2020-09-11,4023.14456064,Nigeria,9.076439,7.425385
2020-12-12,5334.54454959,Nigeria,9.076439,7.425385
2024-01-28,5071.202,Nigeria,9.076439,7.425385
2021-11-03,6122.84510025,Nigeria,9.076439,7.425385
2023-07-25,3136.009,Nigeria,6.448858,7.392609
2020-09-19,4401.27700677,Nigeria,9.076439,7.425385
2020-07-22,5334.54214592,Nigeria,9.076439,7.425385
2021-12-07,4404.09529612,Nigeria,9.076439,7.425385
2022-08-01,3202.70940447,Nigeria,9.076439,7.425385
2020-12-03,0,Nigeria,9.076439,7.425385
2023-10-23,4534.123,Nigeria,9.076439,7.425385
2020-04-04,5680.58167162,Nigeria,9.076439,7.425385
2022-02-08,5513.08023464,Nigeria,9.076439,7.425385
2024-02-21,4883.058,Nigeria,9.076439,7.425385
2022-02-04,5433.14368417,Nigeria,9.076439,7.425385
2020-12-13,5270.00745007,Nigeria,9.076439,7.425385
2020-09-14,4243.38197535,Nigeria,9.076439,7.425385
2022-08-07,4946.633363,Nigeria,9.076439,7.425385
2023-06-03,3044.265,Nigeria,6.448858,7.392609
2023-10-18,4716.311,Nigeria,9.076439,7.425385
2024-01-19,5226.458,Nigeria,9.076439,7.425385
2022-05-01,5516.73609558,Nigeria,9.076439,7.425385
2023-04-13,6097.784,Nigeria,9.076439,7.425385
2023-12-06,6127.246,Nigeria,9.076439,7.425385
2023-09-12,2420.558,Nigeria,6.448858,7.392609
2023-07-20,5620.789,Nigeria,9.076439,7.425385
2021-12-17,5652.75474171,Nigeria,9.076439,7.425385
2021-02-17,6644.716272,Nigeria,9.076439,7.425385
2022-04-21,5549.11767661,Nigeria,9.076439,7.425385
2023-12-24,5415.857,Nigeria,9.076439,7.425385
2021-10-10,4514.76075038,Nigeria,9.076439,7.425385
2024-01-09,5675.367,Nigeria,9.076439,7.425385
2023-09-21,6247.647,Nigeria,9.076439,7.425385
2021-05-28,5770.02258121,Nigeria,9.076439,7.425385
2023-08-04,3794.103,Nigeria,9.076439,7.425385
2022-11-27,5750.6286295,Nigeria,9.076439,7.425385
2021-12-29,4842.19474923,Nigeria,9.076439,7.425385
2023-11-22,5359.471,Nigeria,9.076439,7.425385
2023-06-14,4245.806,Nigeria,6.448858,7.392609
2022-05-20,4423.60102023,Nigeria,9.076439,7.425385
2023-02-13,6819.864,Nigeria,6.448858,7.392609
2024-02-15,3759.444,Nigeria,6.448858,7.392609
2020-08-03,2189.24015608,Nigeria,9.076439,7.425385
2023-02-24,5336.303,Nigeria,9.076439,7.425385
2023-04-16,4018.595,Nigeria,6.448858,7.392609
2024-01-30,4424.549,Nigeria,6.448858,7.392609
2021-01-26,5983.65322856,Nigeria,9.076439,7.425385
2022-01-01,5281.93069026,Nigeria,9.076439,7.425385
2021-07-10,4217.5445455,Nigeria,9.076439,7.425385
2021-11-14,5708.562662,Nigeria,9.076439,7.425385
2022-02-16,5882.80593008,Nigeria,9.076439,7.425385
2021-06-22,1244.14120464,Nigeria,9.076439,7.425385
