DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
15180059806776514843,2023-10-15,0,Kenya,-1.494448,37.057094
14009020961523231008,2023-02-19,0,Kenya,0.610000,36.830000
14009020961523231008,2023-02-19,0,Kenya,0.610000,36.830000
6961463658566967421,2021-04-20,5676.97115,Kenya,-0.469974,35.181874
14009020961523231008,2022-11-17,0,Kenya,0.610000,36.830000
14009020961523231008,2022-11-17,0,Kenya,0.610000,36.830000
6961463658566967421,2021-09-07,6448.09335,Kenya,-0.469974,35.181874
1720018612255308305,2024-02-06,6388.303,Kenya,-1.491302,37.052862
11106529797326926225,2023-09-27,0,Kenya,-1.494448,37.057094
10173608244938908903,2021-03-03,5189.5,Ghana,5.645759,-0.105223
10173608244938908903,2021-05-01,6496.20833333,Ghana,5.645759,-0.105223
6888740820673076166,2023-10-13,7325.00966667,Kenya,0.610000,36.800000
6888740820673076166,2023-10-13,7325.00966667,Kenya,0.610000,36.800000
6002857824960866008,2023-03-11,5684.596,Ghana,-0.235111,5.632167
6888740820673076166,2023-09-17,6986.78283333,Kenya,0.610000,36.800000
6888740820673076166,2023-09-17,6986.78283333,Kenya,0.610000,36.800000
6888740820673076166,2020-08-10,5355.63233333,Kenya,0.610000,36.800000
6888740820673076166,2020-08-10,5355.63233333,Kenya,0.610000,36.800000
18074720362286236858,2024-03-07,4015.145,Ghana,5.645686,0.008678
11347099494983858833,2023-10-14,6857.118,Kenya,-0.220000,35.860000
11347099494983858833,2023-10-14,6857.118,Kenya,-0.220000,35.860000
17489857020235903699,2022-07-17,1458.06083333,Kenya,-0.270000,35.850000
4457035132449260732,2024-02-02,4023.38,Egypt,29.887561,32.460447
10173608244938908903,2022-03-24,4177.2235,Ghana,5.645759,-0.105223
7888428170914662789,2024-06-09,4140.185,Madagascar,-23.990000,45.120000
18074720362286236858,2021-11-05,4046.95583333,Ghana,5.645686,0.008678
12518679614139820510,2021-06-16,4444.99123547,Nigeria,9.076439,7.425385
10173608244938908903,2019-07-09,0,Ghana,5.645759,-0.105223
7888428170914662789,2024-05-20,4570.08,Madagascar,-23.990000,45.120000
10173608244938908903,2019-01-18,0,Ghana,5.645759,-0.105223
10173608244938908903,2022-07-31,2201.50666667,Ghana,5.645759,-0.105223
10173608244938908903,2020-03-05,5669.16666667,Ghana,5.645759,-0.105223
16388039360858303205,2023-03-01,7404.881,Kenya,-0.220000,35.860000
14009020961523231008,2022-02-03,16148.311,Kenya,0.610000,36.830000
14009020961523231008,2022-02-03,16148.311,Kenya,0.610000,36.830000
18074720362286236858,2023-10-24,3022.7375,Ghana,5.645686,0.008678
14009020961523231008,2020-01-16,0,Kenya,0.610000,36.830000
14009020961523231008,2020-01-16,0,Kenya,0.610000,36.830000
