DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
6002857824960866008,2024-09-22,4466.528,Ghana,-0.235111,5.632167
10173608244938908903,2024-09-22,1947.121,Ghana,5.645759,-0.105223
6002857824960866008,2024-09-26,4038.136,Ghana,-0.235111,5.632167
10173608244938908903,2024-09-26,4491.233,Ghana,5.645759,-0.105223
10173608244938908903,2024-10-09,4850.045,Ghana,5.645759,-0.105223
6002857824960866008,2024-10-09,3985.523,Ghana,-0.235111,5.632167
6002857824960866008,2024-10-12,3577.87,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-12,3801.274,Ghana,5.645759,-0.105223
10173608244938908903,2024-10-13,1533.482,Ghana,5.645759,-0.105223
6002857824960866008,2024-10-13,1665.716,Ghana,-0.235111,5.632167
6002857824960866008,2024-10-24,5457.114,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-22,6145.837,Ghana,5.645759,-0.105223
6002857824960866008,2024-10-22,5476.647,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-17,1708.925,Ghana,5.645759,-0.105223
6002857824960866008,2024-10-17,1776.282,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-28,5844.82,Ghana,5.645759,-0.105223
10173608244938908903,2024-10-23,5229.945,Ghana,5.645759,-0.105223
6002857824960866008,2024-10-23,4640.373,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-27,4480.255,Ghana,5.645759,-0.105223
6002857824960866008,2024-11-01,4991.312,Ghana,-0.235111,5.632167
10173608244938908903,2024-11-01,5379.523,Ghana,5.645759,-0.105223
6002857824960866008,2024-11-07,4104.646,Ghana,-0.235111,5.632167
6002857824960866008,2024-11-09,4922.468,Ghana,-0.235111,5.632167
10173608244938908903,2024-11-09,5177.939,Ghana,5.645759,-0.105223
10173608244938908903,2024-11-26,5595.878,Ghana,5.645759,-0.105223
6002857824960866008,2024-11-26,5402.237,Ghana,-0.235111,5.632167
10173608244938908903,2024-11-29,5577.339,Ghana,5.645759,-0.105223
6002857824960866008,2024-11-29,4657.665,Ghana,-0.235111,5.632167
6002857824960866008,2024-09-17,4026.973,Ghana,-0.235111,5.632167
10173608244938908903,2024-09-17,4352.11,Ghana,5.645759,-0.105223
6002857824960866008,2024-09-23,5103.339,Ghana,-0.235111,5.632167
6002857824960866008,2024-10-03,4213.59,Ghana,-0.235111,5.632167
10173608244938908903,2024-10-03,4358.187,Ghana,5.645759,-0.105223
10173608244938908903,2024-09-18,4972.721,Ghana,5.645759,-0.105223
6002857824960866008,2024-09-20,5151.711,Ghana,-0.235111,5.632167
10173608244938908903,2024-09-20,5733.012,Ghana,5.645759,-0.105223
18074720362286236858,2021-07-06,4848.94166667,Ghana,5.645686,0.008678
10173608244938908903,2019-02-17,0,Ghana,5.645759,-0.105223
6002857824960866008,2021-05-14,6192.70175833,Ghana,-0.235111,5.632167
6002857824960866008,2022-01-05,3893.44816667,Ghana,-0.235111,5.632167
10173608244938908903,2019-04-13,0,Ghana,5.645759,-0.105223
18074720362286236858,2023-02-20,3403.605,Ghana,5.645686,0.008678
6002857824960866008,2023-11-13,4601.647,Ghana,-0.235111,5.632167
