,58,200,12.86,0,0,-.385
102,2010,63,1600,13.7,670.67,0,-.281
102,2010,63,1700,13.7,428.18,0,-.253
102,2010,63,1800,13.73,95.473,0,-.237
102,2010,63,1900,13.73,76.335,0,-.567
102,2010,63,2000,13.74,8.9945,0,-.523
102,2010,63,2100,13.75,0,0,-.539
102,2010,63,2200,13.76,0,0,-.589
102,2010,63,2300,13.76,0,0,-.589
101,2010,63,2400,13.7,7738.1,0
102,2010,63,2400,13.77,0,0,-.567
102,2010,64,100,13.78,0,0,-.556
102,2010,64,200,13.78,0,0,-.54
102,2010,64,300,13.79,0,0,-.529
102,2010,64,400,13.79,0,0,-.556
102,2010,64,500,13.8,0,0,-.468
102,2010,64,600,13.8,0,0,-.534
102,2010,64,700,13.81,0,0,-.562
102,2010,64,800,13.82,54.52,0,-.551
102,2010,64,900,13.82,186.28,0,-.286
102,2010,64,1000,13.8,256.41,0,-.253
102,2010,64,1100,13.66,295.82,0,-.253
102,2010,64,1200,13.56,328.81,0,-.297
102,2010,64,1300,13.74,462.42,0,-.281
102,2010,64,1400,13.72,795.59,0,-.27
102,2010,64,1500,13.71,2413.5,0,-.264
102,2010,64,1600,13.69,2442.9,0,-.281
102,2010,64,1700,13.68,1763,0,-.27
102,2010,64,1800,12.65,458.28,0,-.281
102,2010,64,1900,13.68,184.21,0,-.275
102,2010,64,2000,13.68,28.419,0,-.242
102,2010,64,2100,13.7,0,0,-.22
102,2010,64,2200,13.71,0,0,-.226
102,2010,64,2300,13.72,.06705,0,-.27
101,2010,64,2400,12.65,9670.3,0
102,2010,64,2400,13.73,0,0,-.264
102,2010,65,100,13.73,.0479,0,-.281
102,2010,65,200,13.73,.67053,0,-.407
102,2010,65,300,13.75,1.6668,0,-.694
102,2010,65,400,13.77,0,0,-.54
102,2010,65,500,13.77,0,0,-.496
102,2010,65,600,13.77,0,0,-.457
102,2010,65,700,13.78,.25865,0,-.226
102,2010,65,800,13.78,38.578,0,-.231
102,2010,65,900,13.78,284.9,0,-.65
102,2010,65,1000,13.78,765.1,0,-.226
102,2010,65,1100,13.77,1043.7,0,-.248
102,2010,65,1200,13.76,616.07,0,-.259
102,2010,65,1300,13.76,678.77,0,-.336
102,2010,65,1400,13.75,624,0,-.248
102,2010,65,1500,13.74,1041.4,0,-.27
102,2010,65,1600,13.73,922.81,0,-.292
102,2010,65,1700,13.73,1302.5,0,-.281
102,2010,65,1800,13.72,1269.8,0,-.259
102,2010,65,1900,13.72,650.5,0,-.27
102,2010,65,2000,13.73,6.9255,0,-.628
102,2010,65,2100,13.75,0,0,-.534
102,2010,65,2200,13.75,0,0,-.495
102,2010,65,2300,13.76,0,0,-.506
101,2010,65,2400,13.72,9247.7,0
102,2010,65,2400,13.76,0,0,-.556
102,2010,66,100,13.77,0,0,-.562
102,2010,66,200,13.77,0,0,-.545
102,2010,66,300,13.78,0,0,-.584
102,2010,66,400,13.78,0,0,-.545
102,2010,66,500,13.79,0,0,-.611
102,2010,66,600,13.8,0,0,-.578
102,2010,66,700,13.8,0,0,-.479
102,2010,66,800,13.8,87.621,0,-.33
102,2010,66,900,13.8,406.15,0,-.275
102,2010,66,1000,13.79,342.34,0,-.264
102,2010,66,1100,13.78,338.41,0,-.264
102,2010,66,1200,13.75,519.86,0,-.27
102,2010,66,1300,13.74,886.85,0,-.275
102,2010,66,1400,13.72,1405.6,0,-.248
102,2010,66,1500,13.7,2856.2,0,-.275
102,2010,66,1600,13.68,2593.7,0,-.27
102,2010,66,1700,13.68,1839.9,0,-.27
102,2010,66,1800,13.68,1588.2,0,-.242
102,2010,66,1900,13.68,125.17,0,-.204
