Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-May-21,26.26,28.03,0.00
02-May-21,26.58,27.25,0.00
03-May-21,24.41,27.33,23.40
04-May-21,25.30,27.19,0.40
05-May-21,24.66,24.08,0.00
06-May-21,24.63,24.73,20.80
07-May-21,23.70,26.53,1.00
08-May-21,23.35,25.35,1.60
09-May-21,23.04,25.95,7.80
10-May-21,22.83,24.98,11.40
11-May-21,23.12,26.68,16.40
12-May-21,23.63,26.77,1.20
13-May-21,25.23,26.76,0.00
14-May-21,23.37,27.18,26.40
15-May-21,25.15,27.27,0.00
16-May-21,26.00,27.98,0.00
17-May-21,26.47,27.71,0.00
18-May-21,26.70,27.79,15.60
19-May-21,24.28,27.66,3.60
20-May-21,25.60,27.50,0.00
21-May-21,26.55,27.45,0.00
22-May-21,26.65,27.79,0.00
23-May-21,25.28,27.25,2.20
24-May-21,23.29,27.55,14.20
25-May-21,25.34,27.36,0.00
26-May-21,25.90,27.59,0.00
27-May-21,25.63,27.78,0.00
28-May-21,25.45,27.55,27.00
29-May-21,25.77,28.13,0.00
30-May-21,26.77,27.84,0.00
31-May-21,26.39,28.25,0.00
Average,25.08,27.07,
Maximum,26.77,28.25,27.00
Minimum,22.83,24.08,0.00
Total,,,173.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 May '21,6.99 6.99,6.88,,0.04,1.51
02 May '21,7.07 7.07,6.67,,0.09,5.75
03 May '21,4.75 4.76,5.09,,-0.07,-6.95
04 May '21,7.42 7.42,7.03,,-0.02,5.25
05 May '21,5.90 5.89,5.57,,0.13,5.65
06 May '21,5.44 5.44,5.74,,-0.09,-5.51
07 May '21,5.67 5.66,5.57,,0.06,1.72
08 May '21,3.67 3.67,3.97,,0.16,-8.03
09 May '21,3.59 3.59,3.50,,0.08,2.51
10 May '21,4.77 4.77,4.45,,0.02,6.75
11 May '21,5.13 5.13,4.83,,-0.05,5.88
12 May '21,5.52 5.52,5.94,,-0.04,-7.63
13 May '21,6.85 6.86,6.62,,-0.11,3.33
