Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-November-21,26.16,27.75,0.00
02-November-21,25.38,28.47,0.00
03-November-21,23.67,28.30,19.00
04-November-21,23.77,27.68,0.00
05-November-21,24.08,27.21,0.20
06-November-21,24.51,27.40,2.80
07-November-21,25.49,27.50,0.00
08-November-21,24.62,27.16,0.00
09-November-21,25.24,27.59,0.00
10-November-21,26.47,28.01,0.60
11-November-21,27.00,28.40,0.00
12-November-21,25.63,28.14,0.00
13-November-21,24.59,28.56,1.80
14-November-21,26.14,28.58,0.00
15-November-21,26.23,28.65,8.00
16-November-21,26.04,28.68,0.00
17-November-21,25.65,29.01,13.20
18-November-21,24.02,28.87,3.20
19-November-21,25.76,29.03,0.00
20-November-21,25.02,29.47,0.00
21-November-21,24.86,28.62,5.40
22-November-21,25.34,28.35,1.00
23-November-21,24.63,28.34,0.00
24-November-21,25.55,29.50,0.00
25-November-21,24.08,28.50,0.00
26-November-21,25.31,28.98,0.00
27-November-21,24.40,27.95,12.40
28-November-21,23.71,27.02,0.20
29-November-21,23.73,27.55,5.40
30-November-21,24.29,28.44,0.00
Average,25.05,28.26,
Maximum,27.00,29.50,19.00
Minimum,23.67,27.02,0.00
Total,,,73.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 November '21,6.38 6.37,6.70,,0.19,-5.05
02 November '21,6.42 6.41,6.02,,0.15,6.24
03 November '21,5.50 5.49,5.15,,0.05,6.30
04 November '21,6.21 6.20,6.31,,0.22,-1.61
05 November '21,6.21 6.19,6.14,,0.32,1.20
06 November '21,7.14 7.12,6.92,,0.24,3.11
07 November '21,6.77 6.75,6.83,,0.32,-0.92
08 November '21,5.56 5.55,5.82,,0.11,-4.65
09 November '21,5.82 5.80,6.08,,0.29,-4.47
10 November '21,5.80 5.79,6.19,,0.20,-6.72
11 November '21,6.51 6.49,6.79,,0.31,-4.26
12 November '21,5.73 5.70,6.11,,0.41,-6.75
13 November '21,4.18 4.17,4.33,,0.02,-3.60
14 November '21,6.78 6.76,6.76,,0.24,0.25
15 November '21,6.73 6.71,6.70,,0.26,0.48
16 November '21,6.56 6.54,6.65,,0.29,-1.42
17 November '21,5.97 5.96,6.21,,0.19,-3.96
18 November '21,5.60 5.59,5.51,,0.28,1.76
19 November '21,6.82 6.81,6.97,,0.12,-2.15
20 November '21,5.58 5.57,5.08,,0.13,9.06
21 November '21,5.58 5.57,5.63,,0.20,-1.02
22 November '21,5.78 5.76,5.97,,0.30,-3.26
23 November '21,6.31 6.30,6.86,,0.29,-8.59
24 November '21,6.40 6.38,6.78,,0.31,-5.87
25 November '21,4.54 4.54,4.23,,0.00,6.73
26 November '21,5.49 5.48,5.38,,0.26,2.07
27 November '21,6.55 6.54,5.68,,0.11,13.37
28 November '21,3.80 3.79,3.71,,0.21,2.42
29 November '21,5.82 5.81,5.62,,0.15,3.45
30 November '21,5.06 5.05,4.90,,0.23,3.35
Average,5.92 5.91,5.93,,0.21*,4.14*
Maximum,7.14 7.12,6.97,,0.41,13.37
Minimum,3.80 3.79,3.71,,0.00,0.25
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m /day 2 kWh/m /day,,%
01 November '21,2.59 2.32,,10.39
02 November '21,3.41 2.85,,16.44
03 November '21,2.02 2.16,,-6.99
04 November '21,2.06 2.15,,-4.30
05 November '21,2.47 2.14,,13.41
06 November '21,1.55 1.99,,-28.28
07 November '21,1.65 2.05,,-24.14
08 November '21,2.68 2.47,,8.10
09 November '21,1.76 1.88,,-6.51
10 November '21,2.79 2.20,,21.24
11 November '21,1.54 1.79,,-16.17
12 November '21,1.95 2.16,,-10.31
13 November '21,2.26 2.02,,10.27
14 November '21,1.43 2.01,,-40.65
15 November '21,1.72 2.09,,-21.36
16 November '21,1.71 2.03,,-18.93
17 November '21,2.42 2.56,,-5.75
18 November '21,1.86 2.13,,-14.73
19 November '21,1.45 1.67,,-15.44
20 November '21,2.76 2.82,,-1.89
21 November '21,3.06 2.70,,11.76
22 November '21,2.55 2.38,,6.38
23 November '21,1.68 1.79,,-6.43
24 November '21,1.57 2.09,,-33.55
25 November '21,1.82 2.09,,-14.59
26 November '21,2.81 2.60,,7.45
27 November '21,2.40 2.45,,-2.11
28 November '21,3.24 2.53,,21.86
29 November '21,2.26 2.38,,-5.12
30 November '21,2.65 2.48,,6.64
Average,2.20 2.23,,13.71*
Maximum,3.41 2.85,,-40.65
