Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-August-21,25.42,26.61,0.00
02-August-21,24.25,26.38,0.00
03-August-21,24.90,26.53,0.00
04-August-21,23.39,26.12,26.00
05-August-21,25.24,26.81,0.00
06-August-21,24.91,26.87,0.00
07-August-21,24.61,27.18,0.00
08-August-21,23.49,26.82,15.00
09-August-21,24.10,26.74,0.00
10-August-21,23.17,25.44,2.40
11-August-21,22.89,26.35,0.00
12-August-21,23.77,26.20,0.00
13-August-21,24.51,26.44,0.80
14-August-21,23.29,25.28,0.80
15-August-21,21.48,26.08,10.60
16-August-21,23.36,25.80,0.00
17-August-21,24.44,26.13,5.40
18-August-21,25.63,27.66,0.20
19-August-21,23.66,27.51,7.60
20-August-21,23.04,27.57,22.60
21-August-21,24.64,26.84,0.00
22-August-21,21.62,26.51,50.80
23-August-21,24.26,26.18,0.00
24-August-21,24.02,26.21,0.00
25-August-21,24.87,27.40,0.00
26-August-21,24.81,27.83,0.00
27-August-21,25.89,27.66,0.00
28-August-21,25.59,28.43,0.00
29-August-21,25.60,27.29,0.20
30-August-21,25.08,26.64,0.00
31-August-21,26.11,27.61,0.00
Average,24.26,26.74,
Maximum,26.11,28.43,50.80
Minimum,21.48,25.28,0.00
Total,,,142.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 August '21,6.20 6.21,6.72,,-0.07,-8.40
02 August '21,5.28 5.28,4.96,,0.01,5.91
03 August '21,6.41 6.42,6.98,,-0.13,-8.96
04 August '21,4.33 4.34,4.36,,-0.26,-0.83
05 August '21,6.55 6.56,6.81,,-0.11,-3.99
06 August '21,5.48 5.48,5.71,,0.09,-4.08
07 August '21,6.05 6.05,6.30,,-0.07,-4.05
08 August '21,3.36 3.35,3.28,,0.04,2.40
09 August '21,4.86 4.86,5.10,,-0.04,-4.92
10 August '21,5.81 5.81,5.98,,0.01,-2.99
11 August '21,4.57 4.57,4.72,,0.16,-3.20
12 August '21,6.48 6.48,6.67,,0.01,-2.82
13 August '21,6.17 6.16,5.75,,0.19,6.89
14 August '21,5.17 5.18,5.20,,-0.06,-0.55
15 August '21,2.61 2.61,2.85,,0.15,-9.03
16 August '21,4.96 4.95,6.01,,0.10,-21.19
17 August '21,5.99 5.99,6.32,,0.11,-5.38
18 August '21,7.11 7.11,6.95,,-0.02,2.26
19 August '21,6.43 6.43,6.44,,0.04,-0.25
20 August '21,5.88 5.86,5.82,,0.20,0.99
21 August '21,5.92 5.92,6.52,,0.11,-10.11
22 August '21,3.09 3.09,3.27,,0.07,-5.61
23 August '21,7.39 7.39,7.35,,0.00,0.50
24 August '21,4.35 4.35,5.02,,0.06,-15.35
25 August '21,6.08 6.07,6.26,,0.11,-2.96
26 August '21,6.65 6.65,6.60,,0.00,0.73
27 August '21,6.73 6.73,7.17,,0.04,-6.46
28 August '21,6.26 6.25,6.41,,0.22,-2.44
29 August '21,3.89 3.90,3.83,,-0.13,1.60
30 August '21,5.69 5.69,6.04,,0.09,-6.14
31 August '21,6.47 6.47,6.46,,0.08,0.25
Average,5.56 5.55,5.74,,0.09*,4.88*
Maximum,7.39 7.39,7.35,,-0.26,-21.19
Minimum,2.61 2.61,2.85,,0.00,-0.25
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 August '21,2.59 2.34,,9.73
02 August '21,3.26 2.87,,11.75
03 August '21,1.55 1.97,,-27.27
04 August '21,1.75 2.02,,-15.31
05 August '21,2.37 2.22,,6.38
06 August '21,2.37 2.64,,-11.07
07 August '21,2.13 2.89,,-35.80
08 August '21,2.67 2.58,,3.43
09 August '21,3.30 3.19,,3.53
10 August '21,1.06 1.86,,-75.98
11 August '21,1.86 1.84,,1.12
12 August '21,1.67 2.05,,-22.91
13 August '21,1.90 2.31,,-21.49
14 August '21,2.92 2.86,,2.10
15 August '21,2.02 2.09,,-3.35
16 August '21,3.07 2.88,,6.06
17 August '21,1.69 2.18,,-28.68
18 August '21,1.47 2.10,,-43.05
19 August '21,1.96 2.39,,-21.59
20 August '21,1.88 2.42,,-28.93
21 August '21,1.98 2.10,,-5.68
22 August '21,2.49 2.29,,8.06
23 August '21,1.05 1.51,,-43.59
24 August '21,2.25 2.36,,-5.02
25 August '21,2.45 2.19,,10.96
26 August '21,1.82 1.88,,-3.45
27 August '21,1.28 1.94,,-51.82
28 August '21,1.94 2.12,,-9.13
29 August '21,2.57 2.50,,2.58
30 August '21,2.94 3.33,,-13.24
31 August '21,2.00 3.13,,-56.44
Average,2.14 2.36,,19.02*
Maximum,3.30 3.33,,-75.98
Minimum,1.05 1.51,,1.12
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 August '21,5.65 5.55,5.64,,1.84,0.17
02 August '21,4.92 4.82,4.89,,2.05,0.65
03 August '21,5.85 5.72,5.80,,2.19,0.82
04 August '21,4.00 3.97,3.99,,0.80,0.25
05 August '21,6.01 5.95,6.00,,1.07,0.19
06 August '21,5.14 5.06,5.11,,1.55,0.47
07 August '21,5.61 5.52,5.57,,1.63,0.76
08 August '21,3.18 3.15,3.17,,1.04,0.26
09 August '21,4.56 4.51,4.55,,1.13,0.33
10 August '21,5.41 5.40,5.41,,0.21,0.09
11 August '21,4.31 4.30,4.30,,0.24,0.09
12 August '21,5.99 5.99,5.99,,0.08,0.15
13 August '21,5.77 5.74,5.75,,0.46,0.37
14 August '21,4.87 4.87,4.86,,-0.02,0.13
15 August '21,2.54 2.54,2.49,,0.29,2.15
16 August '21,4.66 4.65,4.63,,0.14,0.64
