Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-December-20,24.80,27.88,0.00
02-December-20,24.65,28.97,0.00
03-December-20,23.07,28.82,13.40
04-December-20,24.28,28.08,0.20
05-December-20,23.90,28.31,0.00
06-December-20,25.41,28.99,0.40
07-December-20,24.87,29.24,27.40
08-December-20,21.98,28.33,6.40
09-December-20,24.91,28.50,0.20
10-December-20,25.01,28.90,0.00
11-December-20,24.62,28.18,0.00
12-December-20,24.64,28.35,0.00
13-December-20,24.50,28.46,0.00
14-December-20,24.31,28.75,0.00
15-December-20,24.40,28.54,0.00
16-December-20,23.64,28.06,0.00
17-December-20,23.85,28.20,0.00
18-December-20,23.72,27.91,0.00
19-December-20,23.56,28.62,0.00
20-December-20,24.21,30.11,0.00
21-December-20,25.40,29.45,2.00
22-December-20,24.69,29.69,1.20
23-December-20,25.20,30.12,0.00
24-December-20,24.72,30.50,3.40
25-December-20,25.44,30.22,0.00
26-December-20,24.56,29.69,3.20
27-December-20,25.44,29.50,0.00
28-December-20,24.41,28.83,0.00
29-December-20,24.10,29.13,0.00
30-December-20,25.20,30.17,0.00
31-December-20,24.13,29.78,0.00
Average,24.44,28.98,
Maximum,25.44,30.50,27.40
Minimum,21.98,27.88,0.00
Total,,,57.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 December '20,6.91 6.89,6.83,,0.36,1.12
02 December '20,6.02 6.00,6.18,,0.21,-2.72
03 December '20,5.12 5.10,5.67,,0.41,-10.71
04 December '20,6.06 6.04,6.25,,0.36,-3.16
05 December '20,5.43 5.41,5.35,,0.42,1.48
06 December '20,6.69 6.67,6.80,,0.22,-1.68
07 December '20,6.66 6.63,6.61,,0.43,0.66
08 December '20,3.67 3.65,3.63,,0.53,1.19
09 December '20,6.80 6.78,6.68,,0.21,1.82
10 December '20,6.67 6.65,6.90,,0.30,-3.44
11 December '20,6.13 6.11,6.57,,0.37,-7.23
12 December '20,6.23 6.22,6.74,,0.17,-8.17
13 December '20,6.51 6.49,6.81,,0.40,-4.57
14 December '20,6.23 6.21,6.17,,0.23,0.91
15 December '20,6.24 6.22,6.79,,0.35,-8.77
16 December '20,6.38 6.36,6.84,,0.25,-7.19
17 December '20,6.14 6.12,6.56,,0.31,-6.88
18 December '20,6.03 6.02,6.45,,0.21,-6.96
19 December '20,6.31 6.28,6.42,,0.40,-1.69
20 December '20,6.17 6.17,6.52,,0.09,-5.61
21 December '20,6.13 6.12,6.63,,0.16,-8.24
22 December '20,6.44 6.42,6.49,,0.29,-0.69
23 December '20,6.35 6.33,6.69,,0.28,-5.41
24 December '20,5.46 5.44,5.54,,0.42,-1.42
25 December '20,6.03 6.01,6.49,,0.31,-7.62
26 December '20,5.80 5.78,5.80,,0.30,0.10
27 December '20,6.35 6.33,6.92,,0.40,-8.93
28 December '20,6.26 6.24,6.92,,0.34,-10.59
29 December '20,6.20 6.17,6.78,,0.35,-9.38
30 December '20,6.01 6.01,6.41,,0.08,-6.64
31 December '20,3.67 3.65,4.02,,0.48,-9.61
Average,6.04 6.02,6.31,,0.31*,4.99*
Maximum,6.91 6.89,6.92,,0.53,-10.71
Minimum,3.67 3.65,3.63,,0.08,0.10
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m /day 2 kWh/m /day,,%
01 December '20,1.33 1.50,,-13.28
02 December '20,2.09 2.09,,0.24
03 December '20,2.33 1.98,,14.89
04 December '20,1.77 1.90,,-7.53
05 December '20,2.22 2.26,,-2.02
06 December '20,1.33 1.70,,-27.69
07 December '20,1.25 1.74,,-39.45
08 December '20,1.51 1.69,,-11.40
09 December '20,1.47 1.68,,-14.44
10 December '20,1.37 1.40,,-1.73
11 December '20,1.99 1.89,,5.05
12 December '20,1.73 1.95,,-12.56
13 December '20,1.41 1.78,,-26.24
14 December '20,2.21 2.54,,-14.67
15 December '20,1.77 1.95,,-10.59
16 December '20,1.44 2.01,,-39.45
17 December '20,1.73 2.50,,-44.16
18 December '20,1.79 2.60,,-45.24
19 December '20,1.57 2.72,,-73.07
20 December '20,1.54 2.50,,-62.56
21 December '20,1.73 2.02,,-16.81
22 December '20,1.54 1.94,,-25.91
23 December '20,1.47 1.85,,-26.41
24 December '20,1.76 1.93,,-9.94
25 December '20,1.70 2.09,,-22.79
26 December '20,1.56 1.97,,-26.79
27 December '20,1.57 1.71,,-9.49
28 December '20,1.53 1.69,,-10.68
29 December '20,1.53 1.93,,-25.99
30 December '20,1.87 2.36,,-26.27
31 December '20,2.57 2.65,,-2.90
Average,1.70 2.02,,21.62*
Maximum,2.57 2.72,,-73.07
Minimum,1.25 1.40,,0.24
Day,"GTI (Clean)2kWh/m/day","GTI (Soil)2kWh/m /day","GTI (Monthly)2kWh/m /day","GTI (Clean) vs(Soil)%","GTI (Clean) vs(Monthly)%"
