Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-July-21,24.62,27.10,0.00
02-July-21,24.65,25.88,1.00
03-July-21,24.54,27.66,0.00
04-July-21,25.11,27.14,0.00
05-July-21,25.72,28.01,0.00
06-July-21,21.40,27.69,5.60
07-July-21,22.70,26.69,3.00
08-July-21,21.07,25.70,3.20
09-July-21,23.93,27.16,0.00
10-July-21,24.30,24.91,0.00
11-July-21,25.11,26.45,0.00
12-July-21,24.65,26.10,0.00
13-July-21,23.75,26.84,0.40
14-July-21,24.40,27.03,0.40
15-July-21,21.89,25.68,13.60
16-July-21,23.63,26.68,0.00
17-July-21,23.96,27.17,0.00
18-July-21,23.31,27.63,4.20
19-July-21,25.03,27.15,3.60
20-July-21,23.47,26.80,2.20
21-July-21,24.73,27.30,0.20
22-July-21,24.93,27.88,1.80
23-July-21,25.73,28.10,0.00
24-July-21,23.75,27.23,0.00
25-July-21,24.98,27.43,0.00
26-July-21,25.73,26.62,0.00
27-July-21,25.52,26.24,0.00
28-July-21,25.53,26.75,0.00
29-July-21,22.34,27.59,14.40
30-July-21,24.26,27.25,0.00
31-July-21,25.67,26.66,0.00
Average,24.21,26.92,
Maximum,25.73,28.10,14.40
Minimum,21.07,24.91,0.00
Total,,,53.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 July '21,6.11 6.12,6.43,,-0.12,-5.25
02 July '21,5.89 5.90,5.61,,-0.03,4.78
03 July '21,6.50 6.49,6.47,,0.02,0.40
04 July '21,5.72 5.71,6.11,,0.10,-6.94
05 July '21,5.51 5.52,5.91,,-0.14,-7.25
06 July '21,1.79 1.79,1.78,,0.06,0.65
07 July '21,4.82 4.82,5.09,,-0.15,-5.70
08 July '21,1.42 1.42,1.11,,-0.02,22.08
09 July '21,6.13 6.13,6.38,,-0.12,-4.18
10 July '21,4.89 4.90,4.90,,-0.06,-0.07
11 July '21,5.00 5.01,5.37,,-0.18,-7.31
12 July '21,4.52 4.53,4.91,,-0.26,-8.64
13 July '21,3.59 3.59,3.96,,-0.05,-10.12
