MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-08-25,4326.483,Somalia,3.107191,43.637153
2024-08-26,5096.357,Somalia,3.107191,43.637153
2024-07-11,3871.337,Somalia,3.107191,43.637153
2024-04-26,2053.968,Somalia,3.107191,43.637153
2024-07-29,4832.921,Somalia,3.107191,43.637153
2024-08-06,5412.731,Somalia,3.107191,43.637153
2024-05-05,3380.691,Somalia,3.107191,43.637153
2024-08-20,3094.98,Somalia,3.107191,43.637153
2024-09-01,6063.466,Somalia,3.107191,43.637153
2024-07-13,4325.218,Somalia,3.107191,43.637153
2024-08-15,5266.918,Somalia,3.107191,43.637153
2024-07-14,4137.884,Somalia,3.107191,43.637153
2024-07-22,6265.968,Somalia,3.107191,43.637153
2024-07-27,4643.446,Somalia,3.107191,43.637153
2024-08-17,4191.973,Somalia,3.107191,43.637153
2024-08-10,5617.182,Somalia,3.107191,43.637153
2024-04-20,5188.47,Somalia,3.107191,43.637153
2024-08-11,4194.562,Somalia,3.107191,43.637153
2024-08-13,4746.386,Somalia,3.107191,43.637153
2024-09-03,6029.111,Somalia,3.107191,43.637153
2024-04-03,4275.188,Somalia,3.107191,43.637153
2024-04-11,5638.088,Somalia,3.107191,43.637153
2024-04-21,1956.331,Somalia,3.107191,43.637153
2024-03-21,7357.167,Somalia,3.107191,43.637153
2024-04-29,5132.954,Somalia,3.107191,43.637153
2024-07-16,1587.091,Somalia,3.107191,43.637153
2024-08-07,267.142,Somalia,3.107191,43.637153
2024-07-25,3859.64,Somalia,3.107191,43.637153
2024-08-18,4552.407,Somalia,3.107191,43.637153
2024-08-22,3338.234,Somalia,3.107191,43.637153
2024-07-15,4033.937,Somalia,3.107191,43.637153
2024-08-30,6531.657,Somalia,3.107191,43.637153
2024-07-23,4955.526,Somalia,3.107191,43.637153
2024-04-08,5359.873,Somalia,3.107191,43.637153
2024-04-16,4570.071,Somalia,3.107191,43.637153
2024-07-07,5232.245,Somalia,3.107191,43.637153
2024-07-31,5564.025,Somalia,3.107191,43.637153
2024-11-20,5567.163,Somalia,3.107191,43.637153
2024-09-04,6039.494,Somalia,3.107191,43.637153
2024-04-15,4668.532,Somalia,3.107191,43.637153
2024-03-22,7203.281,Somalia,3.107191,43.637153
2024-04-25,4382.209,Somalia,3.107191,43.637153
2024-07-17,2987.716,Somalia,3.107191,43.637153
2024-04-14,6636.34,Somalia,3.107191,43.637153
2024-08-12,5823.009,Somalia,3.107191,43.637153
2024-08-21,2181.232,Somalia,3.107191,43.637153
2024-03-31,6020.129,Somalia,3.107191,43.637153
2024-05-03,6963.045,Somalia,3.107191,43.637153
2024-03-26,6528.213,Somalia,3.107191,43.637153
2024-08-23,4523.874,Somalia,3.107191,43.637153
2024-07-20,4839.895,Somalia,3.107191,43.637153
2024-07-28,6340.419,Somalia,3.107191,43.637153
2024-07-08,5063.859,Somalia,3.107191,43.637153
2024-07-10,3713.342,Somalia,3.107191,43.637153
2024-04-12,5165.464,Somalia,3.107191,43.637153
2024-03-11,7416.469,Somalia,3.107191,43.637153
2024-07-19,3271.026,Somalia,3.107191,43.637153
2024-08-01,2880.105,Somalia,3.107191,43.637153
2024-08-31,5279.436,Somalia,3.107191,43.637153
2024-07-21,2942.429,Somalia,3.107191,43.637153
2024-08-29,4310.79,Somalia,3.107191,43.637153
2024-05-04,5401.102,Somalia,3.107191,43.637153
2024-03-10,7384.162,Somalia,3.107191,43.637153
2024-03-13,6758.804,Somalia,3.107191,43.637153
2024-03-14,7309.64,Somalia,3.107191,43.637153
2024-03-30,6808.566,Somalia,3.107191,43.637153
2024-03-19,6376.534,Somalia,3.107191,43.637153
