datetime,ghi,location,latitude,longitude
2024-05-03,6963.045,somalia_location1,3.107191,43.637153
2024-05-04,5401.102,somalia_location1,3.107191,43.637153
2024-05-05,3380.691,somalia_location1,3.107191,43.637153
2024-05-06,5062.738,somalia_location1,3.107191,43.637153
2024-05-07,4158.929,somalia_location1,3.107191,43.637153
2024-05-08,4839.535,somalia_location1,3.107191,43.637153
2024-05-09,5240.914,somalia_location1,3.107191,43.637153
2024-05-10,5820.576,somalia_location1,3.107191,43.637153
2024-05-11,6551.327,somalia_location1,3.107191,43.637153
2024-05-12,7147.167,somalia_location1,3.107191,43.637153
2024-05-13,6305.111,somalia_location1,3.107191,43.637153
2024-05-14,6768.936,somalia_location1,3.107191,43.637153
2024-05-15,6364.049,somalia_location1,3.107191,43.637153
2024-05-16,6843.478,somalia_location1,3.107191,43.637153
2024-05-17,6737.211,somalia_location1,3.107191,43.637153
2024-05-18,5477.665,somalia_location1,3.107191,43.637153
2024-05-19,5667.729,somalia_location1,3.107191,43.637153
2024-05-20,5842.483,somalia_location1,3.107191,43.637153
2024-05-21,4705.63,somalia_location1,3.107191,43.637153
2024-05-22,5808.492,somalia_location1,3.107191,43.637153
2024-05-23,3269.408,somalia_location1,3.107191,43.637153
2024-05-24,4179.681,somalia_location1,3.107191,43.637153
2024-05-25,4350.36,somalia_location1,3.107191,43.637153
2024-05-26,6319.323,somalia_location1,3.107191,43.637153
2024-05-27,1419.465,somalia_location1,3.107191,43.637153
2024-05-28,5545.081,somalia_location1,3.107191,43.637153
2024-05-29,5893.129,somalia_location1,3.107191,43.637153
2024-05-30,3984.932,somalia_location1,3.107191,43.637153
2024-05-31,4991.777,somalia_location1,3.107191,43.637153
2024-06-01,5602.255,somalia_location1,3.107191,43.637153
2024-06-02,5929.777,somalia_location1,3.107191,43.637153
2024-06-03,6352.001,somalia_location1,3.107191,43.637153
2024-06-04,6116.873,somalia_location1,3.107191,43.637153
2024-06-05,6303.212,somalia_location1,3.107191,43.637153
2024-06-06,4249.998,somalia_location1,3.107191,43.637153
2024-06-07,5524.421,somalia_location1,3.107191,43.637153
2024-06-08,4376.75,somalia_location1,3.107191,43.637153
2024-06-09,5255.596,somalia_location1,3.107191,43.637153
2024-06-10,5618.018,somalia_location1,3.107191,43.637153
2024-06-11,4564.939,somalia_location1,3.107191,43.637153
2024-06-12,4207.067,somalia_location1,3.107191,43.637153
2024-06-13,4683.123,somalia_location1,3.107191,43.637153
2024-06-14,6378.477,somalia_location1,3.107191,43.637153
2024-06-15,6870.636,somalia_location1,3.107191,43.637153
2024-06-16,5734.784,somalia_location1,3.107191,43.637153
2024-06-17,5346.062,somalia_location1,3.107191,43.637153
2024-06-18,5103.252,somalia_location1,3.107191,43.637153
