datetime,ghi,location,latitude,longitude
2023-05-15,3488.45954167,madagascar_location1,-25.053564,46.947956
2023-05-16,3154.32903125,madagascar_location1,-25.053564,46.947956
2023-05-17,4433.35545833,madagascar_location1,-25.053564,46.947956
2023-05-18,4450.62804167,madagascar_location1,-25.053564,46.947956
2023-05-19,4416.50541667,madagascar_location1,-25.053564,46.947956
2023-05-20,3569.92054167,madagascar_location1,-25.053564,46.947956
2023-05-21,2925.79466667,madagascar_location1,-25.053564,46.947956
2023-05-24,2619.1625,madagascar_location1,-25.053564,46.947956
2023-05-25,1607.21608333,madagascar_location1,-25.053564,46.947956
2023-05-26,2424.07316667,madagascar_location1,-25.053564,46.947956
2023-05-27,4347.0375,madagascar_location1,-25.053564,46.947956
2023-05-28,4194.32279167,madagascar_location1,-25.053564,46.947956
2023-05-29,4193.84375,madagascar_location1,-25.053564,46.947956
2023-05-30,4108.35458333,madagascar_location1,-25.053564,46.947956
2023-05-31,4180.8635,madagascar_location1,-25.053564,46.947956
2023-06-01,4236.609,madagascar_location1,-25.053564,46.947956
2023-06-02,4141.863,madagascar_location1,-25.053564,46.947956
2023-06-03,4153.724,madagascar_location1,-25.053564,46.947956
2023-06-04,4002.588,madagascar_location1,-25.053564,46.947956
2023-06-05,4164.892,madagascar_location1,-25.053564,46.947956
2023-06-06,3973.666,madagascar_location1,-25.053564,46.947956
2023-06-07,3974.326,madagascar_location1,-25.053564,46.947956
2023-06-08,4123.833,madagascar_location1,-25.053564,46.947956
2023-06-09,3962.067,madagascar_location1,-25.053564,46.947956
2023-06-10,3980.563,madagascar_location1,-25.053564,46.947956
2023-06-11,3943.869,madagascar_location1,-25.053564,46.947956
2023-06-12,3758.863,madagascar_location1,-25.053564,46.947956
2023-06-13,3938.59,madagascar_location1,-25.053564,46.947956
2023-06-14,3864.736,madagascar_location1,-25.053564,46.947956
2023-06-15,3868.182,madagascar_location1,-25.053564,46.947956
2023-06-16,4034.652,madagascar_location1,-25.053564,46.947956
2023-06-17,3426.968,madagascar_location1,-25.053564,46.947956
2023-06-18,2305.029,madagascar_location1,-25.053564,46.947956
2023-06-19,4096.574,madagascar_location1,-25.053564,46.947956
2023-06-20,4044.672,madagascar_location1,-25.053564,46.947956
2023-06-21,3971.492,madagascar_location1,-25.053564,46.947956
2023-06-22,3980.09,madagascar_location1,-25.053564,46.947956
2023-06-24,3083.106,madagascar_location1,-25.053564,46.947956
2023-06-25,3680.634,madagascar_location1,-25.053564,46.947956
2023-06-26,3869.08,madagascar_location1,-25.053564,46.947956
2023-06-27,3701.484,madagascar_location1,-25.053564,46.947956
2023-06-28,3856.598,madagascar_location1,-25.053564,46.947956
2023-06-29,1241.433,madagascar_location1,-25.053564,46.947956
2023-06-30,2884.49,madagascar_location1,-25.053564,46.947956
2023-07-01,3884.535,madagascar_location1,-25.053564,46.947956
2023-07-02,3957.529,madagascar_location1,-25.053564,46.947956
2023-07-03,3196.145,madagascar_location1,-25.053564,46.947956
2023-07-04,3193.556,madagascar_location1,-25.053564,46.947956
2023-07-05,4015.924,madagascar_location1,-25.053564,46.947956
2023-07-06,4106.66,madagascar_location1,-25.053564,46.947956
2023-07-07,2280.717,madagascar_location1,-25.053564,46.947956
2023-07-08,4093.618,madagascar_location1,-25.053564,46.947956
2023-07-09,3944.032,madagascar_location1,-25.053564,46.947956
2023-07-10,4147.421,madagascar_location1,-25.053564,46.947956
2023-07-11,3442.389,madagascar_location1,-25.053564,46.947956
2023-07-12,3472.476,madagascar_location1,-25.053564,46.947956
2023-07-13,3011.49,madagascar_location1,-25.053564,46.947956
2023-07-14,3404.128,madagascar_location1,-25.053564,46.947956
2023-07-15,1551.723,madagascar_location1,-25.053564,46.947956
2023-07-16,4394.081,madagascar_location1,-25.053564,46.947956
2023-07-17,4330.944,madagascar_location1,-25.053564,46.947956
2023-07-18,4392.864,madagascar_location1,-25.053564,46.947956
2023-07-19,4391.504,madagascar_location1,-25.053564,46.947956
2023-07-20,4037.583,madagascar_location1,-25.053564,46.947956
2023-07-22,2339.394,madagascar_location1,-25.053564,46.947956
2023-07-23,4376.043,madagascar_location1,-25.053564,46.947956
2023-07-24,4452.953,madagascar_location1,-25.053564,46.947956
