Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
25 January '21,6.32 5.99,6.12,,5.17,3.08
26 January '21,6.57 6.23,6.36,,5.17,3.19
27 January '21,7.45 7.04,7.19,,5.49,3.49
28 January '21,7.53 7.09,7.23,,5.89,3.94
29 January '21,6.93 6.50,6.63,,6.20,4.30
30 January '21,6.16 5.76,5.89,,6.50,4.40
31 January '21,7.10 6.65,6.79,,6.33,4.32
Average,6.23 5.98,6.12,,4.01*,1.70*
Maximum,7.56 7.32,7.52,,6.50,4.40
Minimum,3.11 3.02,3.12,,2.44,0.01
