Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-November-21,25.42,25.03,0.00
02-November-21,24.57,25.17,0.00
03-November-21,23.12,25.34,0.00
04-November-21,24.13,25.23,5.60
05-November-21,23.95,25.27,0.00
06-November-21,24.26,25.38,0.00
07-November-21,24.35,24.75,0.00
08-November-21,22.77,24.88,8.20
09-November-21,23.84,25.25,0.80
10-November-21,24.75,25.08,0.00
11-November-21,25.80,25.80,0.00
12-November-21,25.24,25.43,3.80
13-November-21,25.34,26.07,0.00
14-November-21,25.27,26.12,0.00
15-November-21,25.68,25.40,0.00
16-November-21,24.53,25.43,0.00
17-November-21,25.38,25.11,0.00
18-November-21,25.37,25.66,0.00
19-November-21,25.48,26.13,2.00
20-November-21,24.62,25.88,0.00
21-November-21,24.02,25.92,0.00
22-November-21,25.18,25.35,0.00
23-November-21,25.06,25.13,0.00
24-November-21,25.57,26.23,0.00
25-November-21,24.18,27.06,6.80
26-November-21,23.28,26.49,4.60
27-November-21,22.29,25.72,0.20
28-November-21,23.71,24.37,0.00
29-November-21,24.96,24.71,0.00
30-November-21,25.13,25.41,0.00
Average,24.58,25.49,
Maximum,25.80,27.06,8.20
Minimum,22.29,24.37,0.00
Total,,,32.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 November '21,7.07 7.10,7.27,,-0.47,-2.94
02 November '21,6.42 6.45,6.46,,-0.45,-0.66
03 November '21,5.34 5.36,5.25,,-0.53,1.57
04 November '21,6.12 6.15,6.46,,-0.51,-5.59
05 November '21,6.10 6.12,6.15,,-0.40,-0.87
06 November '21,5.47 5.49,5.63,,-0.51,-2.94
07 November '21,7.06 7.10,6.81,,-0.56,3.55
08 November '21,4.84 4.86,4.43,,-0.56,8.39
09 November '21,5.15 5.17,4.71,,-0.57,8.44
10 November '21,6.74 6.77,7.24,,-0.49,-7.52
11 November '21,7.33 7.41,7.21,,-1.07,1.60
12 November '21,6.80 6.84,7.14,,-0.58,-4.94
13 November '21,6.59 6.63,6.55,,-0.62,0.67
14 November '21,7.13 7.17,7.28,,-0.57,-2.07
15 November '21,7.22 7.26,7.21,,-0.56,0.05
16 November '21,6.58 6.61,6.64,,-0.51,-0.83
17 November '21,7.08 7.12,7.18,,-0.52,-1.33
18 November '21,6.82 6.86,7.01,,-0.58,-2.84
19 November '21,6.96 7.00,6.86,,-0.54,1.46
20 November '21,6.43 6.47,6.95,,-0.57,-8.06
21 November '21,6.80 6.84,6.67,,-0.56,1.87
22 November '21,6.67 6.71,7.07,,-0.59,-6.03
23 November '21,7.29 7.34,7.17,,-0.69,1.69
24 November '21,6.22 6.25,6.85,,-0.62,-10.24
25 November '21,6.44 6.48,6.71,,-0.60,-4.16
26 November '21,6.24 6.27,6.31,,-0.57,-1.10
27 November '21,4.76 4.79,4.94,,-0.49,-3.77
28 November '21,5.02 5.05,5.37,,-0.58,-6.89
29 November '21,5.67 5.70,5.08,,-0.51,10.40
30 November '21,6.08 6.13,6.35,,-0.81,-4.43
Average,6.35 6.38,6.43,,0.57*,3.90*
Maximum,7.33 7.41,7.28,,-1.07,10.40
Minimum,4.76 4.79,4.43,,-0.40,0.05
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m /day 2 kWh/m /day,,%
01 November '21,1.82 1.62,,10.77
02 November '21,2.92 2.52,,13.70
03 November '21,2.89 2.74,,5.16
04 November '21,2.50 2.64,,-5.20
05 November '21,2.23 2.76,,-23.39
06 November '21,2.53 2.52,,0.52
07 November '21,1.76 2.08,,-18.13
08 November '21,3.10 2.28,,26.47
09 November '21,3.61 2.50,,30.89
10 November '21,1.19 1.42,,-19.15
11 November '21,1.19 1.44,,-21.48
12 November '21,1.78 1.60,,9.85
13 November '21,2.90 2.32,,19.95
14 November '21,1.37 1.46,,-6.17
15 November '21,1.23 1.68,,-36.97
16 November '21,1.47 1.83,,-24.09
17 November '21,1.47 1.59,,-7.62
18 November '21,1.36 1.84,,-35.59
19 November '21,1.79 2.13,,-19.38
20 November '21,2.07 1.98,,4.46
21 November '21,2.26 1.90,,15.90
22 November '21,2.04 1.60,,21.49
