Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
25 August '20,6.18 6.07,6.14,,1.74,0.57
26 August '20,6.62 6.48,6.56,,1.98,0.84
27 August '20,6.39 6.24,6.31,,2.28,1.12
28 August '20,5.67 5.56,5.63,,1.91,0.56
29 August '20,4.65 4.57,4.63,,1.82,0.47
30 August '20,5.80 5.70,5.78,,1.70,0.35
31 August '20,4.92 4.83,4.90,,1.84,0.47
Average,5.44 5.36,5.41,,1.49*,0.53*
Maximum,6.62 6.48,6.56,,2.28,1.57
Minimum,3.93 3.88,3.91,,0.68,-0.01
