Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-July-21,23.88,24.82,0.00
02-July-21,23.42,23.95,1.40
03-July-21,23.64,24.33,0.00
04-July-21,24.93,25.48,0.00
05-July-21,24.55,23.08,0.00
06-July-21,22.04,23.25,27.60
07-July-21,21.73,24.27,0.00
08-July-21,21.56,22.92,8.20
09-July-21,21.88,22.99,0.20
10-July-21,21.83,23.13,0.00
11-July-21,22.23,23.71,0.00
12-July-21,21.64,24.00,0.00
13-July-21,22.40,23.91,0.20
14-July-21,21.95,23.65,11.00
15-July-21,21.75,22.55,22.80
16-July-21,21.57,21.71,3.00
17-July-21,22.96,23.83,0.00
18-July-21,22.74,23.35,0.00
19-July-21,23.78,23.55,0.00
20-July-21,22.53,23.70,0.00
21-July-21,24.02,24.19,0.00
22-July-21,24.20,24.00,0.00
23-July-21,24.51,23.88,0.00
24-July-21,21.80,22.59,0.20
25-July-21,23.01,24.15,0.20
26-July-21,23.03,22.95,0.00
27-July-21,23.20,23.08,0.00
28-July-21,22.61,21.94,0.00
29-July-21,22.53,23.97,1.00
30-July-21,24.01,24.06,0.00
31-July-21,24.34,24.65,0.00
Average,22.91,23.60,
Maximum,24.93,25.48,27.60
Minimum,21.56,21.71,0.00
Total,,,75.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 July '21,6.25 6.28,5.78,,-0.47,7.55
02 July '21,4.94 4.95,4.37,,-0.34,11.48
03 July '21,6.77 6.79,6.59,,-0.27,2.70
04 July '21,5.90 5.92,6.31,,-0.40,-6.95
05 July '21,5.21 5.23,5.58,,-0.39,-7.07
06 July '21,4.98 5.00,4.74,,-0.36,4.86
07 July '21,4.28 4.29,4.42,,-0.34,-3.43
08 July '21,4.03 4.04,4.20,,-0.30,-4.14
09 July '21,5.00 5.02,5.27,,-0.41,-5.36
10 July '21,3.97 3.98,4.22,,-0.30,-6.22
