Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
25 March '20,5.66 5.59,5.58,,1.07,1.28
26 March '20,6.28 6.24,6.20,,0.67,1.21
27 March '20,4.15 4.12,4.13,,0.74,0.62
28 March '20,4.15 4.15,4.15,,0.01,0.20
29 March '20,4.23 4.23,4.22,,-0.03,0.11
30 March '20,7.27 7.26,7.25,,0.05,0.21
31 March '20,6.49 6.49,6.48,,0.03,0.12
Average,5.85 5.81,5.83,,0.92*,0.44*
Maximum,7.67 7.65,7.64,,5.82,1.76
Minimum,1.87 1.76,1.83,,0.00,0.01
