time,G(i),H_sun,T2m,WS10m,Int
20050105:2109,0.0,0.0,6.08,3.52,0.0
20050105:2209,0.0,0.0,5.75,3.79,0.0
20050105:2309,0.0,0.0,5.19,4.21,0.0
20050106:0009,0.0,0.0,4.07,4.55,0.0
20050106:0109,0.0,0.0,3.1,4.69,0.0
20050106:0209,0.0,0.0,2.47,4.76,0.0
20050106:0309,0.0,0.0,2.17,4.69,0.0
20050106:0409,0.0,0.0,1.95,4.41,0.0
20050106:0509,0.0,0.0,1.81,4.28,0.0
20050106:0609,333.37,14.79,3.19,4.28,0.0
20050106:0709,586.93,22.78,5.43,5.24,0.0
20050106:0809,770.43,28.52,7.35,6.0,0.0
20050106:0909,904.72,31.32,8.78,6.07,0.0
20050106:1009,927.66,30.76,9.79,5.86,0.0
20050106:1109,863.2,26.92,10.47,5.86,0.0
20050106:1209,599.41,20.37,10.69,5.79,0.0
20050106:1309,406.84,11.79,10.36,4.97,0.0
20050106:1409,28.21,1.79,8.96,4.14,0.0
20050106:1509,0.0,0.0,7.05,3.72,0.0
20050106:1609,0.0,0.0,5.91,3.59,0.0
20050106:1709,0.0,0.0,5.02,3.38,0.0
20050106:1809,0.0,0.0,4.22,3.1,0.0
20050106:1909,0.0,0.0,3.65,3.17,0.0
20050106:2009,0.0,0.0,3.11,3.03,0.0
20050106:2109,0.0,0.0,2.63,2.9,0.0
20050106:2209,0.0,0.0,2.17,2.69,0.0
20050106:2309,0.0,0.0,1.69,2.48,0.0
20050107:0009,0.0,0.0,1.17,2.28,0.0
20050107:0109,0.0,0.0,0.67,2.21,0.0
20050107:0209,0.0,0.0,0.25,2.21,0.0
20050107:0309,0.0,0.0,-0.12,2.14,0.0
20050107:0409,0.0,0.0,-0.49,2.07,0.0
20050107:0509,0.0,0.0,-0.75,1.93,0.0
20050107:0609,309.85,14.82,1.1,1.31,0.0
20050107:0709,566.49,22.84,4.22,1.59,0.0
20050107:0809,752.65,28.6,6.46,1.72,0.0
20050107:0909,906.18,31.43,8.28,1.79,0.0
20050107:1009,925.63,30.89,9.55,1.86,0.0
20050107:1109,820.73,27.08,10.35,2.07,0.0
20050107:1209,712.75,20.53,10.64,2.21,0.0
20050107:1309,414.9,11.94,10.5,2.07,0.0
20050107:1409,28.21,1.94,9.78,1.59,0.0
20050107:1509,0.0,0.0,8.09,1.72,0.0
20050107:1609,0.0,0.0,6.23,1.93,0.0
20050107:1709,0.0,0.0,4.85,1.79,0.0
20050107:1809,0.0,0.0,4.0,1.66,0.0
20050107:1909,0.0,0.0,3.84,1.45,0.0
20050107:2009,0.0,0.0,3.93,1.24,0.0
20050107:2109,0.0,0.0,3.82,1.1,0.0
20050107:2209,0.0,0.0,3.41,1.03,0.0
20050107:2309,0.0,0.0,3.24,0.97,0.0
20050108:0009,0.0,0.0,2.86,0.97,0.0
20050108:0109,0.0,0.0,1.65,1.1,0.0
20050108:0209,0.0,0.0,0.33,1.31,0.0
20050108:0309,0.0,0.0,-0.72,1.52,0.0
20050108:0409,0.0,0.0,-1.36,1.66,0.0
20050108:0509,0.0,0.0,-1.61,1.52,0.0
20050108:0609,308.87,14.86,0.4,1.1,0.0
