time,G(i),H_sun,T2m,WS10m,Int
20050510:1209,765.72,48.48,30.3,2.48,0.0
20050510:1309,482.01,36.52,30.4,2.48,0.0
20050510:1409,336.17,24.39,30.26,2.41,0.0
20050510:1509,118.31,12.41,29.75,2.28,0.0
20050510:1609,12.54,0.82,28.82,1.86,0.0
20050510:1709,0.0,0.0,27.43,2.14,0.0
20050510:1809,0.0,0.0,25.64,2.55,0.0
20050510:1909,0.0,0.0,23.66,2.9,0.0
20050510:2009,0.0,0.0,22.55,2.69,0.0
20050510:2109,0.0,0.0,21.37,2.41,0.0
20050510:2209,0.0,0.0,20.31,2.48,0.0
20050510:2309,0.0,0.0,19.3,2.48,0.0
20050511:0009,0.0,0.0,18.28,2.34,0.0
20050511:0109,0.0,0.0,17.11,2.0,0.0
20050511:0209,0.0,0.0,15.97,1.72,0.0
20050511:0309,21.5,8.26,15.53,1.52,0.0
20050511:0409,145.39,20.12,17.34,0.9,0.0
20050511:0509,365.72,32.22,20.74,1.17,0.0
20050511:0609,600.79,44.3,23.85,0.97,0.0
20050511:0709,792.78,55.92,27.48,1.1,0.0
20050511:0809,948.48,66.05,30.19,1.59,0.0
20050511:0909,1015.92,71.74,32.0,1.79,0.0
20050511:1009,1012.7,68.9,33.25,2.0,0.0
20050511:1109,934.41,59.88,33.82,2.21,0.0
20050511:1209,729.17,48.62,34.1,2.07,0.0
20050511:1309,317.33,36.65,33.93,1.66,0.0
20050511:1409,304.97,24.52,33.59,1.38,0.0
20050511:1509,117.11,12.55,33.03,1.45,0.0
20050511:1609,4.48,0.97,32.3,1.31,0.0
20050511:1709,0.0,0.0,30.88,1.38,0.0
20050511:1809,0.0,0.0,28.53,1.31,0.0
20050511:1909,0.0,0.0,26.84,1.45,0.0
20050511:2009,0.0,0.0,25.57,1.38,0.0
20050511:2109,0.0,0.0,24.77,2.97,0.0
20050511:2209,0.0,0.0,23.62,3.72,0.0
20050511:2309,0.0,0.0,22.95,3.79,0.0
20050512:0009,0.0,0.0,22.36,3.52,0.0
20050512:0109,0.0,0.0,21.9,3.24,0.0
20050512:0209,0.0,0.0,21.33,3.03,0.0
20050512:0309,3.58,8.42,20.83,2.76,0.0
20050512:0409,18.81,20.27,21.75,2.14,0.0
20050512:0509,115.67,32.36,24.63,2.28,0.0
20050512:0609,175.85,44.44,27.48,2.0,0.0
20050512:0709,539.8,56.08,30.83,3.1,0.0
20050512:0809,586.22,66.26,33.07,3.24,0.0
20050512:0909,234.15,71.99,34.23,3.52,0.0
20050512:1009,224.75,69.12,34.98,3.38,0.0
20050512:1109,127.89,60.04,35.29,2.9,0.0
20050512:1209,248.34,48.76,34.84,2.41,0.0
20050512:1309,192.77,36.78,34.05,3.93,0.0
20050512:1409,85.57,24.65,32.9,5.17,0.0
20050512:1509,116.4,12.68,32.08,5.17,0.0
20050512:1609,7.17,1.12,30.99,4.14,0.0
20050512:1709,0.0,0.0,29.42,3.38,0.0
20050512:1809,0.0,0.0,28.13,2.9,0.0
20050512:1909,0.0,0.0,26.46,3.86,0.0
20050512:2009,0.0,0.0,25.29,3.72,0.0
20050512:2109,0.0,0.0,24.09,3.24,0.0
20050512:2209,0.0,0.0,22.92,3.03,0.0
20050512:2309,0.0,0.0,21.83,2.9,0.0
20050513:0009,0.0,0.0,20.83,2.48,0.0
20050513:0109,0.0,0.0,19.85,2.14,0.0
20050513:0209,0.0,0.0,18.9,2.21,0.0
20050513:0309,7.17,8.56,18.36,2.62,0.0
20050513:0409,141.14,20.4,20.25,2.48,0.0
20050513:0509,330.0,32.5,23.84,2.69,0.0
20050513:0609,586.41,44.58,27.21,3.03,0.0
20050513:0709,749.81,56.24,29.9,3.24,0.0
20050513:0809,930.59,66.46,32.15,3.93,0.0
20050513:0909,794.74,72.24,33.35,4.55,0.0
20050513:1009,945.34,69.33,33.99,5.1,0.0
20050513:1109,512.81,60.21,34.28,5.72,0.0
20050513:1209,749.07,48.89,34.19,6.28,0.0
20050513:1309,573.65,36.9,33.84,6.62,0.0
20050513:1409,343.51,24.78,33.27,6.62,0.0
20050513:1509,97.81,12.82,32.42,7.17,0.0
20050513:1609,20.61,1.27,30.66,7.17,0.0
20050513:1709,0.0,0.0,28.5,6.9,0.0
20050513:1809,0.0,0.0,26.83,6.41,0.0
20050513:1909,0.0,0.0,25.76,5.66,0.0
20050513:2009,0.0,0.0,24.24,5.79,0.0
20050513:2109,0.0,0.0,22.95,5.38,0.0
20050513:2209,0.0,0.0,21.94,5.03,0.0
20050513:2309,0.0,0.0,21.11,4.76,0.0
20050514:0009,0.0,0.0,20.39,4.55,0.0
20050514:0109,0.0,0.0,19.74,4.55,0.0
20050514:0209,0.0,0.0,19.14,4.55,0.0
20050514:0309,21.5,8.7,18.87,4.41,0.0
20050514:0409,162.31,20.54,20.09,4.62,0.0
20050514:0509,386.71,32.63,21.99,5.45,0.0
20050514:0609,610.73,44.71,23.9,5.52,0.0
20050514:0709,817.7,56.39,25.65,5.52,0.0
20050514:0809,956.21,66.65,27.22,5.72,0.0
20050514:0909,1040.93,72.48,28.65,6.07,0.0
20050514:1009,1009.93,69.55,29.73,6.28,0.0
20050514:1109,931.65,60.37,30.49,6.34,0.0
20050514:1209,804.03,49.03,30.9,6.28,0.0
20050514:1309,573.65,37.03,30.97,6.14,0.0
20050514:1409,357.41,24.91,30.64,5.86,0.0
20050514:1509,113.38,12.95,30.08,6.07,0.0
20050514:1609,18.81,1.41,29.07,5.24,0.0
20050514:1709,0.0,0.0,27.4,4.97,0.0
20050514:1809,0.0,0.0,25.95,5.59,0.0
20050514:1909,0.0,0.0,24.72,5.79,0.0
20050514:2009,0.0,0.0,23.53,5.72,0.0
20050514:2109,0.0,0.0,22.44,5.38,0.0
20050514:2209,0.0,0.0,21.43,4.97,0.0
20050514:2309,0.0,0.0,20.6,4.07,0.0
20050515:0009,0.0,0.0,19.83,3.38,0.0
20050515:0109,0.0,0.0,19.14,3.17,0.0
20050515:0209,0.0,0.0,18.51,3.24,0.0
20050515:0309,3.58,8.84,18.25,3.38,0.0
20050515:0409,156.65,20.66,19.75,3.66,0.0
20050515:0509,307.24,32.75,21.77,4.14,0.0
20050515:0609,617.27,44.84,23.61,3.86,0.0
20050515:0709,623.36,56.53,26.27,3.72,0.0
20050515:0809,912.98,66.84,28.03,3.79,0.0
20050515:0909,977.57,72.72,29.69,3.93,0.0
20050515:1009,1008.76,69.75,30.6,3.93,0.0
20050515:1109,930.48,60.53,31.18,3.79,0.0
20050515:1209,766.21,49.16,31.49,4.21,0.0
20050515:1309,518.4,37.15,31.26,4.55,0.0
20050515:1409,339.38,25.03,30.95,4.62,0.0
20050515:1509,104.81,13.09,30.29,4.55,0.0
20050515:1609,26.88,1.56,29.27,3.38,0.0
20050515:1709,0.0,0.0,27.85,2.41,0.0
20050515:1809,0.0,0.0,26.38,2.21,0.0
20050515:1909,0.0,0.0,24.86,2.55,0.0
20050515:2009,0.0,0.0,23.34,4.55,0.0
20050515:2109,0.0,0.0,22.12,5.31,0.0
20050515:2209,0.0,0.0,20.99,5.03,0.0
20050515:2309,0.0,0.0,20.13,4.9,0.0
20050516:0009,0.0,0.0,19.41,4.69,0.0
20050516:0109,0.0,0.0,18.78,4.21,0.0
20050516:0209,0.0,0.0,18.15,3.93,0.0
20050516:0309,3.58,8.97,17.86,3.79,0.0
20050516:0409,176.68,20.78,19.12,3.86,0.0
20050516:0509,389.14,32.87,21.09,3.72,0.0
20050516:0609,617.55,44.96,23.13,3.17,0.0
20050516:0709,816.75,56.67,24.88,2.55,0.0
20050516:0809,954.01,67.01,26.81,2.0,0.0
20050516:0909,1005.92,72.95,28.54,1.66,0.0
20050516:1009,1002.55,69.96,29.62,1.52,0.0
20050516:1109,939.13,60.68,30.43,1.59,0.0
20050516:1209,774.6,49.29,31.09,1.93,0.0
20050516:1309,583.75,37.28,31.29,2.34,0.0
20050516:1409,345.72,25.16,31.09,2.55,0.0
20050516:1509,113.43,13.22,30.57,2.48,0.0
20050516:1609,25.08,1.71,29.79,2.14,0.0
20050516:1709,0.0,0.0,28.52,2.14,0.0
20050516:1809,0.0,0.0,27.3,2.0,0.0
20050516:1909,0.0,0.0,25.41,1.24,0.0
20050516:2009,0.0,0.0,24.6,1.1,0.0
20050516:2109,0.0,0.0,22.75,1.52,0.0
20050516:2209,0.0,0.0,21.67,2.55,0.0
20050516:2309,0.0,0.0,20.85,2.83,0.0
20050517:0009,0.0,0.0,19.77,2.83,0.0
20050517:0109,0.0,0.0,18.95,3.17,0.0
20050517:0209,0.0,0.0,18.35,3.17,0.0
20050517:0309,25.98,9.1,18.03,2.69,0.0
20050517:0409,159.65,20.9,19.61,2.28,0.0
20050517:0509,365.4,32.98,22.1,2.41,0.0
20050517:0609,580.89,45.08,24.61,2.28,0.0
20050517:0709,761.74,56.81,27.15,1.52,0.0
20050517:0809,829.98,67.19,29.48,0.83,0.0
20050517:0909,905.41,73.17,31.04,0.21,0.0
20050517:1009,1028.6,70.16,32.11,0.83,0.0
20050517:1109,918.53,60.83,32.86,1.59,0.0
20050517:1209,793.51,49.42,33.27,2.21,0.0
20050517:1309,591.24,37.4,33.36,2.62,0.0
20050517:1409,345.22,25.28,33.13,2.97,0.0
20050517:1509,105.25,13.35,32.41,2.83,0.0
20050517:1609,23.29,1.85,31.61,1.86,0.0
20050517:1709,0.0,0.0,30.36,1.72,0.0
20050517:1809,0.0,0.0,28.76,1.86,0.0
20050517:1909,0.0,0.0,26.45,1.52,0.0
20050517:2009,0.0,0.0,25.17,1.38,0.0
20050517:2109,0.0,0.0,23.7,3.17,0.0
20050517:2209,0.0,0.0,22.59,3.45,0.0
20050517:2309,0.0,0.0,21.75,2.97,0.0
20050518:0009,0.0,0.0,20.79,2.34,0.0
20050518:0109,0.0,0.0,19.61,1.79,0.0
20050518:0209,0.0,0.0,18.55,1.38,0.0
20050518:0309,25.08,9.22,18.19,1.17,0.0
20050518:0409,167.62,21.01,19.89,0.9,0.0
20050518:0509,390.27,33.09,23.03,1.03,0.0
20050518:0609,611.03,45.19,25.57,0.9,0.0
20050518:0709,798.69,56.93,27.97,1.24,0.0
20050518:0809,947.03,67.35,29.67,0.69,0.0
20050518:0909,1002.92,73.39,31.04,0.14,0.0
20050518:1009,1005.56,70.35,32.18,1.1,0.0
20050518:1109,932.16,60.98,33.05,2.07,0.0
20050518:1209,792.51,49.55,33.47,2.69,0.0
20050518:1309,566.99,37.52,33.56,3.1,0.0
20050518:1409,347.2,25.4,33.33,3.38,0.0
20050518:1509,109.49,13.48,32.85,3.38,0.0
20050518:1609,27.77,1.99,32.0,2.55,0.0
20050518:1709,0.0,0.0,30.88,1.79,0.0
20050518:1809,0.0,0.0,29.67,0.69,0.0
20050518:1909,0.0,0.0,27.65,1.03,0.0
20050518:2009,0.0,0.0,25.44,1.66,0.0
20050518:2109,0.0,0.0,24.4,2.55,0.0
20050518:2209,0.0,0.0,23.11,3.03,0.0
20050518:2309,0.0,0.0,22.12,3.1,0.0
20050519:0009,0.0,0.0,21.4,3.17,0.0
20050519:0109,0.0,0.0,20.8,3.38,0.0
20050519:0209,0.0,0.0,20.25,3.52,0.0
20050519:0309,26.88,9.34,20.02,3.38,0.0
20050519:0409,173.44,21.12,21.71,3.03,0.0
20050519:0509,396.82,33.19,24.35,3.45,0.0
20050519:0609,620.05,45.3,26.84,3.38,0.0
20050519:0709,797.95,57.05,29.09,3.17,0.0
20050519:0809,960.88,67.51,31.24,3.38,0.0
20050519:0909,1029.14,73.61,32.87,4.07,0.0
20050519:1009,988.45,70.54,33.93,4.41,0.0
20050519:1109,931.19,61.13,34.72,4.41,0.0
20050519:1209,803.93,49.68,35.22,4.48,0.0
20050519:1309,583.14,37.64,35.41,4.62,0.0
20050519:1409,347.48,25.52,35.32,4.76,0.0
20050519:1509,109.78,13.61,34.88,4.62,0.0
20050519:1609,25.08,2.13,33.57,3.38,0.0
20050519:1709,0.0,0.0,31.36,3.66,0.0
20050519:1809,0.0,0.0,29.8,4.97,0.0
20050519:1909,0.0,0.0,28.11,4.69,0.0
20050519:2009,0.0,0.0,26.94,5.17,0.0
20050519:2109,0.0,0.0,25.74,4.48,0.0
20050519:2209,0.0,0.0,24.5,3.93,0.0
20050519:2309,0.0,0.0,23.27,3.31,0.0
20050520:0009,0.0,0.0,22.06,2.97,0.0
20050520:0109,0.0,0.0,21.05,2.97,0.0
20050520:0209,0.0,0.0,20.21,2.97,0.0
20050520:0309,27.77,9.45,19.74,2.55,0.0
20050520:0409,169.44,21.22,21.36,2.07,0.0
20050520:0509,390.53,33.29,23.84,2.0,0.0
20050520:0609,609.92,45.4,26.21,1.72,0.0
20050520:0709,797.26,57.17,28.1,0.55,0.0
20050520:0809,950.17,67.67,30.3,0.34,0.0
20050520:0909,1001.15,73.81,32.2,0.28,0.0
20050520:1009,1025.41,70.73,33.65,0.48,0.0
20050520:1109,931.3,61.27,34.71,0.62,0.0
20050520:1209,775.69,49.8,35.23,0.76,0.0
20050520:1309,593.67,37.76,35.4,0.69,0.0
20050520:1409,351.26,25.64,35.28,0.69,0.0
20050520:1509,109.73,13.73,34.87,0.62,0.0
20050520:1609,28.67,2.27,34.29,0.69,0.0
20050520:1709,0.0,0.0,33.0,0.41,0.0
20050520:1809,0.0,0.0,32.18,0.14,0.0
20050520:1909,0.0,0.0,29.69,1.1,0.0
20050520:2009,0.0,0.0,26.86,2.07,0.0
20050520:2109,0.0,0.0,25.79,2.55,0.0
20050520:2209,0.0,0.0,24.56,2.48,0.0
20050520:2309,0.0,0.0,23.37,2.41,0.0
20050521:0009,0.0,0.0,22.03,2.0,0.0
20050521:0109,0.0,0.0,20.88,1.72,0.0
20050521:0209,0.0,0.0,20.12,1.72,0.0
20050521:0309,13.44,9.55,19.82,1.59,0.0
20050521:0409,149.13,21.32,22.2,0.97,0.0
20050521:0509,369.32,33.38,26.25,1.31,0.0
20050521:0609,507.88,45.49,29.79,2.14,0.0
20050521:0709,716.36,57.28,32.22,3.45,0.0
20050521:0809,604.08,67.81,34.05,3.59,0.0
20050521:0909,547.42,74.01,35.29,3.31,0.0
20050521:1009,602.44,70.91,36.24,3.31,0.0
20050521:1109,691.4,61.41,36.9,3.17,0.0
20050521:1209,612.76,49.92,37.28,3.03,0.0
20050521:1309,392.06,37.87,37.36,2.97,0.0
20050521:1409,271.86,25.76,37.16,2.97,0.0
20050521:1509,113.59,13.86,36.67,2.97,0.0
20050521:1609,8.96,2.41,35.44,2.69,0.0
20050521:1709,0.0,0.0,33.29,3.31,0.0
20050521:1809,0.0,0.0,31.65,3.79,0.0
20050521:1909,0.0,0.0,29.4,3.38,0.0
20050521:2009,0.0,0.0,28.15,3.38,0.0
20050521:2109,0.0,0.0,27.29,3.17,0.0
20050521:2209,0.0,0.0,26.36,2.62,0.0
20050521:2309,0.0,0.0,24.88,2.9,0.0
20050522:0009,0.0,0.0,23.73,3.03,0.0
20050522:0109,0.0,0.0,22.78,2.97,0.0
20050522:0209,0.0,0.0,21.79,2.97,0.0
20050522:0309,9.85,9.66,21.36,2.48,0.0
20050522:0409,146.39,21.41,22.78,1.38,0.0
20050522:0509,351.62,33.47,24.71,0.41,0.0
20050522:0609,567.56,45.58,27.17,1.1,0.0
20050522:0709,759.27,57.38,31.15,2.41,0.0
20050522:0809,899.72,67.95,33.44,2.97,0.0
20050522:0909,982.37,74.21,35.25,3.38,0.0
20050522:1009,996.06,71.09,36.47,3.72,0.0
20050522:1109,939.05,61.55,37.23,3.93,0.0
20050522:1209,783.18,50.04,37.68,4.0,0.0
20050522:1309,541.31,37.99,37.67,3.86,0.0
20050522:1409,352.74,25.88,37.3,3.93,0.0
20050522:1509,117.97,13.98,36.58,3.79,0.0
20050522:1609,28.67,2.54,35.33,1.52,0.0
20050522:1709,0.0,0.0,33.65,2.0,0.0
20050522:1809,0.0,0.0,32.27,1.79,0.0
20050522:1909,0.0,0.0,30.5,2.62,0.0
20050522:2009,0.0,0.0,28.8,1.86,0.0
20050522:2109,0.0,0.0,26.23,3.38,0.0
20050522:2209,0.0,0.0,24.43,4.41,0.0
20050522:2309,0.0,0.0,22.93,5.1,0.0
20050523:0009,0.0,0.0,21.91,5.1,0.0
20050523:0109,0.0,0.0,21.22,5.24,0.0
20050523:0209,0.0,0.0,20.59,4.9,0.0
20050523:0309,31.36,9.75,20.16,4.83,0.0
20050523:0409,90.52,21.5,20.79,5.66,0.0
20050523:0509,304.33,33.55,22.04,6.0,0.0
20050523:0609,485.37,45.67,23.72,6.07,0.0
20050523:0709,685.26,57.48,26.06,6.0,0.0
20050523:0809,837.8,68.09,28.13,5.93,0.0
20050523:0909,912.73,74.4,30.15,5.66,0.0
20050523:1009,942.67,71.26,31.64,5.1,0.0
20050523:1109,908.85,61.69,32.57,4.55,0.0
20050523:1209,785.93,50.16,32.96,4.41,0.0
20050523:1309,580.47,38.1,32.95,4.97,0.0
20050523:1409,354.63,25.99,32.36,5.93,0.0
20050523:1509,114.42,14.11,31.14,6.55,0.0
20050523:1609,27.77,2.67,29.42,6.28,0.0
20050523:1709,0.0,0.0,27.18,6.62,0.0
20050523:1809,0.0,0.0,24.98,6.62,0.0
20050523:1909,0.0,0.0,22.42,6.69,0.0
20050523:2009,0.0,0.0,20.91,6.55,0.0
20050523:2109,0.0,0.0,19.75,6.28,0.0
20050523:2209,0.0,0.0,18.86,6.21,0.0
20050523:2309,0.0,0.0,18.14,6.14,0.0
20050524:0009,0.0,0.0,17.48,6.14,0.0
20050524:0109,0.0,0.0,16.84,5.79,0.0
20050524:0209,0.0,0.0,16.3,5.24,0.0
20050524:0309,25.98,9.84,16.16,4.62,0.0
20050524:0409,167.04,21.58,17.18,5.1,0.0
20050524:0509,382.5,33.63,18.88,5.66,0.0
20050524:0609,603.13,45.75,20.91,5.86,0.0
20050524:0709,786.4,57.57,23.17,5.1,0.0
20050524:0809,921.71,68.22,25.16,5.1,0.0
20050524:0909,1014.05,74.58,26.94,5.17,0.0
20050524:1009,1010.3,71.43,28.37,5.31,0.0
20050524:1109,937.53,61.82,29.33,5.45,0.0
20050524:1209,766.15,50.28,29.98,5.66,0.0
20050524:1309,584.99,38.21,30.19,5.93,0.0
20050524:1409,351.04,26.11,30.04,6.34,0.0
20050524:1509,114.58,14.23,29.34,6.69,0.0
20050524:1609,31.36,2.8,28.03,6.34,0.0
20050524:1709,0.0,0.0,26.32,6.55,0.0
20050524:1809,0.0,0.0,24.68,6.62,0.0
20050524:1909,0.0,0.0,23.05,6.62,0.0
20050524:2009,0.0,0.0,21.59,6.21,0.0
20050524:2109,0.0,0.0,20.41,5.86,0.0
20050524:2209,0.0,0.0,19.46,5.59,0.0
20050524:2309,0.0,0.0,18.71,5.38,0.0
20050525:0009,0.0,0.0,18.07,5.24,0.0
20050525:0109,0.0,0.0,17.49,5.03,0.0
20050525:0209,0.0,0.0,17.0,4.97,0.0
20050525:0309,20.61,9.93,16.93,4.9,0.0
20050525:0409,164.07,21.66,17.94,5.72,0.0
20050525:0509,382.51,33.7,19.63,6.34,0.0
20050525:0609,611.15,45.82,21.71,6.48,0.0
20050525:0709,789.7,57.66,24.07,6.07,0.0
20050525:0809,940.67,68.34,26.13,5.93,0.0
20050525:0909,1007.46,74.76,27.94,5.86,0.0
20050525:1009,1004.81,71.6,29.31,5.79,0.0
20050525:1109,935.84,61.95,30.25,5.66,0.0
20050525:1209,793.36,50.39,30.88,5.66,0.0
20050525:1309,580.48,38.32,31.06,5.86,0.0
20050525:1409,350.87,26.22,30.84,5.93,0.0
20050525:1509,114.65,14.34,30.28,6.0,0.0
20050525:1609,30.46,2.93,29.17,5.52,0.0
20050525:1709,0.0,0.0,27.39,5.72,0.0
20050525:1809,0.0,0.0,25.58,6.21,0.0
20050525:1909,0.0,0.0,24.0,6.34,0.0
20050525:2009,0.0,0.0,22.49,6.21,0.0
20050525:2109,0.0,0.0,21.22,5.66,0.0
20050525:2209,0.0,0.0,20.18,5.1,0.0
20050525:2309,0.0,0.0,19.38,4.69,0.0
20050526:0009,0.0,0.0,18.67,4.41,0.0
20050526:0109,0.0,0.0,18.04,4.48,0.0
20050526:0209,0.0,0.0,17.48,4.41,0.0
20050526:0309,15.23,10.01,17.3,4.21,0.0
20050526:0409,158.54,21.73,18.35,4.76,0.0
20050526:0509,371.59,33.77,20.07,5.31,0.0
20050526:0609,595.67,45.89,22.16,5.38,0.0
20050526:0709,789.27,57.74,24.7,4.83,0.0
20050526:0809,930.45,68.45,26.75,4.41,0.0
20050526:0909,1011.73,74.93,28.46,4.34,0.0
20050526:1009,1009.0,71.76,29.83,4.55,0.0
20050526:1109,925.98,62.08,30.78,4.83,0.0
20050526:1209,792.81,50.5,31.33,4.83,0.0
20050526:1309,580.13,38.43,31.55,4.69,0.0
20050526:1409,356.82,26.33,31.45,4.48,0.0
20050526:1509,118.85,14.46,31.07,4.14,0.0
20050526:1609,31.36,3.06,30.23,3.03,0.0
20050526:1709,0.0,0.0,28.72,2.28,0.0
20050526:1809,0.0,0.0,27.36,2.41,0.0
20050526:1909,0.0,0.0,25.79,2.41,0.0
20050526:2009,0.0,0.0,24.41,2.76,0.0
20050526:2109,0.0,0.0,23.13,3.17,0.0
20050526:2209,0.0,0.0,21.87,3.17,0.0
20050526:2309,0.0,0.0,20.79,2.76,0.0
20050527:0009,0.0,0.0,19.76,2.48,0.0
20050527:0109,0.0,0.0,18.92,2.41,0.0
20050527:0209,0.0,0.0,18.2,2.55,0.0
20050527:0309,17.02,10.09,17.89,2.41,0.0
20050527:0409,166.43,21.8,19.71,2.0,0.0
20050527:0509,382.36,33.83,22.5,1.72,0.0
20050527:0609,610.48,45.95,25.15,0.9,0.0
20050527:0709,779.49,57.82,27.75,0.62,0.0
20050527:0809,919.25,68.56,30.27,1.86,0.0
20050527:0909,1010.17,75.09,32.11,2.97,0.0
20050527:1009,991.99,71.91,32.77,3.1,0.0
20050527:1109,883.8,62.2,33.5,3.1,0.0
20050527:1209,757.02,50.61,33.74,2.69,0.0
20050527:1309,340.88,38.54,33.94,2.55,0.0
20050527:1409,319.48,26.44,33.66,2.76,0.0
20050527:1509,119.6,14.58,33.0,2.97,0.0
20050527:1609,34.94,3.18,32.11,3.59,0.0
20050527:1709,0.0,0.0,30.29,4.62,0.0
20050527:1809,0.0,0.0,28.71,5.1,0.0
20050527:1909,0.0,0.0,27.32,3.72,0.0
20050527:2009,0.0,0.0,25.92,4.34,0.0
20050527:2109,0.0,0.0,24.66,5.59,0.0
20050527:2209,0.0,0.0,23.32,5.59,0.0
20050527:2309,0.0,0.0,22.26,5.38,0.0
20050528:0009,0.0,0.0,21.3,5.38,0.0
20050528:0109,0.0,0.0,20.37,5.59,0.0
20050528:0209,0.0,0.0,19.47,5.72,0.0
20050528:0309,25.98,10.16,19.02,5.79,0.0
20050528:0409,169.98,21.86,19.76,6.55,0.0
20050528:0509,377.62,33.89,21.29,6.97,0.0
20050528:0609,601.06,46.01,23.25,6.97,0.0
20050528:0709,787.57,57.89,25.34,6.62,0.0
20050528:0809,912.97,68.66,27.32,6.34,0.0
20050528:0909,1020.28,75.25,29.02,6.14,0.0
20050528:1009,1011.66,72.06,30.25,5.93,0.0
20050528:1109,925.04,62.32,31.05,5.86,0.0
20050528:1209,784.28,50.72,31.42,6.0,0.0
20050528:1309,588.24,38.64,31.38,6.28,0.0
20050528:1409,350.22,26.54,30.98,6.83,0.0
20050528:1509,114.92,14.69,30.08,7.31,0.0
20050528:1609,33.15,3.3,28.5,7.52,0.0
20050528:1709,0.0,0.0,26.34,8.0,0.0
20050528:1809,0.0,0.0,24.57,7.72,0.0
20050528:1909,0.0,0.0,23.13,7.17,0.0
20050528:2009,0.0,0.0,21.87,6.41,0.0
20050528:2109,0.0,0.0,20.84,5.79,0.0
20050528:2209,0.0,0.0,19.99,5.31,0.0
20050528:2309,0.0,0.0,19.3,5.1,0.0
20050529:0009,0.0,0.0,18.69,4.83,0.0
20050529:0109,0.0,0.0,18.15,4.41,0.0
20050529:0209,0.0,0.0,17.6,3.93,0.0
20050529:0309,32.25,10.23,17.44,3.59,0.0
20050529:0409,170.54,21.92,18.79,3.93,0.0
20050529:0509,386.69,33.94,20.73,4.62,0.0
20050529:0609,599.95,46.07,22.85,5.03,0.0
20050529:0709,794.56,57.95,25.42,5.38,0.0
20050529:0809,922.34,68.75,27.26,5.79,0.0
20050529:0909,975.92,75.4,28.72,6.07,0.0
20050529:1009,1011.22,72.21,29.79,6.28,0.0
20050529:1109,914.39,62.44,30.42,6.28,0.0
20050529:1209,795.74,50.83,30.64,6.21,0.0
20050529:1309,575.44,38.74,30.79,6.0,0.0
20050529:1409,350.91,26.65,29.92,6.69,0.0
20050529:1509,123.75,14.8,27.35,7.66,0.0
20050529:1609,34.94,3.42,26.5,5.72,0.0
20050529:1709,0.0,0.0,25.62,3.79,0.0
20050529:1809,0.0,0.0,24.76,3.1,0.0
20050529:1909,0.0,0.0,24.06,3.93,0.0
20050529:2009,0.0,0.0,23.11,4.07,0.0
20050529:2109,0.0,0.0,22.25,4.21,0.0
20050529:2209,0.0,0.0,21.18,4.21,0.0
20050529:2309,0.0,0.0,20.25,4.21,0.0
20050530:0009,0.0,0.0,19.33,4.07,0.0
20050530:0109,0.0,0.0,18.53,3.72,0.0
20050530:0209,0.0,0.0,17.9,3.72,0.0
20050530:0309,21.5,10.29,17.77,3.79,0.0
20050530:0409,149.47,21.97,18.91,4.41,0.0
20050530:0509,360.78,33.99,20.66,4.97,0.0
20050530:0609,583.15,46.11,22.41,5.24,0.0
20050530:0709,777.76,58.01,24.47,4.62,0.0
20050530:0809,911.37,68.84,26.01,4.07,0.0
20050530:0909,991.34,75.54,27.51,3.79,0.0
20050530:1009,989.81,72.36,28.47,3.79,0.0
20050530:1109,872.48,62.56,29.38,4.07,0.0
20050530:1209,750.33,50.93,29.77,4.34,0.0
20050530:1309,590.67,38.84,29.16,4.9,0.0
20050530:1409,355.53,26.75,28.58,5.03,0.0
20050530:1509,127.36,14.91,28.05,5.52,0.0
20050530:1609,35.83,3.54,27.02,5.66,0.0
20050530:1709,0.0,0.0,25.86,5.17,0.0
20050530:1809,0.0,0.0,24.9,5.59,0.0
20050530:1909,0.0,0.0,23.69,5.93,0.0
20050530:2009,0.0,0.0,22.45,5.66,0.0
20050530:2109,0.0,0.0,21.39,5.52,0.0
20050530:2209,0.0,0.0,20.56,5.31,0.0
20050530:2309,0.0,0.0,19.56,4.97,0.0
20050531:0009,0.0,0.0,18.82,4.83,0.0
20050531:0109,0.0,0.0,18.14,4.55,0.0
20050531:0209,0.0,0.0,17.52,4.34,0.0
20050531:0309,16.13,10.34,17.4,4.21,0.0
20050531:0409,161.12,22.02,18.35,5.24,0.0
20050531:0509,372.44,34.03,19.82,5.66,0.0
20050531:0609,587.18,46.16,21.63,5.72,0.0
20050531:0709,793.07,58.06,24.16,5.45,0.0
20050531:0809,935.04,68.92,25.82,5.31,0.0
20050531:0909,974.4,75.68,27.2,5.38,0.0
20050531:1009,999.04,72.49,28.17,5.45,0.0
20050531:1109,932.09,62.67,28.76,5.59,0.0
20050531:1209,783.43,51.03,29.02,5.79,0.0
20050531:1309,590.44,38.94,28.76,6.07,0.0
20050531:1409,361.84,26.85,28.26,6.21,0.0
20050531:1509,136.14,15.01,27.36,6.14,0.0
20050531:1609,38.52,3.65,26.65,5.79,0.0
20050531:1709,0.0,0.0,25.67,4.9,0.0
20050531:1809,0.0,0.0,24.63,4.83,0.0
20050531:1909,0.0,0.0,23.52,5.38,0.0
20050531:2009,0.0,0.0,22.25,5.1,0.0
20050531:2109,0.0,0.0,21.18,4.62,0.0
20050531:2209,0.0,0.0,20.27,4.21,0.0
20050531:2309,0.0,0.0,19.49,4.0,0.0
