time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050323:0406,0,0,0,0,0,18.3,0.69,0
20050323:0506,3.86,0,14,0,17.26,18.34,0.41,0
20050323:0606,154.31,0,205,0,32.26,19.92,1.03,0
20050323:0706,246.92,0,323,0,47.26,22.42,0.83,0
20050323:0806,85.12,0,123,0,62.25,23.58,1.03,0
20050323:0906,239.82,0,316,0,77.24,24.49,1.38,0
20050323:1006,368.2,0,484,0,87.64,25.04,1.52,0
20050323:1106,381,0,502,0,72.73,25.47,1.59,0
20050323:1206,53.57,0,84,0,57.74,25.28,1.66,0
20050323:1306,257.02,0,339,0,42.74,25.08,1.31,0
20050323:1406,114.33,0,159,0,27.74,23.81,1.59,0
20050323:1506,56.31,0,87,0,12.75,23.48,0.48,0
20050323:1606,0,0,0,0,-2.25,22.8,0.55,0
20050323:1706,0,0,0,0,0,22.25,1.17,0
20050323:1806,0,0,0,0,0,21.81,0.97,0
20050323:1906,0,0,0,0,0,21.19,0.9,0
20050323:2006,0,0,0,0,0,20.66,1.03,0
20050323:2106,0,0,0,0,0,19.96,1.38,0
20050323:2206,0,0,0,0,0,19.98,1.79,0
20050323:2306,0,0,0,0,0,19.8,1.59,0
20050324:0006,0,0,0,0,0,19.69,1.24,0
20050324:0106,0,0,0,0,0,19.4,1.38,0
20050324:0206,0,0,0,0,0,19.3,1.59,0
20050324:0306,0,0,0,0,0,19.08,1.59,0
20050324:0406,0,0,0,0,0,18.85,1.1,0
20050324:0506,50.97,0,79,0,17.34,19.93,0.76,0
20050324:0606,151.57,0,202,0,32.33,21.15,2.21,0
20050324:0706,158.9,0,212,0,47.33,22.48,2.41,0
20050324:0806,139.15,0,189,0,62.32,23.72,2.41,0
20050324:0906,356.34,0,463,0,77.29,24.34,2.48,0
20050324:1006,135.31,0,185,0,87.42,24.68,2.62,0
20050324:1106,388.43,0,505,0,72.63,24.73,2.83,0
20050324:1206,151.62,0,205,0,57.65,24.94,3.17,0
20050324:1306,119.96,0,166,0,42.66,24.51,2.69,0
20050324:1406,107.83,0,151,0,27.66,24.09,2.14,0
20050324:1506,73.83,0,109,0,12.67,23.97,1.72,0
20050324:1606,0,0,0,0,-2.33,23.33,0.97,0
20050324:1706,0,0,0,0,0,22.57,0.69,0
20050324:1806,0,0,0,0,0,22.8,0.21,0
20050324:1906,0,0,0,0,0,22.66,0.62,0
20050324:2006,0,0,0,0,0,21.18,1.03,0
20050324:2106,0,0,0,0,0,20.88,1.03,0
20050324:2206,0,0,0,0,0,19.49,1.31,0
20050324:2306,0,0,0,0,0,19.85,1.79,0
20050325:0006,0,0,0,0,0,19.77,2.21,0
20050325:0106,0,0,0,0,0,19.32,2,0
20050325:0206,0,0,0,0,0,19.15,0.21,0
20050325:0306,0,0,0,0,0,18.59,1.24,0
20050325:0406,0,0,0,0,0,18.59,1.38,0
20050325:0506,38.51,0,63,0,17.42,19.4,1.52,0
20050325:0606,79.28,0,114,0,32.41,20.35,1.79,0
20050325:0706,54.3,0,84,0,47.4,22.92,2.62,0
20050325:0806,308.72,0,399,0,62.38,23.14,2.48,0
20050325:0906,358.75,0,460,0,77.33,22.51,3.17,0
20050325:1006,365.32,0,466,0,87.16,21.36,3.1,0
20050325:1106,352.2,0,453,0,72.52,22.56,2.69,0
20050325:1206,53.46,0,83,0,57.56,23.12,2.83,0
20050325:1306,40.78,0,67,0,42.57,23.78,2.69,0
20050325:1406,151.82,0,205,0,27.58,23.98,2,0
20050325:1506,98.06,0,139,0,12.59,23.61,1.1,0
20050325:1606,0,0,0,0,-2.4,22.83,1.03,0
20050325:1706,0,0,0,0,0,22.05,1.52,0
20050325:1806,0,0,0,0,0,21.62,2.07,0
20050325:1906,0,0,0,0,0,21.5,2.41,0
20050325:2006,0,0,0,0,0,21.29,2.83,0
20050325:2106,0,0,0,0,0,21.2,2.62,0
20050325:2206,0,0,0,0,0,21.11,0.62,0
20050325:2306,0,0,0,0,0,19.73,1.72,0
20050326:0006,0,0,0,0,0,18.73,2.28,0
20050326:0106,0,0,0,0,0,18.88,0.14,0
20050326:0206,0,0,0,0,0,19.23,1.86,0
20050326:0306,0,0,0,0,0,19.62,1.93,0
20050326:0406,0,0,0,0,0,19.77,1.93,0
20050326:0506,9.87,0,24,0,17.49,20.44,2.41,0
20050326:0606,89.89,0,127,0,32.48,20.89,2.83,0
20050326:0706,156.47,0,208,0,47.47,22.31,4.28,0
20050326:0806,285.96,0,367,0,62.44,23.03,4.34,0
20050326:0906,337.92,0,433,0,77.36,23.42,4.28,0
20050326:1006,381.8,0,490,0,86.88,23.71,4.14,0
20050326:1106,368.54,0,473,0,72.41,23.8,4.21,0
20050326:1206,196.6,0,259,0,57.46,24.19,3.79,0
20050326:1306,135.86,0,185,0,42.48,24.43,3.86,0
20050326:1406,118.25,0,163,0,27.5,23.73,3.86,0
20050326:1506,97.81,0,138,0,12.51,23.46,3.38,0
20050326:1606,0,0,0,0,-2.48,22.86,2.9,0
20050326:1706,0,0,0,0,0,22.38,2.07,0
20050326:1806,0,0,0,0,0,21.9,1.93,0
20050326:1906,0,0,0,0,0,21.59,2.21,0
20050326:2006,0,0,0,0,0,21.38,2.07,0
20050326:2106,0,0,0,0,0,21.18,2.21,0
20050326:2206,0,0,0,0,0,21.01,2.48,0
20050326:2306,0,0,0,0,0,21.09,2.62,0
20050327:0006,0,0,0,0,0,21.15,2.62,0
20050327:0106,0,0,0,0,0,21.11,2.69,0
20050327:0206,0,0,0,0,0,20.99,2.83,0
20050327:0306,0,0,0,0,0,21.13,2.69,0
20050327:0406,0,0,0,0,0,20.79,2.83,0
20050327:0506,3.79,0,14,0,17.57,21.13,2.83,0
20050327:0606,17.93,0,36,0,32.55,22.07,2.76,0
20050327:0706,234.61,0,303,0,47.53,21.96,3.45,0
20050327:0806,217.04,0,282,0,62.49,21.83,2.76,0
20050327:0906,323.12,0,418,0,77.37,22.7,1.93,0
20050327:1006,301.06,0,391,0,86.57,23.48,2,0
20050327:1106,126.47,0,174,0,72.29,24.46,2.55,0
20050327:1206,207.17,0,273,0,57.36,24.51,3.03,0
20050327:1306,146.41,0,198,0,42.39,24.04,2.76,0
20050327:1406,107.02,0,150,0,27.41,23.98,1.93,0
20050327:1506,68.3,0,102,0,12.43,23.79,1.79,0
20050327:1606,0,0,0,0,-2.56,23.16,1.38,0
20050327:1706,0,0,0,0,0,22.32,1.17,0
20050327:1806,0,0,0,0,0,21.36,1.38,0
20050327:1906,0,0,0,0,0,20.75,1.79,0
20050327:2006,0,0,0,0,0,20.39,1.59,0
20050327:2106,0,0,0,0,0,19.99,1.38,0
20050327:2206,0,0,0,0,0,19.97,1.24,0
20050327:2306,0,0,0,0,0,19.99,1.1,0
20050328:0006,0,0,0,0,0,19.97,1.1,0
20050328:0106,0,0,0,0,0,19.16,1.1,0
20050328:0206,0,0,0,0,0,18.37,1.38,0
20050328:0306,0,0,0,0,0,18.33,1.86,0
20050328:0406,0,0,0,0,0,18.12,1.66,0
20050328:0506,9.3,0,23,0,17.65,18.73,0.9,0
20050328:0606,141.42,0,190,0,32.62,20.31,0.62,0
20050328:0706,135.85,0,184,0,47.59,22.08,1.66,0
20050328:0806,92.84,0,132,0,62.54,22.9,1.59,0
20050328:0906,216.85,0,286,0,77.38,23.91,1.52,0
20050328:1006,231.28,0,305,0,86.24,24.52,1.52,0
20050328:1106,377.36,0,496,0,72.16,25.04,1.59,0
20050328:1206,79.72,0,117,0,57.25,25.4,1.93,0
20050328:1306,209.6,0,278,0,42.3,25.4,2.21,0
20050328:1406,158.41,0,214,0,27.32,25.01,2.14,0
20050328:1506,67.3,0,101,0,12.35,24.04,0.97,0
20050328:1606,0,0,0,0,-2.63,23.56,1.17,0
20050328:1706,0,0,0,0,0,22.67,1.86,0
20050328:1806,0,0,0,0,0,22.23,1.93,0
20050328:1906,0,0,0,0,0,21.49,1.86,0
20050328:2006,0,0,0,0,0,20.95,1.86,0
20050328:2106,0,0,0,0,0,20.47,1.86,0
20050328:2206,0,0,0,0,0,20,1.66,0
20050328:2306,0,0,0,0,0,19.44,1.45,0
20050329:0006,0,0,0,0,0,19.23,1.17,0
20050329:0106,0,0,0,0,0,18.6,1.31,0
20050329:0206,0,0,0,0,0,18.37,1.24,0
20050329:0306,0,0,0,0,0,18.44,1.03,0
20050329:0406,0,0,0,0,0,18.67,0.76,0
20050329:0506,44.72,0,71,0,17.72,19.47,0.48,0
20050329:0606,84.11,0,121,0,32.69,21.71,0.28,0
20050329:0706,97.75,0,139,0,47.65,24.31,1.24,0
20050329:0806,83.77,0,122,0,62.58,25.16,1.59,0
20050329:0906,90.9,0,131,0,77.37,25.65,2.21,0
20050329:1006,117.52,0,164,0,85.9,25.95,2.83,0
20050329:1106,116.68,0,163,0,72.02,26.15,3.17,0
20050329:1206,108.19,0,151,0,57.15,23.71,2.76,0
20050329:1306,113.5,0,158,0,42.2,24.52,2.97,0
20050329:1406,99.62,0,141,0,27.24,24.53,2.76,0
20050329:1506,68.98,0,103,0,12.26,24.23,2.07,0
20050329:1606,0,0,0,0,-2.71,23.61,1.93,0
20050329:1706,0,0,0,0,0,22.91,2.28,0
20050329:1806,0,0,0,0,0,22.47,2.48,0
20050329:1906,0,0,0,0,0,22.31,2.83,0
20050329:2006,0,0,0,0,0,22.22,3.1,0
20050329:2106,0,0,0,0,0,22.19,3.1,0
20050329:2206,0,0,0,0,0,22.14,3.1,0
20050329:2306,0,0,0,0,0,22.25,2.9,0
20050330:0006,0,0,0,0,0,22.14,2.69,0
20050330:0106,0,0,0,0,0,22.02,2.83,0
20050330:0206,0,0,0,0,0,20.71,4.48,0
20050330:0306,0,0,0,0,0,20.28,3.66,0
20050330:0406,0,0,0,0,0,20.42,2.62,0
20050330:0506,26.04,0,47,0,17.8,21.03,2.55,0
20050330:0606,91.7,0,130,0,32.76,22.47,3.17,0
20050330:0706,135.66,0,184,0,47.71,23.34,3.45,0
20050330:0806,126.85,0,174,0,62.62,24.17,3.24,0
20050330:0906,100.09,0,141,0,77.34,23.85,3.52,0
20050330:1006,109.73,0,152,0,85.55,22.64,3.45,0
20050330:1106,101.5,0,142,0,71.87,22.73,3.66,0
20050330:1206,84.81,0,122,0,57.03,23.29,3.17,0
20050330:1306,102.52,0,144,0,42.1,23.83,3.31,0
20050330:1406,100.77,0,142,0,27.15,23.86,2.76,0
20050330:1506,68.4,0,102,0,12.18,23.61,2.14,0
20050330:1606,0,0,0,0,-2.78,22.86,1.86,0
20050330:1706,0,0,0,0,0,22.25,2.21,0
20050330:1806,0,0,0,0,0,21.89,2.48,0
20050330:1906,0,0,0,0,0,21.9,3.38,0
20050330:2006,0,0,0,0,0,21.86,3.17,0
20050330:2106,0,0,0,0,0,21.78,2.97,0
20050330:2206,0,0,0,0,0,21.57,2.69,0
20050330:2306,0,0,0,0,0,21.36,2.34,0
20050331:0006,0,0,0,0,0,21.04,2.21,0
20050331:0106,0,0,0,0,0,20.7,1.79,0
20050331:0206,0,0,0,0,0,20.25,1.45,0
20050331:0306,0,0,0,0,0,19.65,3.03,0
20050331:0406,0,0,0,0,0,19.78,3.17,0
20050331:0506,54.83,0,84,0,17.87,20.96,2.48,0
20050331:0606,76.09,0,111,0,32.82,22.61,2.76,0
20050331:0706,98.34,0,139,0,47.76,23.79,2.69,0
20050331:0806,138.75,0,189,0,62.65,24.48,2.76,0
20050331:0906,148.31,0,201,0,77.31,24.87,2.9,0
20050331:1006,386.53,0,504,0,85.2,25.52,2.97,0
20050331:1106,165.82,0,223,0,71.72,25.54,3.24,0
20050331:1206,121.02,0,168,0,56.92,25.7,3.24,0
20050331:1306,117.74,0,164,0,42,25.66,3.03,0
20050331:1406,91.89,0,132,0,27.06,25.41,2.62,0
20050331:1506,63.24,0,96,0,12.1,24.78,2.34,0
20050331:1606,0,0,0,0,-2.86,23.81,2.14,0
20050331:1706,0,0,0,0,0,22.95,2.14,0
20050331:1806,0,0,0,0,0,22.43,2.21,0
20050331:1906,0,0,0,0,0,22.04,2.41,0
20050331:2006,0,0,0,0,0,21.7,2.41,0
20050331:2106,0,0,0,0,0,21.4,2.48,0
20050331:2206,0,0,0,0,0,21.19,2.41,0
20050331:2306,0,0,0,0,0,21.02,2.41,0
20050401:0006,0,0,0,0,0,20.84,2.28,0
20050401:0106,0,0,0,0,0,20.61,2.14,0
20050401:0206,0,0,0,0,0,20.34,2.07,0
20050401:0306,0,0,0,0,0,20.25,2.28,0
20050401:0406,0,0,0,0,0,20.19,2.76,0
20050401:0506,42.01,0,68,0,17.94,21.65,2.83,0
20050401:0606,58.12,0,89,0,32.88,23.62,3.38,0
20050401:0706,127.24,0,175,0,47.81,25.06,3.72,0
20050401:0806,160.35,0,216,0,62.67,25.52,3.72,0
20050401:0906,78.89,0,116,0,77.27,26.03,3.66,0
20050401:1006,78.75,0,116,0,84.84,26.33,3.45,0
20050401:1106,77.92,0,115,0,71.56,26.38,3.38,0
20050401:1206,63.74,0,97,0,56.8,25.95,3.24,0
20050401:1306,103.26,0,146,0,41.9,25.54,3.24,0
20050401:1406,87.9,0,127,0,26.97,25.49,3.1,0
20050401:1506,59.17,0,91,0,12.02,25.28,2.83,0
20050401:1606,0,0,0,0,-2.93,24.19,2.83,0
20050401:1706,0,0,0,0,0,23.44,2.9,0
20050401:1806,0,0,0,0,0,22.92,2.83,0
20050401:1906,0,0,0,0,0,22.31,2.76,0
20050401:2006,0,0,0,0,0,21.85,2.69,0
20050401:2106,0,0,0,0,0,21.35,2.55,0
20050401:2206,0,0,0,0,0,20.73,2.28,0
20050401:2306,0,0,0,0,0,19.98,1.79,0
20050402:0006,0,0,0,0,0,20.45,1.17,0
20050402:0106,0,0,0,0,0,21.5,0.76,0
20050402:0206,0,0,0,0,0,21.07,0.97,0
20050402:0306,0,0,0,0,0,21.21,0.97,0
20050402:0406,0,0,0,0,0,20.37,1.24,0
20050402:0506,49.95,0,78,0,18.01,21.04,1.38,0
20050402:0606,87,0,126,0,32.94,25.45,2.41,0
20050402:0706,117.69,0,164,0,47.85,25.75,3.03,0
20050402:0806,107.57,0,152,0,62.69,26.67,3.52,0
20050402:0906,78.39,0,116,0,77.21,27.34,3.79,0
20050402:1006,77.44,0,115,0,84.48,27.75,3.86,0
20050402:1106,96.06,0,138,0,71.4,27.21,3.79,0
20050402:1206,49.38,0,79,0,56.68,26.81,3.17,0
20050402:1306,90.74,0,131,0,41.8,26.04,2.34,0
20050402:1406,97.93,0,140,0,26.87,25.92,1.86,0
20050402:1506,64.53,0,98,0,11.93,25.34,1.31,0
20050402:1606,0,0,0,0,-3.01,24.38,1.79,0
20050402:1706,0,0,0,0,0,23.44,2.28,0
20050402:1806,0,0,0,0,0,22.99,2.83,0
20050402:1906,0,0,0,0,0,22.72,3.24,0
20050402:2006,0,0,0,0,0,22.66,3.24,0
20050402:2106,0,0,0,0,0,22.55,3.1,0
20050402:2206,0,0,0,0,0,22.43,3.1,0
20050402:2306,0,0,0,0,0,22.32,3.1,0
20050403:0006,0,0,0,0,0,22.18,3.03,0
20050403:0106,0,0,0,0,0,21.98,2.76,0
20050403:0206,0,0,0,0,0,21.74,2.62,0
20050403:0306,0,0,0,0,0,21.61,2.76,0
20050403:0406,0,0,0,0,0,21.7,3.17,0
20050403:0506,49.57,0,78,0,18.08,22.96,3.03,0
20050403:0606,73.59,0,109,0,33,25.22,3.66,0
20050403:0706,88.54,0,128,0,47.9,26.3,4.69,0
20050403:0806,86.67,0,126,0,62.71,26.91,4.76,0
20050403:0906,200.88,0,267,0,77.14,27.03,4.9,0
20050403:1006,383.79,0,497,0,84.11,25.94,4.55,0
20050403:1106,309.57,0,402,0,71.23,26.37,4.9,0
20050403:1206,118.65,0,165,0,56.55,26.25,5.17,0
20050403:1306,91.09,0,131,0,41.69,25.92,4.28,0
20050403:1406,80.93,0,118,0,26.78,24.8,3.1,0
20050403:1506,60.15,0,92,0,11.85,24.46,2.14,0
20050403:1606,0,0,0,0,-3.08,24.02,1.86,0
20050403:1706,0,0,0,0,0,23.21,1.66,0
20050403:1806,0,0,0,0,0,22.18,1.24,0
20050403:1906,0,0,0,0,0,21.45,1.93,0
20050403:2006,0,0,0,0,0,20.88,2,0
20050403:2106,0,0,0,0,0,20.43,1.93,0
20050403:2206,0,0,0,0,0,20.02,1.59,0
20050403:2306,0,0,0,0,0,19.68,1.38,0
20050404:0006,0,0,0,0,0,18.86,1.59,0
20050404:0106,0,0,0,0,0,18.65,1.38,0
20050404:0206,0,0,0,0,0,20.26,0.62,0
20050404:0306,0,0,0,0,0,20.15,0.69,0
20050404:0406,0,0,0,0,0,20.36,0.21,0
20050404:0506,57.97,0,88,0,18.15,20.57,0.62,0
20050404:0606,97.19,0,138,0,33.06,23.82,1.24,0
20050404:0706,98.3,0,140,0,47.94,25.51,2.62,0
20050404:0806,95.13,0,135,0,62.72,24.36,4.83,0
20050404:0906,309.08,0,397,0,77.06,23.01,3.59,0
20050404:1006,291.59,0,377,0,83.75,24.04,3.52,0
20050404:1106,262.46,0,341,0,71.05,24.63,3.86,0
20050404:1206,133.47,0,182,0,56.42,24.24,3.66,0
20050404:1306,120.84,0,166,0,41.59,23.31,3.31,0
20050404:1406,134.3,0,183,0,26.69,23.95,3.03,0
20050404:1506,65.91,0,99,0,11.77,24.12,2.97,0
20050404:1606,0,0,0,0,-3.16,23.62,2.07,0
20050404:1706,0,0,0,0,0,22.8,1.17,0
20050404:1806,0,0,0,0,0,23.16,0.48,0
20050404:1906,0,0,0,0,0,21.04,1.66,0
20050404:2006,0,0,0,0,0,20.57,1.52,0
20050404:2106,0,0,0,0,0,20.26,1.52,0
20050404:2206,0,0,0,0,0,20.11,1.38,0
20050404:2306,0,0,0,0,0,21,0.9,0
20050405:0006,0,0,0,0,0,20.81,0.9,0
20050405:0106,0,0,0,0,0,19.59,1.17,0
20050405:0206,0,0,0,0,0,20.33,0.69,0
20050405:0306,0,0,0,0,0,19.23,2.28,0
20050405:0406,0,0,0,0,0,19.06,2.34,0
20050405:0506,15.98,0,33,0,18.21,20.24,2.41,0
20050405:0606,159.3,0,211,0,33.11,21.42,3.31,0
20050405:0706,182.13,0,240,0,47.97,22.44,2.83,0
20050405:0806,268.41,0,346,0,62.72,22.98,3.66,0
20050405:0906,323.04,0,415,0,76.97,23.52,3.93,0
20050405:1006,225.99,0,294,0,83.38,23.3,3.72,0
20050405:1106,384.22,0,495,0,70.87,23.64,3.38,0
20050405:1206,147.49,0,199,0,56.29,24,3.38,0
20050405:1306,90.06,0,129,0,41.48,24.17,2.83,0
20050405:1406,191.78,0,254,0,26.6,24.32,2.76,0
20050405:1506,39.95,0,66,0,11.69,24.02,2.41,0
20050405:1606,0,0,0,0,-3.23,23.25,2.21,0
20050405:1706,0,0,0,0,0,22.69,1.93,0
20050405:1806,0,0,0,0,0,22.07,1.72,0
20050405:1906,0,0,0,0,0,21.48,1.86,0
20050405:2006,0,0,0,0,0,21.05,1.31,0
20050405:2106,0,0,0,0,0,22.29,0.55,0
20050405:2206,0,0,0,0,0,21.85,0.34,0
20050405:2306,0,0,0,0,0,21.11,0.62,0
20050406:0006,0,0,0,0,0,19.56,1.38,0
20050406:0106,0,0,0,0,0,19.84,1.79,0
20050406:0206,0,0,0,0,0,19.24,1.59,0
20050406:0306,0,0,0,0,0,18.82,1.93,0
20050406:0406,0,0,0,0,0,18.93,1.17,0
20050406:0506,3.84,0,14,0,18.28,19.29,0.48,0
20050406:0606,18.78,0,37,0,33.16,20.31,0.48,0
20050406:0706,138.65,0,187,0,48,22.08,2.48,0
20050406:0806,176.97,0,234,0,62.72,23.05,3.38,0
20050406:0906,366.62,0,473,0,76.86,23.84,3.24,0
20050406:1006,369.37,0,477,0,83.01,23.77,3.03,0
20050406:1106,220.65,0,288,0,70.69,22.79,2.48,0
20050406:1206,118.62,0,164,0,56.16,23.12,1.1,0
20050406:1306,79.66,0,116,0,41.37,23.46,1.72,0
20050406:1406,110.52,0,154,0,26.5,23.78,2.41,0
20050406:1506,91.08,0,130,0,11.61,23.51,2.28,0
20050406:1606,0,0,0,0,-3.3,22.83,2.28,0
20050406:1706,0,0,0,0,0,22.27,2.41,0
20050406:1806,0,0,0,0,0,22.07,2.76,0
20050406:1906,0,0,0,0,0,21.8,2.21,0
20050406:2006,0,0,0,0,0,21.57,2.34,0
20050406:2106,0,0,0,0,0,21.37,2.21,0
20050406:2206,0,0,0,0,0,21.17,2.28,0
20050406:2306,0,0,0,0,0,20.66,2.76,0
20050407:0006,0,0,0,0,0,20.85,2.83,0
20050407:0106,0,0,0,0,0,20.95,2.55,0
20050407:0206,0,0,0,0,0,20.69,2.48,0
20050407:0306,0,0,0,0,0,20.46,2.28,0
20050407:0406,0,0,0,0,0,20.39,2.14,0
20050407:0506,10.48,0,25,0,18.34,21.03,1.79,0
20050407:0606,90.73,0,129,0,33.21,22.33,1.93,0
20050407:0706,250.72,0,325,0,48.03,23.2,3.17,0
20050407:0806,149.63,0,201,0,62.71,23.29,3.31,0
20050407:0906,162.09,0,216,0,76.75,23.01,3.1,0
20050407:1006,123.88,0,170,0,82.65,23.47,2.76,0
20050407:1106,149.12,0,200,0,70.5,22.79,3.17,0
20050407:1206,111.08,0,154,0,56.02,23.14,3.31,0
20050407:1306,238.92,0,311,0,41.26,23.35,2.83,0
20050407:1406,85.41,0,123,0,26.41,23.5,2.34,0
20050407:1506,61.37,0,93,0,11.52,23.01,1.86,0
20050407:1606,0,0,0,0,-3.37,22.45,1.66,0
20050407:1706,0,0,0,0,0,21.95,2.76,0
20050407:1806,0,0,0,0,0,21.73,2.07,0
20050407:1906,0,0,0,0,0,21.34,1.66,0
20050407:2006,0,0,0,0,0,20.58,1.31,0
20050407:2106,0,0,0,0,0,20.42,1.1,0
20050407:2206,0,0,0,0,0,20.51,1.03,0
20050407:2306,0,0,0,0,0,21.21,0.83,0
20050408:0006,0,0,0,0,0,20.27,0.83,0
20050408:0106,0,0,0,0,0,19.92,0.97,0
20050408:0206,0,0,0,0,0,18.96,1.24,0
20050408:0306,0,0,0,0,0,19.35,2.14,0
20050408:0406,0,0,0,0,0,19.53,2.41,0
20050408:0506,43.11,0,69,0,18.4,20.09,2.28,0
20050408:0606,80.51,0,116,0,33.26,21.64,2.55,0
20050408:0706,215.21,0,281,0,48.06,23.11,3.17,0
20050408:0806,142.66,0,193,0,62.7,23.84,3.31,0
20050408:0906,326.31,0,421,0,76.63,24.05,3.52,0
20050408:1006,322.51,0,416,0,82.28,23.83,3.38,0
20050408:1106,381.08,0,492,0,70.3,23.75,3.1,0
20050408:1206,98.46,0,139,0,55.89,23.78,3.31,0
20050408:1306,143.74,0,194,0,41.15,23.34,3.03,0
20050408:1406,189.05,0,250,0,26.31,23.3,2.14,0
20050408:1506,79.92,0,116,0,11.44,23.04,2.34,0
20050408:1606,0,0,0,0,-3.44,22.44,1.93,0
20050408:1706,0,0,0,0,0,21.98,2.9,0
20050408:1806,0,0,0,0,0,22.02,2.41,0
20050408:1906,0,0,0,0,0,21.77,1.72,0
20050408:2006,0,0,0,0,0,20.85,1.38,0
20050408:2106,0,0,0,0,0,20.23,1.79,0
20050408:2206,0,0,0,0,0,19.89,1.72,0
20050408:2306,0,0,0,0,0,20.17,2.9,0
20050409:0006,0,0,0,0,0,20.58,3.38,0
20050409:0106,0,0,0,0,0,20.91,2.83,0
20050409:0206,0,0,0,0,0,20.79,2.97,0
20050409:0306,0,0,0,0,0,20.69,2.83,0
20050409:0406,0,0,0,0,0,20.69,2.34,0
20050409:0506,4.36,0,15,0,18.46,20.78,2.83,0
20050409:0606,19.48,0,38,0,33.3,20.87,3.38,0
20050409:0706,50.85,0,79,0,48.08,21.03,3.03,0
20050409:0806,271.48,0,348,0,62.68,21.59,3.31,0
20050409:0906,230.33,0,297,0,76.5,21.41,3.45,0
20050409:1006,318.76,0,408,0,81.91,21.76,2.97,0
20050409:1106,79.33,0,115,0,70.11,22.52,2.41,0
20050409:1206,80.01,0,116,0,55.75,23.02,2.9,0
20050409:1306,86.28,0,124,0,41.04,23.41,2.48,0
20050409:1406,118.71,0,164,0,26.22,23.44,1.86,0
20050409:1506,61.32,0,93,0,11.36,23.13,1.72,0
20050409:1606,0,0,0,0,-3.5,22.59,1.86,0
20050409:1706,0,0,0,0,0,21.99,2,0
20050409:1806,0,0,0,0,0,21.1,1.1,0
20050409:1906,0,0,0,0,0,21.09,2.21,0
20050409:2006,0,0,0,0,0,21.2,2.34,0
20050409:2106,0,0,0,0,0,21.18,2.21,0
20050409:2206,0,0,0,0,0,21.3,2.14,0
20050409:2306,0,0,0,0,0,21.12,2.21,0
20050410:0006,0,0,0,0,0,20.8,2.34,0
20050410:0106,0,0,0,0,0,20.52,2.14,0
20050410:0206,0,0,0,0,0,20.04,2.9,0
20050410:0306,0,0,0,0,0,19.76,2.69,0
20050410:0406,0,0,0,0,0,19.72,2.55,0
20050410:0506,47.79,0,75,0,18.51,20.33,2,0
20050410:0606,148.05,0,198,0,33.34,21.46,2.21,0
20050410:0706,88.55,0,127,0,48.1,23.84,2.62,0
20050410:0806,52.32,0,82,0,62.66,24.31,2.28,0
20050410:0906,96.37,0,137,0,76.36,24.43,2.48,0
20050410:1006,180.45,0,240,0,81.55,24.63,3.31,0
20050410:1106,184.72,0,244,0,69.91,23.34,3.03,0
20050410:1206,72.44,0,107,0,55.61,23.82,3.03,0
20050410:1306,108.79,0,152,0,40.92,23.86,2.21,0
20050410:1406,166.35,0,223,0,26.13,23.99,1.86,0
20050410:1506,46.93,0,75,0,11.28,23.65,1.17,0
20050410:1606,0,0,0,0,0,23.18,1.52,0
20050410:1706,0,0,0,0,0,22.5,1.86,0
20050410:1806,0,0,0,0,0,22.03,1.86,0
20050410:1906,0,0,0,0,0,21.47,1.24,0
20050410:2006,0,0,0,0,0,20.9,1.31,0
20050410:2106,0,0,0,0,0,20.74,1.17,0
20050410:2206,0,0,0,0,0,20.55,1.31,0
20050410:2306,0,0,0,0,0,20.16,1.45,0
20050411:0006,0,0,0,0,0,20.49,3.03,0
20050411:0106,0,0,0,0,0,20.44,2.28,0
20050411:0206,0,0,0,0,0,20.51,2.07,0
20050411:0306,0,0,0,0,0,20.36,2.21,0
20050411:0406,0,0,0,0,0,20.23,2.28,0
20050411:0506,53.97,0,83,0,18.57,21.14,2.34,0
20050411:0606,128.15,0,174,0,33.38,22.23,3.52,0
20050411:0706,207.69,0,270,0,48.11,22.28,4.14,0
20050411:0806,143.93,0,193,0,62.63,22.08,3.38,0
20050411:0906,313.78,0,404,0,76.21,22.79,2.83,0
20050411:1006,124.11,0,170,0,81.19,23.24,3.1,0
20050411:1106,131.85,0,179,0,69.71,22.75,3.17,0
20050411:1206,153.62,0,205,0,55.47,22.14,2.9,0
20050411:1306,39.4,0,65,0,40.81,22.9,2.41,0
20050411:1406,23.55,0,44,0,26.03,23.25,2.9,0
20050411:1506,68.56,0,102,0,11.21,23.25,2.48,0
20050411:1606,0,0,0,0,0,22.75,2.28,0
20050411:1706,0,0,0,0,0,22.25,2.28,0
20050411:1806,0,0,0,0,0,21.99,2.34,0
20050411:1906,0,0,0,0,0,21.76,2.07,0
20050411:2006,0,0,0,0,0,21.7,2.41,0
20050411:2106,0,0,0,0,0,21.42,2.83,0
20050411:2206,0,0,0,0,0,21.45,2.14,0
20050411:2306,0,0,0,0,0,21.15,2.07,0
20050412:0006,0,0,0,0,0,20.92,1.72,0
20050412:0106,0,0,0,0,0,20.65,0.76,0
20050412:0206,0,0,0,0,0,20.38,1.1,0
20050412:0306,0,0,0,0,0,20.26,1.93,0
20050412:0406,0,0,0,0,0,19.84,1.79,0
20050412:0506,25.41,0,46,0,18.62,20,1.24,0
20050412:0606,77.52,0,112,0,33.41,20.41,1.17,0
