time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050105:1306,115.93,0,161,0,38.17,23.55,1.1,0
20050105:1406,99.7,0,141,0,24.83,23.4,0.83,0
20050105:1506,59.56,0,91,0,11.13,23.33,0.83,0
20050105:1606,0,0,0,0,-2.7,22.73,0.69,0
20050105:1706,0,0,0,0,0,22.11,0.55,0
20050105:1806,0,0,0,0,0,21.38,0.83,0
20050105:1906,0,0,0,0,0,19.75,1.93,0
20050105:2006,0,0,0,0,0,19.48,2,0
20050105:2106,0,0,0,0,0,19.55,2,0
20050105:2206,0,0,0,0,0,19.3,1.86,0
20050105:2306,0,0,0,0,0,19.34,1.59,0
20050106:0006,0,0,0,0,0,20.13,1.24,0
20050106:0106,0,0,0,0,0,21.49,0.69,0
20050106:0206,0,0,0,0,0,21.14,0.48,0
20050106:0306,0,0,0,0,0,20.21,0.9,0
20050106:0406,0,0,0,0,0,17.97,1.45,0
20050106:0506,50.72,0,79,0,16.16,20.68,0.21,0
20050106:0606,79.55,0,116,0,29.78,22.9,0.14,0
20050106:0706,120.37,0,167,0,42.91,23.54,0.21,0
20050106:0806,111.2,0,156,0,54.94,24.57,0.83,0
20050106:0906,109.34,0,154,0,64.2,25.11,0.97,0
20050106:1006,67.63,0,102,0,67.01,25.5,1.17,0
20050106:1106,109.95,0,155,0,61.4,25.9,1.66,0
20050106:1206,107.34,0,151,0,50.84,25.05,2.21,0
20050106:1306,99.95,0,141,0,38.3,23.48,1.86,0
20050106:1406,81.18,0,118,0,24.95,23.54,1.38,0
20050106:1506,59.55,0,91,0,11.24,23.5,1.17,0
20050106:1606,0,0,0,0,-2.6,22.99,1.31,0
20050106:1706,0,0,0,0,0,22.13,1.79,0
20050106:1806,0,0,0,0,0,21.72,2.21,0
20050106:1906,0,0,0,0,0,21.9,3.03,0
20050106:2006,0,0,0,0,0,21.92,3.31,0
20050106:2106,0,0,0,0,0,21.93,3.38,0
20050106:2206,0,0,0,0,0,21.93,3.24,0
20050106:2306,0,0,0,0,0,21.82,3.03,0
20050107:0006,0,0,0,0,0,21.61,2.62,0
20050107:0106,0,0,0,0,0,20.87,1.79,0
20050107:0206,0,0,0,0,0,20.66,1.1,0
20050107:0306,0,0,0,0,0,19.45,1.24,0
20050107:0406,0,0,0,0,0,18.63,1.59,0
20050107:0506,17.29,0,35,0,16.08,21.04,0.28,0
20050107:0606,74.04,0,109,0,29.71,22.87,0.55,0
20050107:0706,188.34,0,250,0,42.87,23.71,1.72,0
20050107:0806,65.07,0,98,0,54.94,24.12,2.55,0
20050107:0906,316.6,0,410,0,64.26,23.94,2.76,0
20050107:1006,374.25,0,483,0,67.15,24.12,3.45,0
20050107:1106,313.1,0,404,0,61.56,23.31,2.9,0
20050107:1206,172.8,0,230,0,50.98,23.76,2.83,0
20050107:1306,77.1,0,113,0,38.43,24.03,2.28,0
20050107:1406,80.96,0,118,0,25.07,24.09,1.38,0
20050107:1506,51.64,0,81,0,11.35,23.5,0.97,0
20050107:1606,0,0,0,0,-2.51,22.72,0.41,0
20050107:1706,0,0,0,0,0,22.16,0.76,0
20050107:1806,0,0,0,0,0,21.47,1.38,0
20050107:1906,0,0,0,0,0,20.7,1.66,0
20050107:2006,0,0,0,0,0,20.58,1.86,0
20050107:2106,0,0,0,0,0,20.42,2,0
20050107:2206,0,0,0,0,0,20.02,1.86,0
20050107:2306,0,0,0,0,0,19.55,1.66,0
