nohup: ignoring input
Number of coordinates within Uganda boundary: 1962
Fetching data for the period: 2024-01-01 to 2024-12-31
Found existing CSV file with 1953 unique coordinate pairs already downloaded.
Existing coordinates:
  (-1.3821, 29.6715)
  (-1.3821, 29.9715)
  (-1.2821, 29.6715)
  (-1.2821, 29.7715)
  (-1.2821, 29.8715)
  (-1.2821, 29.9715)
  (-1.2821, 30.0715)
  (-1.1821, 29.6715)
  (-1.1821, 29.7715)
  (-1.1821, 29.8715)
  (-1.1821, 29.9715)
  (-1.1821, 30.0715)
  (-1.1821, 30.1715)
  (-1.1821, 30.2715)
  (-1.0821, 29.6715)
  (-1.0821, 29.7715)
  (-1.0821, 29.8715)
  (-1.0821, 29.9715)
  (-1.0821, 30.0715)
  (-1.0821, 30.1715)
  (-1.0821, 30.2715)
  (-0.9821, 29.6715)
  (-0.9821, 29.7715)
  (-0.9821, 29.8715)
  (-0.9821, 29.9715)
  (-0.9821, 30.0715)
  (-0.9821, 30.1715)
  (-0.9821, 30.2715)
  (-0.9821, 30.3715)
  (-0.9821, 30.4715)
  (-0.9821, 30.5715)
  (-0.9821, 30.6715)
  (-0.9821, 30.7715)
  (-0.9821, 30.8715)
  (-0.9821, 30.9715)
  (-0.9821, 31.0715)
  (-0.9821, 31.1715)
  (-0.9821, 31.2715)
  (-0.9821, 31.3715)
  (-0.9821, 31.4715)
  (-0.9821, 31.6715)
  (-0.9821, 31.7715)
  (-0.9821, 31.8715)
  (-0.9821, 31.9715)
  (-0.9821, 32.0715)
  (-0.9821, 32.1715)
  (-0.9821, 32.2715)
  (-0.9821, 32.3715)
  (-0.9821, 32.4715)
  (-0.9821, 32.5715)
  (-0.9821, 32.6715)
  (-0.9821, 32.7715)
  (-0.9821, 32.8715)
  (-0.9821, 32.9715)
  (-0.9821, 33.0715)
  (-0.9821, 33.1715)
  (-0.9821, 33.2715)
  (-0.9821, 33.3715)
  (-0.9821, 33.4715)
  (-0.9821, 33.5715)
  (-0.9821, 33.6715)
  (-0.9821, 33.8715)
  (-0.8821, 29.6715)
  (-0.8821, 29.7715)
  (-0.8821, 29.8715)
  (-0.8821, 29.9715)
  (-0.8821, 30.0715)
  (-0.8821, 30.1715)
  (-0.8821, 30.2715)
  (-0.8821, 30.3715)
  (-0.8821, 30.4715)
  (-0.8821, 30.5715)
  (-0.8821, 30.6715)
  (-0.8821, 30.7715)
  (-0.8821, 30.8715)
  (-0.8821, 30.9715)
  (-0.8821, 31.0715)
  (-0.8821, 31.1715)
  (-0.8821, 31.2715)
  (-0.8821, 31.3715)
  (-0.8821, 31.4715)
  (-0.8821, 31.5715)
  (-0.8821, 31.6715)
  (-0.8821, 31.7715)
  (-0.8821, 31.8715)
  (-0.8821, 31.9715)
  (-0.8821, 32.0715)
  (-0.8821, 32.1715)
  (-0.8821, 32.2715)
  (-0.8821, 32.3715)
  (-0.8821, 32.4715)
  (-0.8821, 32.5715)
  (-0.8821, 32.6715)
  (-0.8821, 32.7715)
  (-0.8821, 32.8715)
  (-0.8821, 32.9715)
  (-0.8821, 33.0715)
  (-0.8821, 33.1715)
  (-0.8821, 33.2715)
  (-0.8821, 33.3715)
  (-0.8821, 33.4715)
  (-0.8821, 33.5715)
  (-0.8821, 33.6715)
  (-0.8821, 33.7715)
  (-0.8821, 33.8715)
  (-0.7821, 29.6715)
  (-0.7821, 29.7715)
  (-0.7821, 29.8715)
  (-0.7821, 29.9715)
  (-0.7821, 30.0715)
  (-0.7821, 30.1715)
  (-0.7821, 30.2715)
  (-0.7821, 30.3715)
  (-0.7821, 30.4715)
  (-0.7821, 30.5715)
  (-0.7821, 30.6715)
  (-0.7821, 30.7715)
  (-0.7821, 30.8715)
  (-0.7821, 30.9715)
  (-0.7821, 31.0715)
  (-0.7821, 31.1715)
  (-0.7821, 31.2715)
  (-0.7821, 31.3715)
  (-0.7821, 31.4715)
  (-0.7821, 31.5715)
  (-0.7821, 31.6715)
  (-0.7821, 31.7715)
  (-0.7821, 31.8715)
  (-0.7821, 31.9715)
  (-0.7821, 32.0715)
  (-0.7821, 32.1715)
  (-0.7821, 32.2715)
  (-0.7821, 32.3715)
  (-0.7821, 32.4715)
  (-0.7821, 32.5715)
  (-0.7821, 32.6715)
  (-0.7821, 32.7715)
  (-0.7821, 32.8715)
  (-0.7821, 32.9715)
  (-0.7821, 33.0715)
  (-0.7821, 33.1715)
  (-0.7821, 33.2715)
  (-0.7821, 33.3715)
  (-0.7821, 33.4715)
  (-0.7821, 33.5715)
  (-0.7821, 33.6715)
  (-0.7821, 33.7715)
  (-0.7821, 33.8715)
  (-0.6821, 29.6715)
  (-0.6821, 29.7715)
  (-0.6821, 29.8715)
  (-0.6821, 29.9715)
  (-0.6821, 30.0715)
  (-0.6821, 30.1715)
  (-0.6821, 30.2715)
  (-0.6821, 30.3715)
  (-0.6821, 30.4715)
  (-0.6821, 30.5715)
  (-0.6821, 30.6715)
  (-0.6821, 30.7715)
  (-0.6821, 30.8715)
  (-0.6821, 30.9715)
  (-0.6821, 31.0715)
  (-0.6821, 31.1715)
  (-0.6821, 31.2715)
  (-0.6821, 31.3715)
  (-0.6821, 31.4715)
  (-0.6821, 31.5715)
  (-0.6821, 31.6715)
  (-0.6821, 31.7715)
  (-0.6821, 31.8715)
  (-0.6821, 31.9715)
  (-0.6821, 32.0715)
  (-0.6821, 32.1715)
  (-0.6821, 32.2715)
  (-0.6821, 32.3715)
  (-0.6821, 32.4715)
  (-0.6821, 32.5715)
  (-0.6821, 32.6715)
  (-0.6821, 32.7715)
  (-0.6821, 32.8715)
  (-0.6821, 32.9715)
  (-0.6821, 33.0715)
  (-0.6821, 33.1715)
  (-0.6821, 33.2715)
  (-0.6821, 33.3715)
  (-0.6821, 33.4715)
  (-0.6821, 33.5715)
  (-0.6821, 33.6715)
  (-0.6821, 33.7715)
  (-0.6821, 33.8715)
  (-0.5821, 29.6715)
  (-0.5821, 29.7715)
  (-0.5821, 29.8715)
  (-0.5821, 29.9715)
  (-0.5821, 30.0715)
  (-0.5821, 30.1715)
  (-0.5821, 30.2715)
  (-0.5821, 30.3715)
  (-0.5821, 30.4715)
  (-0.5821, 30.5715)
  (-0.5821, 30.6715)
  (-0.5821, 30.7715)
  (-0.5821, 30.8715)
  (-0.5821, 30.9715)
  (-0.5821, 31.0715)
  (-0.5821, 31.1715)
  (-0.5821, 31.2715)
  (-0.5821, 31.3715)
  (-0.5821, 31.4715)
  (-0.5821, 31.5715)
  (-0.5821, 31.6715)
  (-0.5821, 31.7715)
  (-0.5821, 31.8715)
  (-0.5821, 31.9715)
  (-0.5821, 32.0715)
  (-0.5821, 32.1715)
  (-0.5821, 32.2715)
  (-0.5821, 32.3715)
  (-0.5821, 32.4715)
  (-0.5821, 32.5715)
  (-0.5821, 32.6715)
  (-0.5821, 32.7715)
  (-0.5821, 32.8715)
  (-0.5821, 32.9715)
  (-0.5821, 33.0715)
  (-0.5821, 33.1715)
  (-0.5821, 33.2715)
  (-0.5821, 33.3715)
  (-0.5821, 33.4715)
  (-0.5821, 33.5715)
  (-0.5821, 33.6715)
  (-0.5821, 33.7715)
  (-0.5821, 33.8715)
  (-0.4821, 29.6715)
  (-0.4821, 29.7715)
  (-0.4821, 29.8715)
  (-0.4821, 29.9715)
  (-0.4821, 30.0715)
  (-0.4821, 30.1715)
  (-0.4821, 30.2715)
  (-0.4821, 30.3715)
  (-0.4821, 30.4715)
  (-0.4821, 30.5715)
  (-0.4821, 30.6715)
  (-0.4821, 30.7715)
  (-0.4821, 30.8715)
  (-0.4821, 30.9715)
  (-0.4821, 31.0715)
  (-0.4821, 31.1715)
  (-0.4821, 31.2715)
  (-0.4821, 31.3715)
  (-0.4821, 31.4715)
  (-0.4821, 31.5715)
  (-0.4821, 31.6715)
  (-0.4821, 31.7715)
  (-0.4821, 31.8715)
  (-0.4821, 31.9715)
  (-0.4821, 32.0715)
  (-0.4821, 32.1715)
  (-0.4821, 32.2715)
  (-0.4821, 32.3715)
  (-0.4821, 32.4715)
  (-0.4821, 32.5715)
  (-0.4821, 32.6715)
  (-0.4821, 32.7715)
  (-0.4821, 32.8715)
  (-0.4821, 32.9715)
  (-0.4821, 33.0715)
  (-0.4821, 33.1715)
  (-0.4821, 33.2715)
  (-0.4821, 33.3715)
  (-0.4821, 33.4715)
  (-0.4821, 33.5715)
  (-0.4821, 33.6715)
  (-0.4821, 33.7715)
  (-0.4821, 33.8715)
  (-0.3821, 29.7715)
  (-0.3821, 29.8715)
  (-0.3821, 29.9715)
  (-0.3821, 30.0715)
  (-0.3821, 30.1715)
  (-0.3821, 30.2715)
  (-0.3821, 30.3715)
  (-0.3821, 30.4715)
  (-0.3821, 30.5715)
  (-0.3821, 30.6715)
  (-0.3821, 30.7715)
  (-0.3821, 30.8715)
  (-0.3821, 30.9715)
  (-0.3821, 31.0715)
  (-0.3821, 31.1715)
  (-0.3821, 31.2715)
  (-0.3821, 31.3715)
  (-0.3821, 31.4715)
  (-0.3821, 31.5715)
  (-0.3821, 31.6715)
  (-0.3821, 31.7715)
  (-0.3821, 31.8715)
  (-0.3821, 31.9715)
  (-0.3821, 32.0715)
  (-0.3821, 32.1715)
  (-0.3821, 32.2715)
  (-0.3821, 32.3715)
  (-0.3821, 32.4715)
  (-0.3821, 32.5715)
  (-0.3821, 32.6715)
  (-0.3821, 32.7715)
  (-0.3821, 32.8715)
  (-0.3821, 32.9715)
  (-0.3821, 33.0715)
  (-0.3821, 33.1715)
  (-0.3821, 33.2715)
  (-0.3821, 33.3715)
  (-0.3821, 33.4715)
  (-0.3821, 33.5715)
  (-0.3821, 33.6715)
  (-0.3821, 33.7715)
  (-0.3821, 33.8715)
  (-0.2821, 29.7715)
  (-0.2821, 29.8715)
  (-0.2821, 29.9715)
  (-0.2821, 30.0715)
  (-0.2821, 30.1715)
  (-0.2821, 30.2715)
  (-0.2821, 30.3715)
  (-0.2821, 30.4715)
  (-0.2821, 30.5715)
  (-0.2821, 30.6715)
  (-0.2821, 30.7715)
  (-0.2821, 30.8715)
  (-0.2821, 30.9715)
  (-0.2821, 31.0715)
  (-0.2821, 31.1715)
