# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-09-01T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 29.8876
# Longitude (positive East, ISO 19115): 32.4604
# Altitude (m): 0.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-09-23T00:00:00.0/2023-09-24T00:00:00.0;8953.2646;6707.7280;5570.7783;1136.9496;8823.7529;6707.7280;5570.7783;1136.9496;8823.7529;0.9844
2023-09-24T00:00:00.0/2023-09-25T00:00:00.0;8903.0947;6752.8584;5753.4751;999.3831;9241.9990;6752.8584;5753.4751;999.3831;9241.9990;0.9858
2023-09-25T00:00:00.0/2023-09-26T00:00:00.0;8852.7012;6770.9961;5809.1484;961.8476;9383.3086;6770.9961;5809.1484;961.8476;9383.3086;0.9858
2023-09-26T00:00:00.0/2023-09-27T00:00:00.0;8801.9434;6714.2754;5636.9736;1077.3014;9061.2383;6714.2754;5636.9736;1077.3014;9061.2383;0.9812
2023-09-27T00:00:00.0/2023-09-28T00:00:00.0;8750.9121;6672.1060;5603.7837;1068.3225;9047.1260;6672.1060;5603.7837;1068.3225;9047.1260;0.9816
2023-09-28T00:00:00.0/2023-09-29T00:00:00.0;8699.5596;6392.4116;5064.5791;1327.8328;8063.5586;6294.7080;4845.3516;1449.3566;7773.6675;0.9823
2023-09-29T00:00:00.0/2023-09-30T00:00:00.0;8647.9346;6386.6094;5187.3960;1199.2136;8246.1709;6386.6094;5187.3960;1199.2136;8246.1709;0.9830
2023-09-30T00:00:00.0/2023-10-01T00:00:00.0;8596.0635;6040.0337;4373.6685;1666.3652;6847.6680;5445.8735;3384.7109;2061.1628;5270.6665;0.9837
2023-10-01T00:00:00.0/2023-10-02T00:00:00.0;8543.9268;5838.3193;3793.4124;2044.9069;5962.3682;3081.8074;604.9003;2476.9070;992.5511;0.9844
2023-10-02T00:00:00.0/2023-10-03T00:00:00.0;8491.6152;5945.8081;4254.4849;1691.3231;6633.5312;2378.7891;169.6282;2209.1609;328.4801;0.9847
2023-10-03T00:00:00.0/2023-10-04T00:00:00.0;8438.9980;5864.5244;3950.0232;1914.5013;6245.4043;2202.6565;176.0509;2026.6055;247.1352;0.9851
2023-10-04T00:00:00.0/2023-10-05T00:00:00.0;8386.2783;5672.0742;3609.5999;2062.4746;5640.4961;4386.4683;1797.0948;2589.3735;2494.8982;0.9799
2023-10-05T00:00:00.0/2023-10-06T00:00:00.0;8333.3350;5629.4038;3695.8938;1933.5101;5802.6177;4108.4136;1254.0278;2854.3857;1898.5858;0.9802
2023-10-06T00:00:00.0/2023-10-07T00:00:00.0;8280.2559;5874.6045;4362.5889;1512.0156;7099.3804;5664.3643;3935.0474;1729.3168;6557.0596;0.9854
2023-10-07T00:00:00.0/2023-10-08T00:00:00.0;8227.0039;5889.6836;4502.7778;1386.9059;7389.4097;4917.8667;2500.2036;2417.6628;4197.2554;0.9826
2023-10-08T00:00:00.0/2023-10-09T00:00:00.0;8173.5664;5656.3228;3864.6326;1791.6902;6243.9072;5656.3228;3864.6326;1791.6902;6243.9072;0.9837
2023-10-09T00:00:00.0/2023-10-10T00:00:00.0;8120.1245;5314.2583;3147.0242;2167.2344;4981.1982;3679.6912;1497.5331;2182.1580;2183.1741;0.9840
2023-10-10T00:00:00.0/2023-10-11T00:00:00.0;8066.5493;5900.7202;4574.1060;1326.6143;7561.5083;5853.6675;4475.2363;1378.4312;7434.2002;0.9847
2023-10-11T00:00:00.0/2023-10-12T00:00:00.0;8012.9351;5807.0723;4378.6914;1428.3809;7304.6494;5348.7378;3514.5950;1834.1429;5959.9355;0.9851
2023-10-12T00:00:00.0/2023-10-13T00:00:00.0;7959.2490;5793.1006;4348.1670;1444.9333;7284.5981;5750.7236;4257.8467;1492.8768;7170.9116;0.9858
