# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-01-31T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 6.4489
# Longitude (positive East, ISO 19115): 7.3926
# Altitude (m): 363.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-01-31T00:00:00.0/2023-01-31T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-31T01:00:00.0/2023-01-31T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-31T02:00:00.0/2023-01-31T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-31T03:00:00.0/2023-01-31T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-31T04:00:00.0/2023-01-31T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-31T05:00:00.0/2023-01-31T06:00:00.0;3.1593;0.6192;0.0162;0.6030;0.4361;0.6192;0.0162;0.6030;0.4361;0.9333
2023-01-31T06:00:00.0/2023-01-31T07:00:00.0;218.4624;82.3242;24.4836;57.8406;123.5085;43.5107;3.8957;39.6150;30.7524;1.0000
2023-01-31T07:00:00.0/2023-01-31T08:00:00.0;545.7275;295.3563;149.4259;145.9303;373.9888;277.4352;132.2324;145.2027;318.0417;1.0000
2023-01-31T08:00:00.0/2023-01-31T09:00:00.0;832.6332;526.1251;323.3546;202.7706;541.5263;526.1251;323.3546;202.7706;541.5263;1.0000
2023-01-31T09:00:00.0/2023-01-31T10:00:00.0;1059.6227;720.0638;484.6877;235.3761;640.5906;720.0638;484.6877;235.3761;640.5906;1.0000
2023-01-31T10:00:00.0/2023-01-31T11:00:00.0;1211.2196;853.5335;601.9143;251.6192;696.8784;853.5335;601.9143;251.6192;696.8784;1.0000
2023-01-31T11:00:00.0/2023-01-31T12:00:00.0;1277.0836;913.8168;657.6843;256.1325;722.4641;913.8168;657.6843;256.1325;722.4641;1.0000
2023-01-31T12:00:00.0/2023-01-31T13:00:00.0;1252.7181;896.5393;650.1886;246.3507;728.1263;896.5393;650.1886;246.3507;728.1263;1.0000
2023-01-31T13:00:00.0/2023-01-31T14:00:00.0;1139.7764;803.4495;580.0295;223.4200;713.5873;803.4495;580.0295;223.4200;713.5873;1.0000
2023-01-31T14:00:00.0/2023-01-31T15:00:00.0;945.9503;642.0532;450.1783;191.8748;666.2280;642.0532;450.1783;191.8748;666.2280;1.0000
