datetime,ghi,location
2024-02-15,3419.186,egypt_location1
2024-02-16,4838.489,egypt_location1
2024-02-17,5046.179,egypt_location1
2024-02-18,4774.114,egypt_location1
2024-02-19,3876.406,egypt_location1
2024-02-20,5139.49,egypt_location1
2024-02-21,4972.714,egypt_location1
2024-02-22,4844.018,egypt_location1
2024-02-23,2346.057,egypt_location1
2024-02-24,5043.374,egypt_location1
2024-02-25,5314.898,egypt_location1
2024-02-26,5263.818,egypt_location1
2024-02-27,4566.202,egypt_location1
2024-02-28,5212.635,egypt_location1
2024-02-29,5445.961,egypt_location1
2024-03-01,5202.33,egypt_location1
2024-03-02,5394.942,egypt_location1
2024-03-03,5294.954,egypt_location1
2024-03-04,5286.113,egypt_location1
2024-03-05,5430.233,egypt_location1
2024-03-06,5269.236,egypt_location1
2024-03-07,5083.302,egypt_location1
2024-03-08,5302.968,egypt_location1
2024-03-09,4113.575,egypt_location1
2024-03-10,5463.941,egypt_location1
2024-03-11,5625.846,egypt_location1
2024-03-12,5710.986,egypt_location1
2024-03-13,5330.496,egypt_location1
2024-03-14,5282.841,egypt_location1
2024-03-15,5277.18,egypt_location1
2024-03-16,3367.69,egypt_location1
2024-03-17,4126.676,egypt_location1
2024-03-18,1945.366,egypt_location1
2024-03-19,5892.534,egypt_location1
2024-03-20,6067.865,egypt_location1
2024-03-21,6044.582,egypt_location1
2024-03-22,6229.741,egypt_location1
2024-03-23,6285.81,egypt_location1
2024-03-24,4625.021,egypt_location1
2024-03-25,6145.33,egypt_location1
2024-03-26,5954.627,egypt_location1
2024-03-27,5926.794,egypt_location1
2024-03-28,3732.9,egypt_location1
2024-03-29,5417.032,egypt_location1
2024-03-30,5979.916,egypt_location1
2024-03-31,6042.468,egypt_location1
2024-04-01,5775.511,egypt_location1
2024-04-02,6069.937,egypt_location1
2024-04-03,6191.374,egypt_location1
2024-04-04,6308.34,egypt_location1
2024-04-05,6211.313,egypt_location1
2024-04-06,6446.514,egypt_location1
2024-04-07,6276.427,egypt_location1
2024-04-08,5594.463,egypt_location1
2024-04-09,6317.77,egypt_location1
2024-04-10,6576.536,egypt_location1
2024-04-11,6478.564,egypt_location1
2024-04-12,6695.939,egypt_location1
2024-04-13,6556.161,egypt_location1
2024-04-14,6380.869,egypt_location1
2024-04-15,6496.724,egypt_location1
2024-04-16,6548.131,egypt_location1
2024-04-17,6709.784,egypt_location1
2024-04-18,4576.107,egypt_location1
2024-04-19,6651.934,egypt_location1
2024-04-20,6675.925,egypt_location1
2024-04-21,6691.189,egypt_location1
2024-04-22,7237.279,egypt_location1
2024-04-23,6690.671,egypt_location1
2024-04-24,7160.482,egypt_location1
2024-04-25,4908.397,egypt_location1
2024-04-26,6587.588,egypt_location1
2024-04-27,6911.991,egypt_location1
2024-04-28,6934.338,egypt_location1
2024-04-29,7101.35,egypt_location1
2024-04-30,7312.968,egypt_location1
2024-05-01,7015.442,egypt_location1
2024-05-02,6998.56,egypt_location1
2024-05-03,6800.596,egypt_location1
2024-05-04,6816.882,egypt_location1
2024-05-05,7098.717,egypt_location1
2024-05-06,5993.742,egypt_location1
2024-05-07,7255.844,egypt_location1
2024-05-08,7611.699,egypt_location1
2024-05-09,7267.446,egypt_location1
2024-05-10,5479.537,egypt_location1
2024-05-11,5933.926,egypt_location1
2024-05-12,6705.126,egypt_location1
2024-05-13,6962.795,egypt_location1
2024-05-14,6975.442,egypt_location1
2024-05-15,7073.304,egypt_location1
2024-05-16,7003.784,egypt_location1
2024-05-17,6805.787,egypt_location1
2024-05-18,6409.082,egypt_location1
2024-05-19,5888.857,egypt_location1
2024-05-20,6233.836,egypt_location1
2024-05-21,6127.304,egypt_location1
2024-05-22,6758.631,egypt_location1
2024-05-23,6557.098,egypt_location1
2024-05-24,7067.417,egypt_location1
2024-05-25,6908.257,egypt_location1
2024-05-26,6885.756,egypt_location1
2024-05-27,6641.018,egypt_location1
2024-05-28,6358.022,egypt_location1
2024-05-29,7558.339,egypt_location1
2024-05-30,7245.663,egypt_location1
2024-05-31,7348.673,egypt_location1
2024-06-01,7162.77,egypt_location1
2024-06-02,7675.66,egypt_location1
2024-06-03,7504.667,egypt_location1
2024-06-04,7345.526,egypt_location1
2024-06-05,7387.738,egypt_location1
2024-06-06,7357.129,egypt_location1
2024-06-07,7355.817,egypt_location1
2024-06-08,6955.086,egypt_location1
2024-06-09,6922.845,egypt_location1
2024-06-10,6968.71,egypt_location1
2024-06-11,7303.878,egypt_location1
2024-06-12,7430.078,egypt_location1
2024-06-13,7343.254,egypt_location1
2024-06-14,7286.434,egypt_location1
2024-06-15,7164.183,egypt_location1
2024-06-16,7059.93,egypt_location1
2024-06-17,7296.554,egypt_location1
2024-06-18,7139.974,egypt_location1
2024-06-19,7250.116,egypt_location1
2024-06-20,7189.159,egypt_location1
2024-06-21,6941.855,egypt_location1
2024-06-22,6992.601,egypt_location1
2024-06-23,6852.855,egypt_location1
2024-06-24,6906.574,egypt_location1
2024-06-25,6799.318,egypt_location1
2024-06-26,7016.888,egypt_location1
2024-06-27,6989.801,egypt_location1
2024-06-28,6836.68,egypt_location1
2024-06-29,6511.063,egypt_location1
2024-06-30,6405.046,egypt_location1
2024-07-01,6578.707,egypt_location1
2024-07-02,7261.743,egypt_location1
2024-07-03,7633.934,egypt_location1
2024-07-04,7091.574,egypt_location1
2024-07-05,7238.657,egypt_location1
2024-07-06,7358.601,egypt_location1
2024-07-07,7395.62,egypt_location1
2024-07-08,7175.844,egypt_location1
2024-07-09,7035.707,egypt_location1
2024-07-10,7093.604,egypt_location1
2024-07-11,6910.337,egypt_location1
2024-07-12,7051.361,egypt_location1
2024-07-13,6946.068,egypt_location1
2024-07-14,7002.473,egypt_location1
2024-07-15,7033.264,egypt_location1
2024-07-16,6821.877,egypt_location1
2024-07-17,6968.846,egypt_location1
2024-07-18,6820.513,egypt_location1
2024-07-19,7266.839,egypt_location1
2024-07-20,6919.308,egypt_location1
2024-07-21,6506.356,egypt_location1
2024-07-22,6632.718,egypt_location1
2024-07-23,6674.338,egypt_location1
2024-07-24,6434.847,egypt_location1
2024-07-25,6595.667,egypt_location1
2024-07-26,6476.145,egypt_location1
2024-07-27,6513.197,egypt_location1
2024-07-28,6406.154,egypt_location1
2024-07-29,6578.711,egypt_location1
2024-07-30,6479.392,egypt_location1
2024-07-31,6169.767,egypt_location1
2024-08-01,6151.508,egypt_location1
2024-08-02,6268.322,egypt_location1
2024-08-03,6205.332,egypt_location1
2024-08-04,6198.947,egypt_location1
2024-08-05,6094.161,egypt_location1
2024-08-06,6024.592,egypt_location1
2024-08-07,5981.047,egypt_location1
2024-08-08,6047.391,egypt_location1
2024-08-09,6493.391,egypt_location1
2024-08-10,6538.545,egypt_location1
2024-08-11,6768.171,egypt_location1
2024-08-12,6865.76,egypt_location1
2024-08-13,6373.167,egypt_location1
2024-08-14,6777.322,egypt_location1
2024-08-15,6814.982,egypt_location1
2024-08-16,6665.26,egypt_location1
2024-08-17,6343.3,egypt_location1
2024-08-18,6150.755,egypt_location1
2024-08-19,6093.496,egypt_location1
2024-08-20,6295.017,egypt_location1
2024-08-21,6505.447,egypt_location1
2024-08-22,6234.722,egypt_location1
2024-08-23,6092.825,egypt_location1
2024-08-24,5789.297,egypt_location1
2024-08-25,5640.508,egypt_location1
2024-08-26,5799.302,egypt_location1
2024-08-27,5711.31,egypt_location1
2024-08-28,4896.717,egypt_location1
2024-08-29,5477.11,egypt_location1
2024-08-30,5587.911,egypt_location1
2024-08-31,5433.993,egypt_location1
2024-09-01,5388.026,egypt_location1
2024-09-02,5325.893,egypt_location1
2024-09-03,5183.911,egypt_location1
2024-09-04,5058.44,egypt_location1
2024-09-05,5109.191,egypt_location1
2024-09-06,5269.264,egypt_location1
2024-09-07,5218.703,egypt_location1
2024-09-08,5024.17,egypt_location1
2024-09-09,4939.685,egypt_location1
2024-09-10,5023.587,egypt_location1
2024-09-11,4981.913,egypt_location1
2024-09-12,4727.803,egypt_location1
2024-09-13,4635.125,egypt_location1
2024-09-14,4837.397,egypt_location1
2024-09-15,5048.272,egypt_location1
2024-09-16,4952.211,egypt_location1
2024-09-17,5350.563,egypt_location1
2024-09-18,5632.948,egypt_location1
2024-09-19,5276.487,egypt_location1
2024-09-20,5066.599,egypt_location1
2024-09-21,5185.844,egypt_location1
2024-09-22,4878.783,egypt_location1
2024-09-23,5083.44,egypt_location1
2024-09-24,5309.624,egypt_location1
2024-09-25,5290.853,egypt_location1
2024-09-26,5025.155,egypt_location1
2024-09-27,4893.531,egypt_location1
2024-09-28,5032.534,egypt_location1
2024-09-29,5126.845,egypt_location1
2024-09-30,4997.191,egypt_location1
2024-10-01,4557.843,egypt_location1
2024-10-02,4843.371,egypt_location1
2024-10-03,4923.108,egypt_location1
2024-10-04,4877.268,egypt_location1
2024-10-05,4607.663,egypt_location1
2024-10-06,4733.882,egypt_location1
2024-10-07,4794.984,egypt_location1
2024-10-08,4664.688,egypt_location1
2024-10-09,4668.144,egypt_location1
2024-10-10,4596.721,egypt_location1
2024-10-11,4594.78,egypt_location1
2024-10-12,4379.561,egypt_location1
2024-10-13,4359.753,egypt_location1
2024-10-14,3819.172,egypt_location1
2024-10-15,3846.652,egypt_location1
2024-10-16,4048.264,egypt_location1
2024-10-17,3701.248,egypt_location1
2024-10-18,3901.068,egypt_location1
2024-10-19,4229.92,egypt_location1
2024-10-20,4197.546,egypt_location1
2024-10-21,4026.938,egypt_location1
2024-10-22,4050.359,egypt_location1
2024-10-23,4005.771,egypt_location1
2024-10-24,4175.519,egypt_location1
2024-10-25,4055.924,egypt_location1
2024-10-26,3788.996,egypt_location1
2024-10-27,3776.212,egypt_location1
2024-10-28,3697.176,egypt_location1
2024-10-29,3729.184,egypt_location1
2024-10-30,3342.204,egypt_location1
2024-10-31,3483.808,egypt_location1
2024-11-01,3438.752,egypt_location1
2024-11-02,3157.146,egypt_location1
2024-11-03,3051.053,egypt_location1
2024-11-04,2859.731,egypt_location1
2024-11-05,3457.491,egypt_location1
2024-11-06,3040.305,egypt_location1
2024-11-07,3070.041,egypt_location1
2024-11-08,3193.649,egypt_location1
2024-11-09,3036.26,egypt_location1
2024-11-10,2797.809,egypt_location1
2024-11-11,2890.166,egypt_location1
2024-11-12,3195.895,egypt_location1
2024-11-13,2941.156,egypt_location1
2024-11-14,3237.416,egypt_location1
2024-11-15,2887.244,egypt_location1
2024-11-16,3122.074,egypt_location1
2024-11-17,3122.913,egypt_location1
2024-11-18,3226.724,egypt_location1
2024-11-19,3185.315,egypt_location1
2024-11-20,2811.545,egypt_location1
2024-11-21,2027.863,egypt_location1
2024-11-22,3016.563,egypt_location1
2024-11-23,2803.461,egypt_location1
2024-11-24,1239.064,egypt_location1
2024-11-25,1846.683,egypt_location1
