MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-10-27,7229.656,Kenya,-0.224000,35.880000
2024-10-27,5410.238,Kenya,-1.494448,37.057094
2024-10-27,5096.476,Kenya,-1.491302,37.052862
2024-10-27,7497.092,Kenya,-0.220000,35.860000
2024-10-27,5623.644,Kenya,-0.982000,37.053900
2024-10-27,5020.901,Kenya,-0.469974,35.181874
2024-10-27,6493.179,Kenya,-1.451111,36.975687
2024-10-27,5344.389,Kenya,-1.451315,36.973008
2024-10-27,6374.677,Kenya,-1.451111,36.975687
2024-10-27,6606.305,Kenya,-0.400000,35.920000
2024-10-27,7199.88,Kenya,-0.220000,35.860000
2024-10-23,7081.522,Kenya,-0.982000,37.053900
2024-10-23,5762.192,Kenya,-1.494448,37.057094
2024-11-02,5795.125,Kenya,-1.494448,37.057094
2024-11-02,5439.631,Kenya,-0.220000,35.860000
2024-11-02,5376.578,Kenya,-0.400000,35.920000
2024-11-02,7482.849,Kenya,-0.227185,35.884984
2024-11-02,5070.767,Kenya,-0.982000,37.053900
2024-11-02,4693.761,Kenya,-1.451111,36.975687
2024-11-02,4245.566,Kenya,-1.451111,36.975687
2024-11-02,4267.028,Kenya,-0.469974,35.181874
2024-11-02,5656.919,Kenya,-0.224000,35.880000
2024-11-07,3658.885,Kenya,-0.220000,35.860000
2024-11-07,3594.638,Kenya,-1.494448,37.057094
2024-11-07,308.277,Kenya,-1.451111,36.975687
2024-11-07,3546.199,Kenya,-0.469974,35.181874
2024-11-07,3329.969,Kenya,-0.400000,35.920000
2024-11-07,4122.999,Kenya,-1.451111,36.975687
2024-11-07,3797.866,Kenya,-0.224000,35.880000
2024-11-07,4091.285,Kenya,-0.982000,37.053900
2024-11-02,5210.273,Kenya,-1.494448,37.057094
2024-11-02,5165.596,Kenya,-1.491302,37.052862
2024-11-02,5560.707,Kenya,-0.220000,35.860000
2024-11-02,4479.747,Kenya,-1.491302,37.052862
2024-11-25,2266.016,Kenya,-1.451315,36.973008
2024-11-25,3218.4,Kenya,-0.224000,35.880000
2024-11-24,3907.671,Kenya,-1.491302,37.052862
2024-11-24,4833.6,Kenya,-0.400000,35.920000
2024-11-21,4955.627,Kenya,-1.451111,36.975687
2024-11-23,4952.422,Kenya,-1.451315,36.973008
2024-11-24,3884.149,Kenya,-1.451315,36.973008
2024-11-23,6497.23,Kenya,-1.494448,37.057094
2024-11-24,5921.882,Kenya,-0.220000,35.860000
2024-11-21,4955.627,Kenya,-1.451111,36.975687
2024-11-25,3446.721,Kenya,-0.220000,35.860000
2024-11-25,2807.782,Kenya,-0.400000,35.920000
2024-11-21,3257.693,Kenya,-1.491302,37.052862
2024-11-24,4051.274,Kenya,-0.469974,35.181874
2024-11-23,5526.829,Kenya,-0.400000,35.920000
2024-11-21,4063.885,Kenya,-0.982000,37.053900
2024-11-25,2606.348,Kenya,-1.451111,36.975687
2024-11-24,6281.215,Kenya,-0.982000,37.053900
2024-11-23,5732.775,Kenya,-0.220000,35.860000
2024-11-24,4856.379,Kenya,-1.491302,37.052862
2024-11-21,4100.083,Kenya,-1.451315,36.973008
2024-11-25,2213.58,Kenya,-1.494448,37.057094
2024-11-21,2793.553,Kenya,-0.400000,35.920000
2024-11-21,3960.714,Kenya,-0.224000,35.880000
2024-11-23,6080.863,Kenya,-1.451111,36.975687
2024-09-18,5377.59,Kenya,-1.494448,37.057094
2024-09-18,5446.13,Kenya,-0.982000,37.053900
2024-09-18,4649.932,Kenya,-1.451315,36.973008
2024-09-18,5908.768,Kenya,-1.451111,36.975687
2024-09-18,5296.453,Kenya,-0.224000,35.880000
2024-09-16,6300.871,Kenya,-0.469974,35.181874
2024-09-16,5468.443,Kenya,-1.491302,37.052862
