datetime,ghi,location
2024-02-26,5640.332,kenya_location10
2024-02-27,5163.7435,kenya_location10
2024-02-27,5147.91266667,kenya_location10
2024-02-28,4592.65683333,kenya_location10
2024-02-28,1324.47783333,kenya_location10
2024-03-11,5714.18166667,kenya_location10
2024-03-11,5207.14555556,kenya_location10
2024-03-12,7732.28683333,kenya_location10
2024-03-12,7754.6165,kenya_location10
2024-03-13,7564.512,kenya_location10
2024-03-13,7547.0605,kenya_location10
2024-03-14,6145.03486111,kenya_location10
2024-03-14,6156.061,kenya_location10
2024-03-15,6632.9715,kenya_location10
2024-03-15,6550.464,kenya_location10
2024-03-16,6863.8735,kenya_location10
2024-03-16,6747.336,kenya_location10
2024-03-17,7531.1875,kenya_location10
2024-03-17,7324.01533333,kenya_location10
2024-03-18,6406.17933333,kenya_location10
2024-03-18,6240.953,kenya_location10
2024-03-19,6746.28883333,kenya_location10
2024-03-19,6476.514,kenya_location10
2024-03-20,6517.17783333,kenya_location10
2024-03-20,6113.84016667,kenya_location10
2024-03-21,6667.8915,kenya_location10
2024-03-21,7100.70233333,kenya_location10
2024-03-22,6754.46933333,kenya_location10
2024-03-22,7142.27183333,kenya_location10
2024-03-23,4912.79133333,kenya_location10
2024-03-23,5029.23333333,kenya_location10
2024-03-24,6195.61266667,kenya_location10
2024-03-24,6227.69483333,kenya_location10
2024-03-25,7279.7195,kenya_location10
2024-03-25,7155.07483333,kenya_location10
2024-03-26,5867.3665,kenya_location10
2024-03-26,5914.19266667,kenya_location10
2024-03-27,6682.402,kenya_location10
2024-03-27,6512.24683333,kenya_location10
2024-03-28,5771.311,kenya_location10
2024-03-28,5682.92016667,kenya_location10
2024-03-29,6444.2705,kenya_location10
2024-03-29,6097.93916667,kenya_location10
2024-03-30,6041.17566667,kenya_location10
2024-03-30,5819.36516667,kenya_location10
2024-03-31,5878.33716667,kenya_location10
2024-03-31,6062.22283333,kenya_location10
2024-04-01,6149.737,kenya_location10
2024-04-01,5814.52516667,kenya_location10
2024-04-02,4821.85166667,kenya_location10
2024-04-02,4636.95866667,kenya_location10
2024-04-03,4073.811,kenya_location10
2024-04-03,4223.0195,kenya_location10
2024-04-04,4592.61833333,kenya_location10
2024-04-04,4635.00066667,kenya_location10
2024-04-05,6376.2755,kenya_location10
2024-04-05,6463.6055,kenya_location10
2024-04-06,3824.86083333,kenya_location10
2024-04-06,3986.56783333,kenya_location10
2024-04-07,7378.67133333,kenya_location10
2024-04-07,6162.49966667,kenya_location10
2024-04-08,4799.48383333,kenya_location10
2024-04-08,4640.35616667,kenya_location10
2024-04-09,5144.681,kenya_location10
2024-04-09,5420.69733333,kenya_location10
2024-04-10,7191.60583333,kenya_location10
2024-04-10,6926.361,kenya_location10
2024-04-11,5884.49633333,kenya_location10
2024-04-11,6019.87733333,kenya_location10
2024-04-12,4944.2335,kenya_location10
2024-04-12,5045.06433333,kenya_location10
2024-04-13,4708.32166667,kenya_location10
2024-04-13,4731.4415,kenya_location10
2024-04-14,5265.4075,kenya_location10
2024-04-14,5288.86233333,kenya_location10
2024-04-15,5780.18083333,kenya_location10
2024-04-15,5782.73416667,kenya_location10
2024-04-16,6075.693,kenya_location10
2024-04-16,5974.53316667,kenya_location10
2024-04-17,5631.3365,kenya_location10
2024-04-17,5561.334,kenya_location10
2024-04-18,5752.59716667,kenya_location10
2024-04-18,5640.24,kenya_location10
2024-04-19,4408.89533333,kenya_location10
2024-04-19,4580.03783333,kenya_location10
2024-04-20,5205.58483333,kenya_location10
2024-04-20,5217.80783333,kenya_location10
2024-04-21,4086.98966667,kenya_location10
2024-04-21,4019.45916667,kenya_location10
2024-04-22,5783.337,kenya_location10
2024-04-22,5809.18333333,kenya_location10
2024-04-23,4785.93466667,kenya_location10
2024-04-23,4976.02883333,kenya_location10
2024-04-24,5481.15211111,kenya_location10
2024-04-24,6030.46266667,kenya_location10
2024-04-25,4589.784,kenya_location10
2024-04-25,4612.0035,kenya_location10
2024-04-26,4266.7585,kenya_location10
2024-04-26,4168.45316667,kenya_location10
2024-04-27,5561.08183333,kenya_location10
2024-04-27,5431.76933333,kenya_location10
2024-04-28,4017.32133333,kenya_location10
2024-04-28,3935.04583333,kenya_location10
2024-04-29,4838.05766667,kenya_location10
2024-04-29,4964.63916667,kenya_location10
2024-04-30,6467.21016667,kenya_location10
2024-04-30,6432.94,kenya_location10
2024-05-01,4973.288,kenya_location10
2024-05-01,4878.2195,kenya_location10
2024-05-02,3554.164,kenya_location10
2024-05-02,3553.34016667,kenya_location10
2024-05-03,6111.16116667,kenya_location10
2024-05-03,6238.21966667,kenya_location10
2024-05-04,2664.94633333,kenya_location10
2024-05-04,2634.10933333,kenya_location10
2024-05-05,5905.98833333,kenya_location10
2024-05-05,6020.2795,kenya_location10
