# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 2.7333
# Longitude (positive East, ISO 19115): 31.4000
# Altitude (m): 649.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-23T00:00:00.0/2020-01-24T00:00:00.0;9842.3408;6831.3779;4991.9692;1839.4086;7110.4951;6391.0864;3871.3633;2519.7231;5594.5859;0.9819
2020-01-24T00:00:00.0/2020-01-25T00:00:00.0;9858.1367;6321.5996;3979.9243;2341.6750;5500.3237;6293.4272;3959.2468;2334.1807;5412.4502;0.9823
2020-01-25T00:00:00.0/2020-01-26T00:00:00.0;9874.1494;6573.1948;4496.1304;2077.0647;6254.5156;6360.5967;4045.8552;2314.7417;5533.0576;0.9823
2020-01-26T00:00:00.0/2020-01-27T00:00:00.0;9890.3643;6918.6167;5319.8657;1598.7511;7547.4697;6203.3535;3432.4492;2770.9041;4756.4883;0.9816
2020-01-27T00:00:00.0/2020-01-28T00:00:00.0;9906.6660;7040.4150;5641.5020;1398.9126;8111.6860;6445.3154;4095.0928;2350.2227;5564.0547;0.9816
2020-01-28T00:00:00.0/2020-01-29T00:00:00.0;9923.0684;6844.6802;5109.5308;1735.1493;7200.4668;2406.1951;154.7529;2251.4421;357.0706;0.9816
2020-01-29T00:00:00.0/2020-01-30T00:00:00.0;9939.5518;7043.4209;5604.1870;1439.2339;8087.6230;4566.4058;1399.7463;3166.6592;1866.7441;0.9816
2020-01-30T00:00:00.0/2020-01-31T00:00:00.0;9956.1143;7176.6553;5987.0723;1189.5829;8725.2090;5912.3267;4009.2209;1903.1060;5927.2295;0.9816
2020-01-31T00:00:00.0/2020-02-01T00:00:00.0;9972.7314;7174.3262;5902.6885;1271.6376;8543.6055;2462.4568;341.0376;2121.4192;795.5314;0.9816
2020-02-01T00:00:00.0/2020-02-02T00:00:00.0;9989.3672;7192.0298;5922.6665;1269.3635;8599.0439;3848.0684;1181.0702;2666.9980;1726.0558;0.9816
2020-02-02T00:00:00.0/2020-02-03T00:00:00.0;10006.0010;7180.9868;5755.1548;1425.8323;8236.2715;6852.2866;5065.0684;1787.2180;6674.9316;0.9868
2020-02-03T00:00:00.0/2020-02-04T00:00:00.0;10022.6143;6880.7881;4871.6729;2009.1150;6777.6260;4075.0100;1229.0100;2845.9998;1893.0474;0.9868
2020-02-04T00:00:00.0/2020-02-05T00:00:00.0;10039.2432;7123.1567;5471.5103;1651.6464;7717.6396;4625.1562;2241.9822;2383.1741;2886.8938;0.9812
2020-02-05T00:00:00.0/2020-02-06T00:00:00.0;10055.7705;7154.8853;5551.5386;1603.3467;7871.5239;3415.6978;1190.8398;2224.8579;1399.1177;0.9865
2020-02-06T00:00:00.0/2020-02-07T00:00:00.0;10072.2178;7210.3770;5614.1558;1596.2211;7877.2080;6639.5928;4461.6748;2177.9180;6033.6040;0.9865
2020-02-07T00:00:00.0/2020-02-08T00:00:00.0;10088.5645;7556.8755;6612.7983;944.0771;9659.0156;6951.0859;5320.1221;1630.9639;8151.2549;0.9865
2020-02-08T00:00:00.0/2020-02-09T00:00:00.0;10104.7930;7279.4458;5969.9702;1309.4756;8502.1123;7084.0645;5453.3296;1630.7350;7956.1128;0.9865
2020-02-09T00:00:00.0/2020-02-10T00:00:00.0;10120.8838;7440.9072;6216.0352;1224.8719;8871.7686;7379.1235;6045.9546;1333.1689;8655.0234;0.9865
2020-02-10T00:00:00.0/2020-02-11T00:00:00.0;10136.8174;7234.8311;5787.1724;1447.6586;8124.1133;7234.8311;5787.1724;1447.6586;8124.1133;0.9865
2020-02-11T00:00:00.0/2020-02-12T00:00:00.0;10152.5762;7374.8369;6014.9453;1359.8915;8475.8164;7374.8369;6014.9453;1359.8915;8475.8164;0.9656
