# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2021-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 2.7333
# Longitude (positive East, ISO 19115): 31.4000
# Altitude (m): 649.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-06-26
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-02T00:00:00.0;9581.7656;6398.6064;4230.2056;2168.4014;6098.5112;4497.8589;2393.6155;2104.2437;2831.3972;0.9823
2021-01-02T00:00:00.0/2021-01-03T00:00:00.0;9589.5039;6700.6152;5006.5669;1694.0486;7347.6323;3293.4856;1354.7646;1938.7208;1782.9840;0.9826
2021-01-03T00:00:00.0/2021-01-04T00:00:00.0;9597.9102;6836.0972;5281.2158;1554.8813;7729.6616;6836.0972;5281.2158;1554.8813;7729.6616;0.9823
2021-01-04T00:00:00.0/2021-01-05T00:00:00.0;9606.7490;6935.2319;5457.8130;1477.4189;8164.7734;6320.5254;4341.0859;1979.4396;6390.9800;0.9823
2021-01-05T00:00:00.0/2021-01-06T00:00:00.0;9616.1250;6986.0884;5586.4258;1399.6627;8387.5566;6788.2109;5030.6963;1757.5146;7626.6558;0.9823
2021-01-06T00:00:00.0/2021-01-07T00:00:00.0;9625.9746;7067.9937;5749.7944;1318.1993;8606.7207;7067.9937;5749.7944;1318.1993;8606.7207;0.9823
2021-01-07T00:00:00.0/2021-01-08T00:00:00.0;9636.3154;7016.6040;5637.6021;1379.0021;8354.9932;6895.3638;5356.9873;1538.3761;8005.0908;0.9823
2021-01-08T00:00:00.0/2021-01-09T00:00:00.0;9647.1260;6377.1890;4188.0088;2189.1804;5959.6455;6306.6831;4042.1479;2264.5354;5765.6733;0.9823
2021-01-09T00:00:00.0/2021-01-10T00:00:00.0;9658.4277;6130.3403;3655.6211;2474.7195;5233.2310;5865.6177;3134.0510;2731.5667;4407.1440;0.9819
2021-01-10T00:00:00.0/2021-01-11T00:00:00.0;9670.0850;6318.7041;4062.4717;2256.2327;5741.8569;6303.8218;4052.6501;2251.1719;5700.5586;0.9719
2021-01-11T00:00:00.0/2021-01-12T00:00:00.0;9682.2510;6200.6406;3821.5388;2379.1021;5327.6230;6199.3442;3821.3179;2378.0266;5325.9497;0.9819
2021-01-12T00:00:00.0/2021-01-13T00:00:00.0;9694.7314;6011.1572;3430.3823;2580.7751;4792.7964;5898.6108;3280.0486;2618.5623;4490.9448;0.9823
2021-01-13T00:00:00.0/2021-01-14T00:00:00.0;9707.6533;6255.2354;3829.1284;2426.1069;5423.8394;6220.1699;3811.4392;2408.7310;5331.6523;0.9823
