Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2020-02-01,24.43,24.92,0.0,4.04,4.03,3.73,0.13,7.76,3.11,2.69,13.67
2020-02-02,25.88,28.37,0.0,6.3,6.28,6.68,0.4,-6.02,2.14,2.49,-16.42
2020-02-03,23.23,28.68,3.4,3.55,3.54,4.04,0.22,-13.68,2.76,2.75,0.2
2020-02-04,24.17,28.13,1.0,4.98,4.97,4.45,0.19,10.69,2.63,2.5,5.25
2020-02-05,24.13,28.29,0.0,3.12,3.1,3.31,0.42,-6.07,2.35,2.19,6.78
2020-02-06,25.48,27.91,0.0,6.13,6.11,6.47,0.34,-5.59,2.39,2.39,-0.04
2020-02-07,26.69,28.73,0.0,6.01,5.98,6.99,0.6,-16.2,1.8,2.26,-25.44
2020-02-08,27.57,29.65,0.0,6.57,6.53,7.15,0.58,-8.78,1.93,2.11,-9.49
2020-02-09,26.26,27.46,0.0,6.74,6.71,7.41,0.52,-9.82,1.48,1.92,-29.61
2020-02-10,25.79,28.77,0.0,6.42,6.39,7.23,0.55,-12.61,2.15,2.21,-3.13
2020-02-11,25.86,30.58,0.0,6.43,6.46,7.13,-0.49,-10.89,1.87,2.66,-42.28
2020-02-12,23.89,29.45,0.0,6.45,6.43,6.97,0.26,-8.19,1.99,2.85,-43.32
2020-02-13,24.29,29.54,0.0,6.01,5.97,6.65,0.74,-10.58,2.19,3.13,-43.15
2020-02-14,25.56,30.14,0.0,4.04,4.02,4.43,0.43,-9.73,2.88,3.02,-4.96
2020-02-15,27.17,30.33,0.0,6.65,6.61,6.86,0.53,-3.15,1.81,2.9,-60.16
2020-02-16,28.15,30.83,0.0,6.69,6.63,6.74,0.88,-0.78,1.5,2.47,-64.46
2020-02-17,28.79,30.6,0.0,6.76,6.72,6.37,0.58,5.83,1.67,2.31,-38.68
2020-02-18,26.81,30.35,3.6,5.45,5.42,5.93,0.53,-8.77,2.07,2.48,-19.81
2020-02-19,25.06,29.26,0.6,6.33,6.31,6.39,0.32,-0.94,2.14,2.6,-21.45
2020-02-20,27.25,30.58,0.0,7.07,7.04,7.07,0.48,0.03,1.56,2.32,-48.58
2020-02-21,28.06,31.12,0.0,6.75,6.71,7.1,0.53,-5.21,1.87,2.12,-13.22
2020-02-22,27.61,30.9,0.0,5.91,5.9,6.36,0.17,-7.5,2.52,2.79,-10.6
2020-02-23,27.64,31.2,0.0,5.45,5.42,6.1,0.55,-11.85,2.81,3.15,-12.08
2020-02-24,28.36,32.0,0.0,6.48,6.45,7.25,0.5,-11.78,2.27,2.24,1.6
2020-02-25,27.13,31.41,0.0,6.3,6.27,6.52,0.49,-3.44,3.15,3.2,-1.63
2020-02-26,26.15,30.46,0.0,6.65,6.62,6.76,0.49,-1.6,2.11,3.21,-52.07
2020-02-27,26.86,31.14,0.0,5.42,5.4,6.17,0.48,-13.75,3.05,3.49,-14.43
2020-02-28,26.71,29.28,0.0,2.73,2.72,3.4,0.36,-24.33,2.59,2.84,-9.86
2020-02-29,27.14,29.38,0.0,5.88,5.85,6.23,0.47,-5.92,2.94,3.29,-11.78
2020-03-01,25.99,29.01,0.0,3.94,3.9,4.21,1.01,-6.67,1.73,2.32,-33.62
2020-03-02,28.15,29.93,0.2,5.2,5.18,6.04,0.38,-16.05,3.05,3.28,-7.29
2020-03-03,27.37,28.42,0.0,5.22,5.19,5.84,0.51,-11.89,2.92,3.45,-18.16
2020-03-04,27.94,28.9,0.0,5.71,5.68,5.73,0.52,-0.28,2.68,3.42,-27.49
2020-03-05,28.14,28.8,0.0,6.23,6.21,6.65,0.38,-6.73,2.18,3.18,-45.6
2020-03-06,28.64,29.3,0.0,6.17,6.14,6.99,0.59,-13.19,2.11,2.78,-31.61
2020-03-07,29.29,29.96,0.4,6.08,6.06,6.57,0.4,-8.06,2.61,2.41,7.49
2020-03-08,27.16,29.76,11.2,5.01,4.99,4.92,0.33,1.82,3.47,3.23,6.78
2020-03-09,23.81,28.57,19.2,4.91,4.88,5.01,0.56,-2.03,2.48,2.52,-1.95
2020-03-10,26.68,28.65,23.2,7.19,7.18,7.17,0.17,0.27,1.28,2.57,-100.04
2020-03-11,25.49,25.21,7.6,6.0,5.97,5.94,0.45,1.04,2.38,2.3,3.41
2020-03-12,27.04,27.57,0.0,7.25,7.23,7.31,0.37,-0.77,1.47,2.12,-44.77
2020-03-13,27.42,28.15,0.0,5.99,5.95,6.5,0.67,-8.6,2.68,2.76,-3.01
2020-03-14,26.72,28.37,0.6,6.27,6.25,6.38,0.3,-1.85,3.19,2.86,10.34
2020-03-15,27.25,29.28,2.4,5.2,5.18,5.62,0.32,-8.15,4.09,3.28,19.8
2020-03-16,27.39,27.43,0.0,5.97,5.96,6.12,0.18,-2.4,3.96,3.21,19.01
2020-03-17,25.76,27.11,7.8,5.76,5.73,5.73,0.41,0.42,2.66,2.71,-2.11
2020-03-18,23.07,27.19,34.8,2.78,2.76,2.67,0.65,3.95,1.79,1.98,-10.43
2020-03-19,25.32,27.37,0.0,6.99,6.96,6.66,0.41,4.7,2.31,2.79,-20.96
2020-03-20,26.94,27.46,0.0,6.8,6.77,7.05,0.45,-3.7,1.7,2.16,-27.15
2020-03-21,26.64,27.63,8.4,6.56,6.55,6.81,0.13,-3.86,2.52,2.57,-1.95
2020-03-22,24.97,27.87,4.8,5.49,5.48,6.46,0.31,-17.64,3.17,2.82,11.08
2020-03-23,24.98,27.53,2.4,6.27,6.24,6.27,0.51,0.1,1.54,2.06,-33.83
2020-03-24,25.33,27.93,0.0,4.4,4.38,4.53,0.55,-2.8,2.89,2.5,13.54
2020-03-25,25.76,27.33,0.0,4.88,4.85,4.96,0.55,-1.67,2.14,2.46,-15.26
2020-03-26,25.93,27.5,4.6,6.83,6.82,7.13,0.14,-4.37,1.72,2.38,-37.81
2020-03-27,24.34,27.58,3.4,4.0,3.98,4.55,0.5,-13.71,2.68,2.69,-0.18
2020-03-28,24.75,27.18,0.0,5.99,5.98,6.28,0.26,-4.75,2.66,2.92,-9.71
2020-03-29,24.5,27.42,0.0,4.27,4.26,4.51,0.32,-5.61,3.29,2.9,11.87
2020-03-30,26.67,27.3,0.0,7.02,6.99,7.18,0.41,-2.18,1.44,2.39,-66.07
