# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 1.7153
# Longitude (positive East, ISO 19115): 33.6186
# Altitude (m): 1131.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-23T00:00:00.0/2020-01-24T00:00:00.0;9948.3818;6937.4824;5074.7529;1862.7295;7188.1729;6900.4507;5004.8271;1895.6235;7006.6982;0.9861
2020-01-24T00:00:00.0/2020-01-25T00:00:00.0;9963.1123;6615.6060;4292.3506;2323.2554;5969.8950;6375.2280;3814.7812;2560.4470;5208.1855;0.9858
2020-01-25T00:00:00.0/2020-01-26T00:00:00.0;9977.8955;6817.9419;4718.0630;2099.8789;6651.3496;5639.3730;2495.5017;3143.8711;3554.5510;0.9861
2020-01-26T00:00:00.0/2020-01-27T00:00:00.0;9992.8555;7170.8154;5695.5757;1475.2396;8249.9092;4261.7236;1176.5033;3085.2202;1509.2527;0.9861
2020-01-27T00:00:00.0/2020-01-28T00:00:00.0;10007.9062;7080.4302;5314.8257;1765.6042;7531.5039;3717.0706;1249.7695;2467.3010;1765.4440;0.9861
2020-01-28T00:00:00.0/2020-01-29T00:00:00.0;10023.0889;7215.2471;5743.6240;1471.6233;8187.3081;4434.7476;1205.4429;3229.3047;1574.1034;0.9858
2020-01-29T00:00:00.0/2020-01-30T00:00:00.0;10038.2852;7303.8809;6010.0425;1293.8384;8683.9707;4835.2671;2406.1443;2429.1228;2949.6851;0.9858
2020-01-30T00:00:00.0/2020-01-31T00:00:00.0;10053.5137;7451.3164;6524.2690;927.0474;9628.3867;5505.5830;3227.3442;2278.2385;4796.0996;0.9858
2020-01-31T00:00:00.0/2020-02-01T00:00:00.0;10068.7061;7226.6987;5642.7373;1583.9615;8001.7290;4808.1191;2233.0422;2575.0769;2736.0942;0.9861
2020-02-01T00:00:00.0/2020-02-02T00:00:00.0;10083.9512;7464.2241;6379.7529;1084.4712;9317.4248;2421.3127;309.8050;2111.5078;598.7863;0.9861
2020-02-02T00:00:00.0/2020-02-03T00:00:00.0;10099.2256;7318.9775;5752.5747;1566.4027;8144.4272;6273.2861;3615.2991;2657.9871;4698.7358;0.9858
2020-02-03T00:00:00.0/2020-02-04T00:00:00.0;10114.4111;7189.5391;5358.0029;1831.5360;7450.6343;4786.0259;2882.8804;1903.1456;3573.7090;0.9858
2020-02-04T00:00:00.0/2020-02-05T00:00:00.0;10129.5293;7467.6865;6133.9561;1333.7300;8806.7646;7247.5830;5693.9521;1553.6307;7733.1172;0.9806
2020-02-05T00:00:00.0/2020-02-06T00:00:00.0;10144.5615;7432.5483;5925.8823;1506.6659;8401.2637;7097.7856;5193.4819;1904.3037;7177.3477;0.9858
2020-02-06T00:00:00.0/2020-02-07T00:00:00.0;10159.4893;7340.0308;5642.0386;1697.9922;7920.8945;5248.4326;2110.5710;3137.8616;2711.2620;0.9858
2020-02-07T00:00:00.0/2020-02-08T00:00:00.0;10174.2930;7724.2505;6698.8540;1025.3966;9737.2275;7528.5005;6130.6318;1397.8685;9111.6562;0.9858
2020-02-08T00:00:00.0/2020-02-09T00:00:00.0;10188.9541;7544.1738;6287.2744;1256.8997;9079.1709;7544.1738;6287.2744;1256.8997;9079.1709;0.9858
2020-02-09T00:00:00.0/2020-02-10T00:00:00.0;10203.4551;7721.3354;6555.8818;1165.4536;9503.9385;7355.5244;5545.6655;1809.8591;8224.3711;0.9858
2020-02-10T00:00:00.0/2020-02-11T00:00:00.0;10217.7773;7777.4937;6699.4170;1078.0767;9710.9922;7777.4937;6699.4170;1078.0767;9710.9922;0.9858
2020-02-11T00:00:00.0/2020-02-12T00:00:00.0;10231.9531;7825.7847;6851.5103;974.2744;9934.2412;7825.7847;6851.5103;974.2744;9934.2412;0.9646
2020-02-12T00:00:00.0/2020-02-13T00:00:00.0;10245.8682;7384.6748;5691.6299;1693.0450;7952.1841;7166.7158;5243.7402;1922.9755;7307.2598;0.9854
2020-02-13T00:00:00.0/2020-02-14T00:00:00.0;10259.5518;7415.5879;5834.3423;1581.2456;8132.5332;6537.3818;4278.7915;2258.5908;5683.9048;0.9854
2020-02-14T00:00:00.0/2020-02-15T00:00:00.0;10272.9844;7634.9014;6278.6851;1356.2166;8866.5537;6777.3687;4665.4136;2111.9551;6810.9697;0.9854
2020-02-15T00:00:00.0/2020-02-16T00:00:00.0;10286.1484;7748.2969;6673.0503;1075.2466;9554.7852;7576.0552;6252.2822;1323.7731;8787.9863;0.9854
2020-02-16T00:00:00.0/2020-02-17T00:00:00.0;10299.0312;7713.8970;6544.0596;1169.8374;9286.9463;7120.5815;5859.3540;1261.2275;7689.7041;0.9854
2020-02-17T00:00:00.0/2020-02-18T00:00:00.0;10311.6143;7799.4033;6928.3638;871.0399;10016.8105;7770.5400;6902.0039;868.5361;9810.9277;0.9854
2020-02-18T00:00:00.0/2020-02-19T00:00:00.0;10323.9365;7593.6387;6058.8745;1534.7640;8426.0850;7503.7812;5886.6079;1617.1733;8136.0981;0.9851
2020-02-19T00:00:00.0/2020-02-20T00:00:00.0;10335.8359;7684.8389;6344.1470;1340.6921;8890.2041;7531.0352;5960.8789;1570.1564;8471.0791;0.9854
2020-02-20T00:00:00.0/2020-02-21T00:00:00.0;10347.4424;7832.5352;6893.4092;939.1260;9885.6299;7429.7178;6110.1548;1319.5627;8267.2100;0.9854
2020-02-21T00:00:00.0/2020-02-22T00:00:00.0;10358.6895;7714.9600;6473.2070;1241.7532;9108.3379;6924.8066;5232.4619;1692.3447;7143.7856;0.9854
2020-02-22T00:00:00.0/2020-02-23T00:00:00.0;10369.5605;7766.9302;6663.4214;1103.5089;9397.5859;7118.0171;5380.1743;1737.8429;7320.0747;0.9854
2020-02-23T00:00:00.0/2020-02-24T00:00:00.0;10380.0439;7716.4165;6340.4512;1375.9652;8837.3369;7535.9365;5813.6523;1722.2838;8056.0581;0.9854
2020-02-24T00:00:00.0/2020-02-25T00:00:00.0;10390.1250;7905.7031;6804.0508;1101.6521;9593.9707;7368.0527;5172.8320;2195.2207;7066.5674;0.9854
2020-02-25T00:00:00.0/2020-02-26T00:00:00.0;10399.8564;7576.1304;5988.1016;1588.0287;8232.9316;5704.4692;2037.9729;3666.4963;2807.2478;0.9851
2020-02-26T00:00:00.0/2020-02-27T00:00:00.0;10409.1133;7223.9556;5090.7915;2133.1641;6839.3501;6833.0933;3934.3904;2898.7026;5382.0132;0.9851
2020-02-27T00:00:00.0/2020-02-28T00:00:00.0;10417.9316;7570.0391;5991.2866;1578.7522;8183.6982;6589.6855;3579.2559;3010.4299;5192.9741;0.9851
2020-02-28T00:00:00.0/2020-02-29T00:00:00.0;10426.2979;7506.0898;5794.4888;1711.6011;7818.0303;5930.7866;2959.7800;2971.0066;3861.9385;0.9799
2020-02-29T00:00:00.0/2020-03-01T00:00:00.0;10434.2061;7625.1030;6143.1655;1481.9373;8366.3994;6624.1738;3312.7258;3311.4478;4555.7456;0.9799
2020-03-01T00:00:00.0/2020-03-02T00:00:00.0;10441.6787;7629.9946;6077.1606;1552.8337;8287.3486;6106.0024;3585.5242;2520.4783;4856.2310;0.9799
2020-03-02T00:00:00.0/2020-03-03T00:00:00.0;10448.6709;6996.3081;4366.0908;2630.2170;5650.8252;4325.1523;1210.5984;3114.5540;1865.0079;0.9799
2020-03-03T00:00:00.0/2020-03-04T00:00:00.0;10455.1738;7125.2456;4791.5645;2333.6809;6273.9634;5354.2622;1321.4883;4032.7739;1774.4510;0.9799
2020-03-04T00:00:00.0/2020-03-05T00:00:00.0;10461.2324;7087.7661;4625.9878;2461.7786;6013.1909;2231.7964;389.1476;1842.6489;663.8006;0.9743
2020-03-05T00:00:00.0/2020-03-06T00:00:00.0;10466.7607;7357.7915;5200.0405;2157.7512;6843.8560;7006.1499;4769.7905;2236.3594;5995.5801;0.9847
2020-03-06T00:00:00.0/2020-03-07T00:00:00.0;10471.7285;7860.1646;6675.8955;1184.2690;9270.8516;7806.4585;6557.3799;1249.0787;8891.4775;0.9851
2020-03-07T00:00:00.0/2020-03-08T00:00:00.0;10476.2471;7855.7153;6863.0073;992.7079;9580.6113;7626.9585;6259.2539;1367.7043;8499.1631;0.9851
2020-03-08T00:00:00.0/2020-03-09T00:00:00.0;10480.3066;7705.2622;6375.5186;1329.7437;8797.4473;7311.6978;5273.1245;2038.5731;6806.4106;0.9847
2020-03-09T00:00:00.0/2020-03-10T00:00:00.0;10483.8027;7253.6191;4977.1333;2276.4861;6500.4019;3149.0713;347.8471;2801.2241;655.7261;0.9847
2020-03-10T00:00:00.0/2020-03-11T00:00:00.0;10486.7656;7595.8833;6077.7129;1518.1707;8264.9795;6987.8818;4506.5405;2481.3416;5714.7593;0.9847
2020-03-11T00:00:00.0/2020-03-12T00:00:00.0;10489.2031;7689.3271;6256.7324;1432.5945;8552.1494;7358.8047;5510.1885;1848.6162;7233.9668;0.9847
2020-03-12T00:00:00.0/2020-03-13T00:00:00.0;10491.1416;7758.8042;6392.4243;1366.3802;8729.0322;7326.6973;5367.8867;1958.8108;7119.0767;0.9847
2020-03-13T00:00:00.0/2020-03-14T00:00:00.0;10492.5391;7634.3950;5967.8521;1666.5430;8034.6948;7072.5181;4669.7783;2402.7397;6031.5049;0.9847
2020-03-14T00:00:00.0/2020-03-15T00:00:00.0;10493.4434;7503.0776;5515.5957;1987.4819;7300.9971;6815.5713;4111.1724;2704.3992;5543.7544;0.9844
2020-03-15T00:00:00.0/2020-03-16T00:00:00.0;10493.7812;7115.5171;4495.5225;2619.9941;5787.8159;6433.2900;3695.9333;2737.3567;4636.7739;0.9844
2020-03-16T00:00:00.0/2020-03-17T00:00:00.0;10493.5420;7494.8765;5435.4482;2059.4282;7151.4092;5719.4116;2305.0742;3414.3372;2787.0146;0.9847
2020-03-17T00:00:00.0/2020-03-18T00:00:00.0;10492.8604;7691.3569;6169.8843;1521.4727;8308.2734;5553.7183;3953.5095;1600.2089;5087.0439;0.9844
2020-03-18T00:00:00.0/2020-03-19T00:00:00.0;10491.6133;7821.9697;6595.8179;1226.1520;9030.9443;6519.0630;4703.4482;1815.6147;6793.3740;0.9844
2020-03-19T00:00:00.0/2020-03-20T00:00:00.0;10489.8193;7722.4653;6291.2456;1431.2198;8542.9346;7238.1538;4957.8003;2280.3535;6574.8018;0.9844
2020-03-20T00:00:00.0/2020-03-21T00:00:00.0;10487.5010;7892.8799;6858.0854;1034.7941;9550.0713;7774.1299;6701.7490;1072.3810;9028.1074;0.9844
