datetime,ghi,location
2011-04-06,5723.645972222223,kampala
2011-04-07,4680.391416666667,kampala
2011-04-08,3352.7852527777777,kampala
2011-04-09,5584.797725,kampala
2011-04-10,4568.0974166666665,kampala
2011-04-11,7421.601666666667,kampala
2011-04-12,5745.793888888889,kampala
2011-04-13,5517.446666666667,kampala
2011-04-14,6072.718227777777,kampala
2011-07-09,5223.781722222223,kampala
2011-07-10,5036.9051944444445,kampala
2011-07-11,5555.784194444444,kampala
2011-07-12,5388.187052777778,kampala
2011-07-13,4087.150361111111,kampala
2011-07-14,4444.529972222223,kampala
2011-07-15,4569.840888888889,kampala
2011-07-16,5857.231944444445,kampala
2011-07-17,4093.279194444445,kampala
2011-07-18,4921.027611111112,kampala
2011-07-19,4658.929666666667,kampala
2011-07-20,4435.234916666667,kampala
2011-07-21,5516.636944444444,kampala
2011-07-22,2695.2377222222226,kampala
2011-07-23,5163.194275000001,kampala
2011-07-24,5049.350361111111,kampala
2011-07-25,4092.1263861111115,kampala
2011-07-26,4622.044083333333,kampala
2011-07-27,376.4119166666666,kampala
2011-07-28,3578.162613888889,kampala
2011-07-29,2584.5316583333333,kampala
2011-07-30,1877.503138888889,kampala
2011-07-31,4398.696055555556,kampala
2011-08-01,4818.1125,kampala
2011-08-02,5176.5337500000005,kampala
2011-08-03,3358.150888888889,kampala
2011-08-04,1944.151388888889,kampala
2011-08-05,5537.910833333333,kampala
2011-08-06,3696.4635555555556,kampala
2011-08-07,3259.853666666667,kampala
2011-08-08,2327.2780555555555,kampala
2011-08-09,3830.0410833333335,kampala
2011-08-10,4701.615638888889,kampala
2011-08-11,3262.6644111111113,kampala
2011-08-12,4681.303486111112,kampala
2011-08-13,3407.5629805555554,kampala
2011-08-14,4444.089333333333,kampala
2011-08-15,4185.434472222222,kampala
2011-08-16,4873.4951083333335,kampala
2011-08-17,3502.253305555556,kampala
2011-08-18,4837.8597500000005,kampala
2011-08-19,3834.302777777778,kampala
2011-08-20,4818.665666666667,kampala
2011-08-21,3013.4808333333335,kampala
2011-08-22,4709.78125,kampala
2011-08-23,5140.007888888889,kampala
2011-08-24,3736.5875277777777,kampala
2011-08-25,4988.576358333334,kampala
2011-08-26,6239.5794305555555,kampala
2011-08-27,4444.836138888889,kampala
2011-08-28,1390.3880555555556,kampala
2011-08-29,3927.0925833333336,kampala
2011-08-30,4719.236138888889,kampala
2011-08-31,3175.591388888889,kampala
2011-09-01,3926.8255416666666,kampala
2011-09-02,4525.675055555555,kampala
2011-09-03,5019.2555555555555,kampala
2011-09-04,5338.872894444445,kampala
2011-09-05,3306.1300250000004,kampala
2011-09-06,3629.707927777778,kampala
2011-09-07,4561.383666666667,kampala
2011-09-08,4847.331388888889,kampala
2011-09-09,5965.314444444445,kampala
2011-09-10,5638.954433333333,kampala
2011-09-11,4356.549166666667,kampala
2011-09-12,3666.2635555555557,kampala
2011-09-13,3677.621111111111,kampala
2011-09-14,3092.1675000000005,kampala
2011-09-15,4519.678333333333,kampala
2011-09-16,3859.7341666666666,kampala
2011-09-17,2758.2883611111115,kampala
2011-09-18,4623.319636111111,kampala
2011-09-19,6175.523888888889,kampala
2011-09-20,5981.0136111111115,kampala
2011-09-21,6002.794722222223,kampala
2011-09-22,4601.984444444444,kampala
2011-09-23,4032.0380555555557,kampala
2011-09-24,3088.2676111111114,kampala
2011-09-25,4843.224444444444,kampala
2011-09-26,4910.077277777778,kampala
2011-09-27,3487.703638888889,kampala
2011-09-28,4866.2908333333335,kampala
2011-09-29,3732.119361111111,kampala
2011-09-30,2871.2805555555556,kampala
2011-10-01,2564.6200000000003,kampala
2011-10-02,3953.46455,kampala
2011-10-03,4002.3680555555557,kampala
2011-10-04,3847.4513861111113,kampala
2011-10-05,4223.604166666667,kampala
2011-10-06,5539.364722222223,kampala
2011-10-07,2238.9947861111114,kampala
2011-10-08,4698.0673611111115,kampala
2011-10-09,2930.669888888889,kampala
2011-10-10,4157.769166666667,kampala
2011-10-11,3854.308527777778,kampala
2011-10-12,5154.803333333333,kampala
2011-10-13,3348.8588972222224,kampala
2011-10-14,1808.1744444444444,kampala
2011-10-15,3955.997777777778,kampala
2011-10-16,6135.711536111112,kampala
2011-10-17,3827.769166666667,kampala
2011-10-18,5082.361944444445,kampala
2011-10-19,3113.358111111111,kampala
2011-10-20,4767.630833333334,kampala
2011-10-21,5546.846666666667,kampala
2011-10-22,4817.744722222223,kampala
2011-10-23,5740.485833333334,kampala
2011-10-24,3189.028138888889,kampala
2011-10-25,5880.560277777778,kampala
2011-10-26,4971.284152777778,kampala
2011-10-27,1907.5855833333335,kampala
2011-10-28,2561.284972222222,kampala
2011-10-29,4730.44025,kampala
2011-10-30,5821.039166666667,kampala
2011-10-31,4903.268055555555,kampala
2011-11-01,4611.4608333333335,kampala
2011-11-02,4687.528333333334,kampala
2011-11-03,3196.1725,kampala
2011-11-04,2473.415555555556,kampala
2011-11-05,4571.874444444445,kampala
2011-11-06,4025.9128611111114,kampala
2011-11-07,5247.587777777778,kampala
2011-11-08,3552.938888888889,kampala
2011-11-09,5022.033055555556,kampala
2011-11-10,4344.981666666667,kampala
2011-11-11,4372.8475,kampala
2011-11-12,4062.346363888889,kampala
2011-11-13,4112.9927777777775,kampala
2011-11-14,6456.741666666667,kampala
2011-11-15,1078.9419444444445,kampala
2011-11-16,3196.0266666666666,kampala
2011-11-17,4449.792222222222,kampala
2011-11-18,5226.945555555556,kampala
2011-11-19,3192.498611111111,kampala
2011-11-20,5355.961336111111,kampala
2011-11-21,5337.892777777778,kampala
2011-11-22,4181.503333333333,kampala
2011-11-23,5776.794277777778,kampala
2011-11-24,4188.345472222222,kampala
2011-11-25,4251.770111111111,kampala
2011-11-26,3320.7155555555555,kampala
2011-11-27,4692.261111111112,kampala
2011-11-28,2478.7877694444446,kampala
2011-11-29,3948.121111111111,kampala
2011-11-30,3822.273361111111,kampala
2011-12-01,2570.733472222222,kampala
2011-12-02,5090.894444444445,kampala
2011-12-03,3099.413888888889,kampala
2011-12-04,1968.4563888888888,kampala
2011-12-05,4347.085333333333,kampala
2011-12-06,2908.07025,kampala
2011-12-07,3721.258888888889,kampala
2011-12-08,6716.278333333334,kampala
2011-12-09,6052.572222222222,kampala
2011-12-10,5722.731111111111,kampala
2011-12-11,5520.214361111111,kampala
2011-12-12,5562.6175,kampala
2011-12-13,5801.371305555555,kampala
2011-12-14,2620.6132333333335,kampala
2011-12-15,5152.679722222222,kampala
2011-12-16,3915.8191666666667,kampala
2011-12-17,3776.282722222222,kampala
2011-12-18,5085.000277777778,kampala
