datetime,ghi,location
2011-03-08,7092.421944444445,tororo
2011-03-09,7063.010555555556,tororo
2011-03-10,6502.057222222223,tororo
2011-03-11,6027.585,tororo
2011-03-12,6506.24,tororo
2011-03-13,4756.7125,tororo
2011-03-14,6908.548333333333,tororo
2011-03-15,5570.340063888889,tororo
2011-03-16,3169.2611444444447,tororo
2011-03-17,6142.2188888888895,tororo
2011-03-18,5235.123097222223,tororo
2011-03-19,3398.311277777778,tororo
2011-03-20,6373.731644444444,tororo
2011-03-21,4662.264022222222,tororo
2011-03-22,6729.593055555556,tororo
2011-03-23,6661.7928,tororo
2011-03-24,5801.096111111112,tororo
2011-03-25,7220.824722222223,tororo
2011-03-26,4812.718888888889,tororo
2011-03-27,5059.023813888889,tororo
2011-03-28,6123.422819444445,tororo
2011-03-29,6962.954722222223,tororo
2011-03-30,6594.046622222222,tororo
2011-03-31,4656.817786111112,tororo
2011-04-01,5477.822483333334,tororo
2011-04-02,6938.075555555556,tororo
2011-04-03,6855.019166666667,tororo
2011-04-04,6027.5775,tororo
2011-04-05,5830.109166666667,tororo
2011-04-06,6186.245555555556,tororo
2011-04-07,6512.002638888889,tororo
2011-04-08,5655.853005555556,tororo
2011-04-09,5938.186722222223,tororo
2011-04-10,7258.797222222222,tororo
2011-04-11,7134.892500000001,tororo
2011-04-12,7142.736944444445,tororo
2011-04-13,6763.9425,tororo
2011-04-14,5909.806388888889,tororo
2011-04-15,6158.826111111112,tororo
2011-04-16,5944.657222222223,tororo
2011-04-17,6640.729444444445,tororo
2011-04-18,6956.294444444445,tororo
2011-04-19,6121.231944444445,tororo
2011-04-20,6018.406000000001,tororo
2011-04-21,6550.665000000001,tororo
2011-04-22,4907.745833333333,tororo
2011-04-23,5234.969166666667,tororo
2011-04-24,6240.949444444444,tororo
2011-04-25,4885.571388888889,tororo
2011-04-26,6338.163333333334,tororo
2011-04-27,5204.8663027777775,tororo
2011-04-28,6076.045527777778,tororo
2011-04-29,5831.049666666667,tororo
2011-04-30,5363.791388888889,tororo
2011-05-01,6340.541222222223,tororo
2011-05-02,4398.040038888889,tororo
2011-05-03,2760.217055555556,tororo
2011-05-04,6436.77713888889,tororo
2011-05-05,4854.397833333333,tororo
2011-05-06,3526.151638888889,tororo
2011-05-07,6405.210102777778,tororo
2011-05-08,5562.489719444445,tororo
2011-05-09,5577.325305555556,tororo
2011-05-10,5356.061930555556,tororo
2011-05-11,5509.25865,tororo
2011-05-12,6437.285833333333,tororo
2011-05-13,5949.396388888889,tororo
2011-05-14,6747.675744444445,tororo
2011-05-15,6962.672072222223,tororo
2011-05-16,6425.3910750000005,tororo
2011-05-17,6208.8705,tororo
2011-05-18,5859.64825,tororo
2011-05-19,5655.775833333334,tororo
2011-05-20,3080.6583333333333,tororo
2011-05-21,3858.102222222223,tororo
2011-05-22,6013.871444444445,tororo
2011-05-23,4648.510833333334,tororo
2011-05-24,5921.656111111111,tororo
2011-05-25,5458.714269444445,tororo
2011-05-26,5667.796388888889,tororo
2011-05-27,5866.840555555556,tororo
2011-05-28,6539.888438888889,tororo
2011-05-29,6553.975,tororo
2011-05-30,5613.106666666667,tororo
2011-05-31,5680.770683333334,tororo
2011-06-01,5850.569805555556,tororo
