Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2021-02-26,26.41,26.91,0.0,6.74,6.77,7.57,-0.42,-12.26,1.97,1.81,8.02
2021-02-27,26.56,26.93,0.0,6.16,6.19,6.74,-0.48,-9.39,2.23,2.13,4.41
2021-02-28,27.29,27.2,0.0,5.93,5.96,6.61,-0.52,-11.53,2.14,2.48,-15.54
2021-03-01,28.11,27.05,0.0,6.9,6.92,7.17,-0.2,-3.84,1.56,1.76,-12.53
2021-03-02,29.07,26.95,0.0,7.41,7.43,7.41,-0.36,0.02,1.62,1.7,-5.03
2021-03-03,27.73,26.8,0.0,6.15,6.17,6.02,-0.37,2.16,2.86,3.14,-9.86
2021-03-04,25.09,26.43,0.8,4.78,4.81,4.38,-0.54,8.48,2.31,2.3,0.56
2021-03-05,26.67,26.44,1.4,6.44,6.46,7.12,-0.3,-10.53,2.02,2.07,-2.42
2021-03-06,25.76,26.55,1.4,5.63,5.65,7.0,-0.46,-24.38,2.37,2.5,-5.4
2021-03-07,26.19,27.23,0.0,6.97,7.0,7.36,-0.34,-5.62,2.08,2.33,-11.88
2021-03-08,24.49,26.15,0.0,5.83,5.86,5.84,-0.4,-0.03,3.18,2.89,9.07
2021-03-09,24.82,25.96,0.0,6.11,6.13,7.16,-0.44,-17.25,2.49,2.78,-11.58
2021-03-10,25.8,25.91,0.0,6.75,6.78,7.53,-0.37,-11.53,1.83,1.78,2.38
2021-03-11,27.52,26.43,0.0,6.71,6.72,7.3,-0.24,-8.87,1.68,1.69,-0.57
2021-03-12,28.57,26.22,0.0,7.32,7.35,7.62,-0.37,-4.07,1.84,1.59,13.76
2021-03-13,28.25,25.95,0.0,7.1,7.13,7.46,-0.4,-4.96,2.42,1.86,23.16
2021-03-14,26.74,26.29,0.0,6.2,6.23,7.11,-0.41,-14.61,2.31,2.12,8.44
2021-03-15,27.34,26.22,0.0,5.65,5.67,6.46,-0.41,-14.3,2.31,2.75,-19.3
2021-03-16,25.16,26.1,0.0,4.7,4.73,5.43,-0.45,-15.41,2.56,3.06,-19.44
2021-03-17,25.29,26.9,0.0,6.8,6.81,6.65,-0.17,2.18,2.39,2.66,-11.65
2021-03-18,23.23,25.74,0.0,5.64,5.65,6.42,-0.33,-13.96,1.92,2.08,-8.31
2021-03-19,23.23,25.15,0.4,5.56,5.58,6.37,-0.4,-14.57,1.94,1.57,19.27
2021-03-20,25.26,25.21,0.0,6.11,6.12,6.37,-0.24,-4.34,1.85,2.39,-29.38
2021-03-21,25.38,25.76,0.0,5.5,5.52,5.4,-0.41,1.76,2.05,1.84,9.83
2021-03-22,24.86,26.0,0.0,5.75,5.77,5.77,-0.39,-0.33,3.76,3.37,10.46
2021-03-23,26.48,26.08,0.0,6.97,7.0,6.99,-0.38,-0.29,2.26,2.33,-3.08
2021-03-24,27.52,25.68,0.0,7.56,7.59,7.98,-0.31,-5.56,1.53,1.36,11.29
2021-03-25,27.44,25.72,0.0,7.64,7.67,8.04,-0.37,-5.27,1.67,1.34,19.87
2021-03-26,26.37,25.95,0.0,6.14,6.16,6.38,-0.34,-3.89,3.44,3.15,8.41
2021-03-27,22.97,25.75,1.2,4.53,4.55,3.99,-0.38,11.96,3.57,3.08,13.51
